# Gene Family	3003	3004	3005	3007	3008	3009	3012	3013	3014	3016	3020	3021	3022	3023	3025	3026	3027	3028	3029	3030	3031	3032	3033	3036	3037	3039	3042	3043	3044	3046	3047	3048	3049	3003A	3003B	3004A	3004B	3005A	3005B	3007A	3007B	3008A	3008B	3009A	3009B	3012A	3012B	3013A	3013B	3014A	3014B	3016A	3016B	3020A	3020B	3021A	3021B	3022A	3022B	3023A	3023B	3025A	3025B	3026A	3026B	3027A	3027B	3028A	3028B	3029A	3029B	3030A	3030B	3031A	3031B	3032A	3032B	3033A	3033B	3036A	3036B	3037A	3037B	3039A	3039B	3042A	3042B	3043A	3043B	3044A	3044B	3046A	3046B	3047B	3048A	3048B	3049A	3049B
FRUCTANSENSITIVE	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
1.1.1.1	1257.179	3814.455	1610.422	3420.267	1670.012	1471.068	471.624	662.966	2910.056	1119.541	1916.659	2090.76	3571.777	3285.865	262.129	2784.206	1474.468	2486.497	2995.804	1807.051	3070.821	1770.967	1453.56	3576.721	1576.955	1331.863	2427.664	2832.634	3786.588	950.895	1746.171	5264.095	4374.152	1913.221	2281.925	5754.311	5240.351	2125.861	1775.29	1423.784	769.883	1833.506	1484.983	535.459	159.523	1002.084	620.571	1805.528	2229.518	4798.334	5064.554	1415.618	1297.38	1355.516	1448.526	2643.67	2924.549	4813.28	1930.631	2060.53	1028.875	798.113	559.298	3076.866	1197.022	4099.562	3193.357	3412.433	3649.02	437.225	2180.062	2374.997	977.778	16376.603	3863.183	2601.36	1774.575	666.242	821.46	1889.158	2564.967	1954.497	75.435	2260.987	2246.363	2002.999	2759.823	3578.068	3363.5	1311.407	1961.111	3910.118	193.497	1423.592	1963.9	3520.267	6046.064	13909.876
1.1.1.100	3566.691	6034.809	3792.534	7036.631	4621.825	3408.172	3414.069	3022.423	6989.052	2908.16	3775.775	5991.553	7248.291	7488.018	796.468	6521.237	2982.929	5409.8	5706.681	4050.434	7860.745	3671.179	3225.792	5915.695	4189.079	3718.602	5945.951	6793.038	7306.595	5105.452	5114.352	9470.619	9709.285	7670.641	5061.759	5783.436	11865.52	4425.496	4299.76	4843.239	4278.037	4593.622	3603.986	1081.941	636.608	3573.397	2931.281	2832.062	3501.107	12272.217	12345.834	3673.143	2763.247	3221.763	2621.838	6026.997	7429.613	8473.749	6357.711	6004.536	4795.004	2199.305	1730.907	6484.635	3113.725	8053.98	6974.362	7059.403	7727.017	858.336	3190.437	5875.186	2419.382	25023.366	9023.477	5228.602	3216.891	2302.358	3623.16	2661.795	4820.654	5277.909	395.967	5467.732	5100.145	4363.967	7360.477	4164.837	7731.365	1019.763	2554.064	7283.399	3974.059	4019.684	2360.885	8038.395	9346.74	16575.92
1.1.1.103	1013.434	1407.214	1060.07	1864.013	1978.393	581.521	1586.429	1267.07	2962.852	288.83	2007.896	3920.188	781.284	800.231	197.452	1905.333	530.95	793.901	842.093	614.836	939.422	991.298	2622.007	1467.86	823.775	968.761	445.172	1283.6	1316.737	1710.327	2005.592	1752.052	1600.713	953.747	935.144	791.538	2565.345	1335.739	559.492	1112.746	1074.428	488.938	745.835	312.686	178.881	949.479	822.799	1920.068	2482.486	2485.399	3886.504	401.033	402.799	693.51	748.271	1917.702	1615.523	1787.464	1078.25	1214.539	1062.545	220.522	309.071	2404.935	573.567	1745.386	1000.406	991.772	2000.404	129.879	2083.908	1136.801	414.057	11579.477	577.951	813.037	773.601	927.814	1725.315	489.914	1176.595	1225.181	68.92	1024.516	927.537	338.969	452.741	975.843	1689.369	326.249	494.372	470.903	1654.503	1939.449	663.188	1033.486	2569.174	8645.829
1.1.1.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.961	0	0	0	0	0	0	0	14.684	0	0	0	0	0	7.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.094	0	0	0	10.298	0	0	0	7.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.107	0	0	0	0	0	0	0	0	0	0	0	228.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220.814	0	0	0	0	0	0	0	3788.592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.122	1014.127	107.817	64.291	793.633	344.061	42.498	527.575	4367.335	465.639	120.774	148.248	1867.315	0	1193.526	0	34.017	90.87	53.21	409.477	277.048	860.071	183.904	560.056	1.873	1461.706	611.541	515.532	207.897	73.961	1236.995	1254.157	40.293	456.154	293.363	148.789	168.692	76.994	55.236	83.751	666.97	670.003	315.014	9.832	7.579	0	767.286	871.965	238.69	250.536	306.965	97.234	362.343	403.04	342.793	183.771	498.859	1151.815	260.553	169.797	953.862	1793.206	15.119	21.285	188.809	260.427	1437.092	95.768	377.035	169.498	0	10.142	279.164	844.521	87.557	346.191	34.991	64.054	746.041	1422.963	0	0	1245.508	41.561	376.829	256.966	26.55	119.353	709.167	235.625	11.458	10.758	6.331	799.801	713.588	6.24	26.419	0	155.101
1.1.1.125	0	19.739	4.241	0	0	0	0	0	0	0	38.021	0	26.586	0	0	0	0	125.667	0	5.747	21.661	0	0	121.934	7.445	0	53.157	6.173	5.017	71.348	21.656	0	40.388	0	49.197	0	46.384	15.843	22.533	24.627	0	0	0	0	0	0	30.874	46.83	82.378	4.899	0	4.239	0	15.995	8.162	7.002	0	37.377	19.66	6.276	13.34	0	0	37.09	0	93.241	19.261	89.682	72.82	0	0	22.503	18.591	706.876	0	15.167	0	0	0	0	7.875	17.476	0	0	12.735	0	23.397	12.854	19.882	16.617	8.498	25.385	17.47	18.312	23.915	3.145	130.334	640.755
