TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,sensitiveSample_14,sensitiveSample_15,sensitiveSample_16,sensitiveSample_17,sensitiveSample_18,sensitiveSample_19,sensitiveSample_20,sensitiveSample_21,sensitiveSample_22,sensitiveSample_23,sensitiveSample_24,sensitiveSample_25,sensitiveSample_26,sensitiveSample_27,sensitiveSample_28,sensitiveSample_29,sensitiveSample_30,sensitiveSample_31,sensitiveSample_32,sensitiveSample_33,sensitiveSample_34,sensitiveSample_35,sensitiveSample_36,sensitiveSample_37,sensitiveSample_38,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20,tolerantSample_21,tolerantSample_22,tolerantSample_23,tolerantSample_24,tolerantSample_25,tolerantSample_26,tolerantSample_27,tolerantSample_28,tolerantSample_29,tolerantSample_30,tolerantSample_31,tolerantSample_32,tolerantSample_33,tolerantSample_34,tolerantSample_35,tolerantSample_36,tolerantSample_37,tolerantSample_38,tolerantSample_39,tolerantSample_40,tolerantSample_41,tolerantSample_42,tolerantSample_43,tolerantSample_44,tolerantSample_45,tolerantSample_46,tolerantSample_47,tolerantSample_48,tolerantSample_49,tolerantSample_50,tolerantSample_51,tolerantSample_52,tolerantSample_53,tolerantSample_54,tolerantSample_55,tolerantSample_56,tolerantSample_57,tolerantSample_58,tolerantSample_59,tolerantSample_60
Bifidobacterium_bifidum,5.26561,4.14535,0.0,0.13238,0.0,0.0,0.0,8.49185,0.0,5.60295,0.0,0.0,0.0,0.0,6.31695,2.96293,0.56991,0.0,0.0,2.81648,0.2807,0.0,0.0,0.0,0.0,0.0,0.0,6.32792,4.7026,0.0,0.0,4.58111,0.75637,0.0,0.0,2.94041,0.0,0.0,5.55755,0.0,0.0,1.36245,1.8507,5.24459,0.0,7.36218,9.34098,3.55035,0.0,2.7018,0.0,0.0,0.0,8.83862,8.35796,12.8368,2.76886,2.09616,8.17011,7.03226,0.0,0.0,0.0,0.0,1.67981,3.21396,1.28924,0.68423,28.20755,0.49133,0.0,0.0,6.40671,0.68527,11.50625,2.41432,2.08216,2.08198,0.0,0.0,1.51419,0.70979,0.0,0.0,0.0,0.0,0.0,0.0,19.01805,9.96244,27.70874,5.23977,2.97404,3.53806,2.27721,6.44413,1.92535,0.76753
Olsenella_profusa,0.00488,0.0,0.0,0.0,0.00307,0.0,0.0,0.0003,0.0,0.00575,0.0,0.0,0.00443,0.0,0.00152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00101,0.0,0.0,0.0,0.0,0.00311,0.00254,0.0,0.0,0.00532,0.0,0.0,0.0,0.04118,0.0,0.00249,0.0,0.0,0.0,0.0,0.00467,0.00607,0.0,0.00449,0.0035,0.00207,0.00587,0.00111,0.0077,0.0,0.0,0.00449,0.00367,0.0031,0.0,0.0024,0.0,0.0,0.00113,0.00509,0.0,0.0,0.00051,0.0,0.00078,0.0,0.00212,0.0,0.0,0.0,0.00385,0.00626,0.00645,0.0,0.0,0.00362,0.01145,0.00446,0.0,0.00081,0.00095,0.00392,0.0,0.0,0.0,0.0,0.00507,0.0048,0.0002,0.00258,0.00255,0.00667,0.00206,0.00746,0.00653,0.0
Olsenella_scatoligenes,0.09534,0.00411,0.00912,0.00198,0.02481,0.03848,0.00048,0.03064,0.03478,0.09058,0.00329,0.0,0.04686,0.01518,0.07353,0.00146,0.0,0.00852,0.02018,0.02345,0.0071,0.01433,0.01996,0.00572,0.02104,0.00935,0.00657,0.06686,0.03699,0.02084,0.07887,0.07603,0.02806,0.0,0.0118,0.28374,0.0,0.06225,0.00803,0.03307,0.01741,0.00499,0.06153,0.07686,0.0,0.06965,0.0653,0.0588,0.09704,0.04481,0.10225,0.01746,0.00291,0.06385,0.09076,0.03604,0.01591,0.07674,0.00937,0.01604,0.03446,0.05974,0.0,0.02235,0.02812,0.03422,0.05344,0.03824,0.04552,0.00854,0.00766,0.00555,0.0493,0.06504,0.0456,0.0373,0.02891,0.04781,0.11561,0.09304,0.0452,0.01889,0.02203,0.05702,0.00616,0.0,0.01294,0.00787,0.09625,0.08597,0.02703,0.06946,0.03384,0.07405,0.03959,0.12297,0.10588,0.02301
Collinsella_intestinalis,0.43678,0.03171,0.51502,0.00864,0.15357,0.12884,0.02099,0.17296,0.41561,0.34559,0.02278,0.00344,0.15824,0.05628,0.31594,0.02367,0.0,0.38315,1.15523,0.04489,0.02326,0.05221,0.09169,0.06435,0.07037,0.06891,0.04011,0.27373,0.15208,0.13074,0.30319,0.27542,0.07872,0.01415,0.05099,0.28527,0.0,0.23755,0.04451,0.19964,0.10226,0.44638,0.35541,0.35813,0.0354,0.3673,0.27686,0.18158,0.28501,0.23869,0.33012,1.5123,0.01395,0.19758,0.34942,0.16142,0.05876,0.24153,0.04895,0.07365,0.17688,0.29663,0.0035,0.09618,0.30432,3.40284,0.16762,0.1733,0.1644,0.04964,0.08548,0.06066,0.21865,0.3001,0.24361,0.17325,0.12844,0.20749,0.43214,0.29685,0.15041,0.14319,0.0888,0.19421,0.11033,0.20658,0.05526,0.05539,0.42681,0.27779,0.07424,0.25142,0.16789,0.19467,0.14027,0.28423,0.31548,0.05861
Collinsella_stercoris,1.05037,0.02443,0.11723,0.02279,0.20266,0.25296,0.01204,0.23659,0.53006,0.83635,0.02869,0.0,0.44394,0.10322,0.68114,0.01922,0.00659,0.08936,0.19338,0.09692,0.05068,0.08296,0.14764,0.06936,0.13334,0.06864,0.03744,0.53926,0.30595,0.24898,0.43982,0.57573,0.20726,0.04986,0.06334,0.57009,0.0,0.62111,0.04757,0.2716,0.15295,0.07794,0.48642,0.6309,0.02931,0.80458,0.35124,0.33685,0.66697,0.34907,0.7064,0.28834,0.03279,0.56435,0.66173,0.2319,0.13176,0.58564,0.03916,0.0514,0.30795,0.58393,0.01323,0.07057,0.12756,0.48068,0.23781,0.28027,0.35183,0.08737,0.13764,0.101,0.36467,0.50757,0.43847,0.2196,0.21268,0.30042,1.18908,0.64916,0.30885,0.15872,0.1889,0.47496,0.04749,0.04639,0.0799,0.04203,1.32092,0.78104,0.15523,0.38757,0.18791,0.37999,0.18574,0.90198,0.85306,0.13547
Enorma_massiliensis,0.32765,0.00748,0.0086,0.00517,0.07123,0.04525,0.00224,0.08367,0.09941,0.24473,0.01062,0.0,0.133,0.03923,0.22334,0.00585,0.0,0.00524,0.01703,0.0321,0.00231,0.02155,0.04453,0.00597,0.02118,0.02476,0.01253,0.17448,0.09845,0.05998,0.11637,0.14493,0.0631,0.04649,0.04101,0.22901,0.0,0.16799,0.01755,0.0685,0.0386,0.00378,0.14146,0.2161,0.02307,0.19169,0.11825,0.13533,0.20327,0.13548,0.22361,0.03104,0.02408,0.18047,0.24013,0.08112,0.05509,0.16803,0.01719,0.03775,0.08302,0.15764,0.00266,0.05586,0.05061,0.03111,0.07284,0.08808,0.0851,0.02386,0.06661,0.02849,0.11082,0.16098,0.11398,0.08284,0.0741,0.15119,0.36458,0.19732,0.11829,0.04558,0.09586,0.20516,0.01064,0.0,0.04411,0.03266,0.52821,0.31931,0.04169,0.15597,0.09503,0.13968,0.0743,0.24107,0.23011,0.05155
[Collinsella]_massiliensis,0.62287,0.03538,0.06366,0.01373,0.20827,0.16646,0.00492,0.17939,0.3451,0.58237,0.02325,0.00165,0.28298,0.07347,0.38974,0.01126,0.0027,0.04781,0.11635,0.08898,0.01743,0.09244,0.1567,0.03755,0.07511,0.05529,0.03612,0.32191,0.19183,0.18268,0.38574,0.38869,0.16371,0.1068,0.11458,0.52075,0.00196,0.42081,0.06476,0.20674,0.10311,0.04697,0.39216,0.4371,0.04305,0.52775,0.35622,0.26826,0.6004,0.28059,0.60519,0.11761,0.04723,0.328,0.48481,0.25941,0.09717,0.44321,0.06375,0.13268,0.23439,0.41889,0.01653,0.12563,0.09239,0.15386,0.19855,0.18786,0.2007,0.04959,0.14864,0.0925,0.23119,0.39774,0.34104,0.24669,0.11067,0.1934,0.68757,0.4424,0.24305,0.12548,0.21144,0.45045,0.03035,0.12558,0.2115,0.08363,1.15151,0.5085,0.10695,0.3808,0.21586,0.36232,0.2342,0.56491,0.56831,0.14335
Adlercreutzia_equolifaciens,0.14402,0.05661,0.00787,0.00897,0.07384,0.0,0.0,0.09243,0.0,0.62834,0.01002,0.0,0.00979,0.0,0.2935,0.01608,0.0016,0.01256,0.05281,0.00822,0.00277,0.0258,0.0365,0.0,0.01031,0.05144,0.06133,0.15592,0.16201,0.00754,0.33207,0.20986,0.09921,0.06179,0.12704,0.10461,0.0,0.02072,0.04033,0.22946,0.11255,0.00479,0.03077,0.04259,0.0,0.11006,0.08778,0.04701,0.24402,0.22389,0.10255,0.25003,0.04898,0.41547,0.22237,0.4078,0.09638,0.12253,0.00687,0.14424,0.24151,0.36353,0.00446,0.0905,0.01141,0.02696,0.01384,0.00451,0.01467,0.0,0.02985,0.01966,0.14879,0.06233,0.09828,0.0354,0.04607,0.03913,0.46435,0.27759,0.05582,0.30615,0.10999,0.38077,0.01817,0.13565,0.29138,0.07815,0.00568,0.06573,0.03519,0.29807,0.29224,1.57531,0.17015,0.50806,0.29104,0.13554
Asaccharobacter_celatus,0.20669,0.08011,0.0085,0.01151,0.16784,0.00804,0.0,0.10108,0.07174,1.01763,0.01556,0.0,0.0121,0.0,0.40358,0.01931,0.00517,0.01785,0.07204,0.0167,0.00674,0.06396,0.09172,0.00195,0.0159,0.06481,0.0872,0.16791,0.18107,0.04657,0.84204,0.42741,0.22441,0.12313,0.23431,0.1638,0.0,0.0387,0.05195,0.34739,0.27927,0.0045,0.03612,0.10206,0.01045,0.1628,0.14335,0.06404,0.30521,0.39288,0.12259,0.30572,0.04992,0.61048,0.17254,0.52738,0.15956,0.19596,0.01106,0.22371,0.33489,0.45663,0.02408,0.20494,0.0098,0.03728,0.02324,0.01334,0.04723,0.00641,0.03883,0.02549,0.21163,0.08518,0.17292,0.0538,0.05731,0.0618,0.63596,0.32121,0.08554,0.64764,0.26727,0.46636,0.02729,0.31442,0.50616,0.12884,0.01443,0.10054,0.02691,0.25156,0.40401,2.34567,0.30496,0.96991,0.45668,0.19284
Denitrobacterium_detoxificans,0.00909,0.02388,0.00698,0.0,0.00894,0.0,0.0,0.00784,0.0,0.02893,0.00566,0.0,0.00202,0.0,0.01484,0.00666,0.0,0.00392,0.02584,0.0013,0.0,0.00166,0.00599,0.0,0.0,0.02464,0.03529,0.00622,0.00272,0.00871,0.02804,0.02215,0.00562,0.01443,0.04627,0.01579,0.0,0.0059,0.00665,0.01154,0.0122,0.00208,0.02898,0.00724,0.0,0.01859,0.01006,0.00771,0.01818,0.02249,0.05023,0.0199,0.01742,0.03064,0.02532,0.03591,0.00771,0.0117,0.00463,0.06925,0.00947,0.02412,0.0,0.0,0.00426,0.01837,0.02766,0.01261,0.00087,0.0,0.00268,0.0,0.01265,0.01419,0.006,0.00993,0.0119,0.01081,0.03616,0.00898,0.01065,0.02797,0.0922,0.12178,0.0,0.0,0.149,0.03175,0.02126,0.02101,0.0044,0.02588,0.01786,0.02378,0.03243,0.01751,0.01991,0.00122
