TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,sensitiveSample_14,sensitiveSample_15,sensitiveSample_16,sensitiveSample_17,sensitiveSample_18,sensitiveSample_19,sensitiveSample_20,sensitiveSample_21,sensitiveSample_22,sensitiveSample_23,sensitiveSample_24,sensitiveSample_25,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20,tolerantSample_21,tolerantSample_22,tolerantSample_23,tolerantSample_24,tolerantSample_25,tolerantSample_26,tolerantSample_27,tolerantSample_28,tolerantSample_29,tolerantSample_30,tolerantSample_31,tolerantSample_32,tolerantSample_33,tolerantSample_34,tolerantSample_35,tolerantSample_36,tolerantSample_37,tolerantSample_38,tolerantSample_39,tolerantSample_40
Slackia_isoflavoniconvertens,0.03803,0.02003,0.01038,0.0,0.01591,0.00947,0.0,0.01674,0.0271,0.05263,0.00715,0.0,0.01233,0.00121,0.00145,0.00683,0.00292,0.0,0.0,0.02925,0.01691,0.02689,0.04799,0.0,0.1867,0.01799,0.01635,0.05811,0.01306,0.36045,0.01565,0.0,0.02624,0.06343,0.02997,0.03268,0.03572,0.34154,0.00948,0.01166,1.17012,0.03026,0.06487,0.01286,0.02397,0.00919,0.02279,0.01309,0.00653,0.70223,0.0183,0.01248,0.03535,0.06671,0.02775,0.08292,0.02246,0.93589,0.00442,0.12054,1.4034,0.01722,0.04709,0.04261,0.0484
Streptococcus_salivarius,0.84339,0.211,0.04827,0.0007,0.0,0.01571,0.0,0.58046,0.22119,0.63368,0.01838,0.0,0.03425,0.25369,0.14159,0.02739,0.07545,0.03441,0.04101,0.05135,0.123,0.02917,0.10172,0.0,0.13918,1.1102,0.56882,0.248,0.19846,0.00555,0.37262,0.32303,0.15173,0.01217,0.94938,3.55488,0.39567,0.58779,0.13462,0.02063,0.28723,0.30185,0.10374,0.35615,0.13672,0.0785,0.22134,0.0629,0.06836,0.0584,0.15441,0.7415,0.16444,0.06363,0.50131,1.39917,0.25793,0.06612,0.09955,0.15293,3.24454,0.0579,0.21902,0.0727,0.38545
Romboutsia_ilealis,0.0,0.034,0.00142,0.0,0.07856,0.0,0.0,0.00203,0.0,0.02111,0.0,0.0,0.01183,0.0,0.00092,0.0,0.0,0.38503,0.0,0.01948,0.0,0.00599,0.04242,0.0,0.00294,0.00826,0.06587,0.14853,0.0,0.00726,0.01372,0.24923,0.01329,0.00973,0.02189,0.04852,0.01126,0.02264,0.0,0.00324,0.05171,0.22196,0.00072,0.03044,0.1201,0.02031,0.01453,0.12444,0.00066,0.0,0.0,0.12805,0.05312,0.05215,0.01259,0.06776,0.01146,0.03656,0.0,0.0615,0.60504,0.00648,0.0234,0.00475,0.31558
