TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,sensitiveSample_14,sensitiveSample_15,sensitiveSample_16,sensitiveSample_17,sensitiveSample_18,sensitiveSample_19,sensitiveSample_20,sensitiveSample_21,sensitiveSample_22,sensitiveSample_23,sensitiveSample_24,sensitiveSample_25,sensitiveSample_26,sensitiveSample_27,sensitiveSample_28,sensitiveSample_29,sensitiveSample_30,sensitiveSample_31,sensitiveSample_32,sensitiveSample_33,sensitiveSample_34,sensitiveSample_35,sensitiveSample_36,sensitiveSample_37,sensitiveSample_38,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20,tolerantSample_21,tolerantSample_22,tolerantSample_23,tolerantSample_24,tolerantSample_25,tolerantSample_26,tolerantSample_27,tolerantSample_28,tolerantSample_29,tolerantSample_30,tolerantSample_31,tolerantSample_32,tolerantSample_33,tolerantSample_34,tolerantSample_35,tolerantSample_36,tolerantSample_37,tolerantSample_38,tolerantSample_39,tolerantSample_40,tolerantSample_41,tolerantSample_42,tolerantSample_43,tolerantSample_44,tolerantSample_45,tolerantSample_46,tolerantSample_47,tolerantSample_48,tolerantSample_49,tolerantSample_50,tolerantSample_51,tolerantSample_52,tolerantSample_53,tolerantSample_54,tolerantSample_55,tolerantSample_56,tolerantSample_57,tolerantSample_58,tolerantSample_59,tolerantSample_60
2.7.11.32,528.363,23.37,11.423,18.861,103.413,104.384,0.0,5.768,8.543,109.827,23.304,43.771,32.486,9.211,64.826,5.741,0.0,15.554,25.351,171.267,34.11,293.26,43.852,40.264,18.658,18.596,79.732,47.318,24.973,54.258,43.057,74.987,0.0,54.319,63.592,23.539,24.589,24.887,45.779,6.339,104.067,76.997,25.227,242.542,317.442,131.038,9.054,118.173,347.636,31.783,76.729,20.691,26.298,284.271,116.727,106.759,77.788,183.504,56.198,448.36,27.124,33.437,99.113,99.856,27.835,30.723,22.258,6.066,14.101,87.951,225.659,591.42,177.742,70.904,34.625,16.122,91.352,68.147,154.691,396.681,34.733,22.714,181.779,175.311,0.0,81.1,109.708,105.091,1197.078,265.372,28.741,118.95,55.563,35.689,32.112,63.702,392.182,50.043
2.7.4.27,528.363,23.37,11.423,18.861,103.413,104.384,0.0,5.768,8.543,109.827,23.304,43.771,32.486,9.211,64.826,5.741,0.0,15.554,25.351,171.267,34.11,293.26,43.852,40.264,18.658,18.596,79.732,47.318,24.973,54.258,43.057,74.987,0.0,54.319,63.592,23.539,24.589,24.887,45.779,6.339,104.067,76.997,25.227,242.542,317.442,131.038,9.054,118.173,347.636,31.783,76.729,20.691,26.298,284.271,116.727,106.759,77.788,183.504,56.198,448.36,27.124,33.437,99.113,99.856,27.835,30.723,22.258,6.066,14.101,87.951,225.659,591.42,177.742,70.904,34.625,16.122,91.352,68.147,154.691,396.681,34.733,22.714,181.779,175.311,0.0,81.1,109.708,105.091,1197.078,265.372,28.741,118.95,55.563,35.689,32.112,63.702,392.182,50.043
3.6.1.61,18.897,9.943,7.944,0.0,80.585,0.0,0.0,0.0,0.0,34.269,0.0,0.0,14.013,0.0,17.713,7.861,0.0,21.257,24.264,0.0,15.836,163.172,39.825,0.0,0.0,9.858,18.653,0.0,0.0,5.333,8.021,84.541,0.0,0.0,0.0,15.847,0.0,0.0,13.326,24.481,59.581,0.0,17.241,29.533,126.708,61.608,0.0,61.789,23.946,26.383,23.761,8.007,0.0,16.459,114.704,0.0,48.488,68.902,17.883,228.748,0.0,14.48,45.729,0.0,0.0,0.0,13.136,5.34,0.0,0.0,161.66,260.304,51.113,85.963,58.387,0.0,20.288,35.672,91.137,28.069,15.828,16.304,19.843,7.972,0.0,12.587,49.79,58.89,458.213,104.9,18.688,107.701,9.916,5.238,0.0,87.367,130.396,0.0
4.1.2.29,29.272,45.795,0.0,0.0,75.71,0.0,0.0,14.8,0.0,62.461,12.265,0.0,12.381,9.389,11.906,0.0,0.0,0.0,17.933,0.0,12.454,155.025,31.935,0.0,0.0,27.463,10.968,0.0,0.0,0.0,6.741,45.604,7.998,0.0,0.0,0.0,0.0,28.961,8.217,14.924,49.883,0.0,13.939,110.109,301.639,46.28,0.0,58.666,98.29,6.724,57.983,0.0,0.0,39.813,95.847,15.074,51.112,139.093,42.839,228.25,19.849,5.471,4.502,0.0,0.0,7.449,0.0,21.297,0.0,4.509,95.145,479.352,110.268,113.785,22.073,4.389,40.629,27.859,106.79,34.912,13.809,5.6,32.054,10.49,0.0,6.983,8.322,49.078,627.797,92.456,0.0,106.043,32.945,28.884,11.1,59.278,282.541,0.0
4.99.1.4,15.459,88.902,51.692,0.0,244.908,15.483,66.4,2.025,12.903,120.412,31.993,0.0,13.732,51.869,10.648,23.113,0.0,16.056,20.604,0.0,68.004,572.922,117.506,9.758,14.101,99.06,19.556,90.997,5.766,37.953,0.0,156.761,82.66,36.977,48.766,27.645,0.0,0.0,41.892,53.151,78.722,15.437,75.115,108.407,285.405,114.718,18.893,198.277,99.11,31.028,77.648,25.875,177.246,107.948,233.819,23.653,55.078,341.433,113.579,376.278,69.961,36.02,52.082,75.12,41.776,108.717,24.347,90.566,6.551,32.52,268.85,372.998,71.096,136.99,94.321,9.767,534.737,183.546,138.17,99.82,7.292,4.796,140.261,9.988,20.258,25.651,122.506,231.082,1426.978,133.259,10.66,209.959,49.711,33.659,25.758,199.219,890.317,1668.416
6.3.1.5,343.929,359.307,205.307,32.921,233.865,1186.647,236.157,953.536,113.855,333.336,52.465,23.345,83.018,198.136,625.376,145.478,43.815,318.473,50.724,25.816,77.969,263.802,70.734,859.409,755.008,187.366,214.39,490.405,230.925,145.795,90.48,542.394,342.971,157.575,226.457,614.514,6.664,133.349,142.164,474.284,477.284,65.5,2163.175,189.774,844.671,324.826,316.063,188.419,2653.396,306.735,1258.284,286.599,356.183,534.636,214.59,647.101,505.503,311.683,383.891,723.825,264.233,365.786,598.575,134.1,251.012,445.444,1207.483,439.746,38.262,55.093,1585.346,998.468,323.099,264.563,511.039,317.698,2721.216,112.247,3165.786,3567.462,117.01,263.95,1210.353,1752.26,93.962,23.529,482.994,555.271,1188.518,787.268,114.411,266.91,1391.018,1771.129,437.42,607.92,670.513,1821.788
