TaxoName, mean0_tolerant, mean1_sensitive
(N(1) + N(8))-acetylspermidine,1.7587949999999997,3.3472842105263156
"1,7-dimethylurate",0.7867583333333333,1.7326552631578949
1-methylhypoxanthine,0.8298516666666667,1.5995315789473683
1-methylnicotinamide,0.7065683333333334,7.08708684210526
1-methylurate,0.9957766666666664,3.7553868421052634
1-methylxanthine,1.3747083333333334,3.2102894736842105
1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*,1.8744133333333333,1.3510736842105262
1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*,1.164538333333333,0.8316078947368423
11-ketoetiocholanolone sulfate,0.5470566666666666,0.7496447368421052
2'-deoxyguanosine,1.2316966666666664,2.2679710526315793
2'-deoxyinosine,1.113405,1.687378947368421
"2,8-quinolinediol",7.447536666666665,4.452392105263159
2-aminophenol,1.6558666666666668,0.8472236842105264
2-oxo-1-pyrrolidinepropionate,1.1252466666666665,0.9318684210526315
3-(4-hydroxyphenyl)lactate (HPLA),1.4219833333333336,1.00065
3-formylindole,1.506785,1.0278552631578945
3-hydroxybutyrate (BHBA),2.82428,1.1713842105263157
3-hydroxyoleate*,2.241520000000001,1.0245131578947364
3-hydroxypalmitoylcarnitine,0.6842416666666667,1.278792105263158
3-hydroxyvalerate,1.210005,0.7698868421052631
3-indoleglyoxylic acid,1.6707233333333333,1.087371052631579
3-ketosphinganine,1.3199083333333332,2.7721684210526316
3-methyl-2-oxobutyrate,1.523615,0.9279605263157894
3-methyl-2-oxovalerate,1.41565,0.9435052631578947
3-methyladipate,7.618468333333333,0.9228315789473686
3-methylhistidine,2.529188333333333,4.062568421052631
4-hydroxycyclohexylcarboxylic acid,0.8994666666666666,0.8140394736842106
4-hydroxyphenylpyruvate,1.5773116666666667,0.9970526315789475
4-methyl-2-oxopentanoate,1.3983266666666665,0.948092105263158
4-methylthio-2-oxobutanoate,1.3883050000000001,0.8544184210526318
"5,6-dihydrouridine",0.9645983333333332,1.461981578947368
5-oxoproline,1.826528333333333,1.5184105263157894
"5alpha-androstan-3alpha,17beta-diol disulfate",0.29646000000000006,0.9401052631578949
"5alpha-pregnan-3beta,20alpha-diol disulfate",0.3956266666666666,0.7895184210526314
"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",0.519385,0.8086657894736843
alpha-tocopherol,1.2627466666666665,0.8579105263157892
alpha-tocotrienol,1.2870533333333334,0.695236842105263
"androstenediol (3alpha, 17alpha) monosulfate (2)",0.3558083333333332,0.45159999999999983
"androstenediol (3beta,17beta) disulfate (1)",0.4286966666666666,1.3619710526315791
