TaxoName,pValue,fdrCorrectedpVal,CohenEffectSize,foldChanges,Mean0_tolerant,mean1_sensitive
CE(14:1),0.025191943289663617,0.23545841166264467,0.24617642333396222,0.5883179851761516,1.1171616666666668,1.8989078947368423
CE(18:3),0.002362040901235041,0.061055178447075455,0.19649035852985575,0.6671498034530751,1.187428333333333,1.7798526315789474
CER(16:0),0.0027948302303065268,0.06975749145943726,0.21750463634434014,0.648215706405446,1.2893283333333334,1.989042105263158
CER(18:0),0.0022228882911891307,0.06071208271978013,0.2457704465532245,0.551130279164691,1.5354866666666669,2.7860684210526316
CER(20:0),0.0007860240279617733,0.035288341886915396,0.18578582326130744,0.6578424704284787,1.445685,2.1976157894736845
CER(22:0),0.0012535134894774845,0.0468763346040898,0.21740684453014267,0.6364547170250935,1.3657999999999997,2.1459500000000005
CER(22:1),0.00041712429355889903,0.03234609294597644,0.35892726051145285,0.5106785915617156,1.1379316666666666,2.228273684210526
CER(24:0),0.000716519335268342,0.035288341886915396,0.19633748967559844,0.6721967811578149,1.3910033333333334,2.069339473684211
CER(24:1),0.0016747457583037723,0.053004988417858084,0.16959565390543363,0.6885774151843431,1.3548666666666667,1.9676315789473684
DAG(16:1/18:3),0.0002782594601636261,0.026372813279952563,0.2857498114709186,0.548609597148195,1.0078983333333331,1.8371868421052633
DCER(22:0),0.005228939323910399,0.1013701191658084,0.1420890570858297,0.8373675782567002,1.1481433333333333,1.3711342105263156
FFA(18:0),0.017979606171298124,0.1991766761573675,0.19284435329433997,1.25621550975578,1.2360433333333334,0.9839421052631581
FFA(18:1),0.0089503914269484,0.14308148385394423,0.26613091900917735,1.3355050871196987,1.1877033333333331,0.889328947368421
FFA(20:0),0.005656413298626611,0.10722045652729999,0.12811110390157177,1.29024280899757,1.4440533333333332,1.1192105263157897
FFA(20:1),0.01661115728499826,0.19661625349091827,0.1341237247993068,1.2580764897800083,1.2626883333333334,1.0036657894736842
FFA(22:0),0.006534586738522688,0.11612505183249693,0.24795776199245712,1.6400969696969698,1.804106666666667,1.1
HCER(22:1),0.009241028213953489,0.14308148385394423,0.05816006903444444,0.8328027784408347,1.7811766666666666,2.138773684210526
HCER(26:0),0.0033774639158648764,0.07786423568196593,0.19006129337188674,0.6722537227011023,1.2954400000000001,1.9270105263157897
HCER(26:1),0.0047762957425378505,0.09700429210439969,0.06299031320630867,0.8012003960022416,1.854975,2.315244736842105
LCER(14:0),0.000670345515607538,0.035288341886915396,0.3016320167447093,0.6060167379287563,1.1506583333333331,1.8987236842105262
LCER(16:0),0.0022775927866740494,0.06071208271978013,0.28810836503625425,0.4597193762650825,1.7127583333333334,3.7256605263157887
LCER(18:0),0.000610453308098054,0.035288341886915396,0.23738373055189108,0.36906785455785696,1.7636383333333332,4.7786289473684205
LCER(18:1),0.0039757819747745565,0.0827156591337243,0.28777367955335276,0.90237901326243,0.9913583333333332,1.0986052631578946
LCER(20:0),0.0005942654718949105,0.035288341886915396,0.31831245398583585,0.46279356387119497,1.5576766666666662,3.3658131578947366
LCER(20:1),0.0039757819747745565,0.0827156591337243,0.33628832926292335,0.56930895283773,1.1245350000000003,1.9752631578947366
LCER(22:0),0.0012064439379618783,0.0468763346040898,0.291830639337797,0.4516280792957242,2.021,4.474921052631578
LCER(22:1),0.000266699203907785,0.026372813279952563,0.39986965671121577,0.49432889327631646,1.1754516666666666,2.377873684210526
LCER(24:0),0.0007555200980497271,0.035288341886915396,0.3124326223269082,0.44204311033393356,1.9544749999999995,4.421457894736842
LCER(24:1),0.002862265182978082,0.06975749145943726,0.30634381359205326,0.43192899262564194,1.8892983333333333,4.374094736842106
LCER(26:0),0.000400179832037186,0.03234609294597644,0.38480082883500055,0.5296130476745571,1.1860433333333333,2.2394526315789474
LCER(26:1),0.0007554318066284456,0.035288341886915396,0.30373298878610133,0.616687208622447,1.0454633333333332,1.6952894736842108
LPC(16:0),0.024320517142611565,0.2305044569183074,0.24814061976348215,0.3248698272324736,0.6979699999999998,2.148460526315789
LPC(18:0),0.013091708610827611,0.17725757849263418,0.2075179409252348,0.35469013831346047,0.6941183333333333,1.9569710526315796
LPC(18:1),0.0012932466594937917,0.0468763346040898,0.2744631190317401,0.47974728074430484,0.1925983333333334,0.4014578947368422
LPC(18:2),0.0039252335795737425,0.0827156591337243,0.2202132223407672,0.8228268988624967,0.6425866666666666,0.7809499999999998
LPE(15:0),5.3426732436759755e-05,0.013844896166190042,0.38379670530579607,0.39501271650400277,0.8784833333333333,2.2239368421052625
LPE(16:0),1.7791037427985515e-05,0.010509986454119675,0.36581290337861067,0.44044297827906365,1.178078333333333,2.674757894736842
LPE(16:1),0.0016777663391350154,0.053004988417858084,0.37847198128649107,0.4433771686539007,0.47538666666666674,1.0721947368421052
LPE(17:0),7.184422111427424e-05,0.013844896166190042,0.326076063485866,0.46051808310625103,0.9993133333333333,2.169976315789474
LPE(18:0),0.014879539816247109,0.18851962336333164,0.21879943330229132,0.4817211926072152,1.2567383333333333,2.60885
LPE(18:1),9.877874360763624e-05,0.014043044716218952,0.38156151418929524,0.4941252194787839,0.9713916666666665,1.9658815789473683
LPE(20:1),0.01977290729962303,0.20527644968101863,0.17488895505813032,0.7309339055121198,0.5235333333333334,0.7162526315789473
MAG(15:0),2.4642406691957033e-05,0.010509986454119675,0.34061594282029645,0.6170249349459443,0.9050083333333334,1.466728947368421
MAG(16:0),0.007371784366300069,0.12329670714615606,0.3246131713854448,0.757823603712086,1.0036316666666665,1.3243605263157894
