TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20
DAG(14:0/20:0),2.0822,1.5201,0.2384,4.3167,0.8293,1.6224,0.52,1.2914,1.4026,3.482,1.3777,3.7169,1.9518,0.5107,1.5438,0.8038,0.4915,1.8011,0.9212,1.3361,1.2841,0.5596,0.8868,1.6617,2.6756,0.8933,1.0815,0.2902,1.1249,1.0398,0.6172,2.7854,1.2259
DAG(14:0/22:6),3.0552,1.1775,1.9455,283.3693,0.5945,2.126,1.3246,0.7719,0.8227,3.8397,1.2895,204.6153,11.5795,0.5858,1.5742,0.8682,1.1492,1.5469,0.5855,1.5203,1.2598,1.0546,1.5534,2.217,173.0111,0.6125,1.6239,0.5148,0.9148,26.0839,0.608,1.1433,0.9527
DAG(16:0/16:1),0.6789,2.3031,0.5403,0.9191,0.8324,1.7772,2.5076,1.0401,1.8379,1.6985,2.1221,1.6484,1.6472,0.9291,1.3902,0.8336,0.9903,0.5052,0.6512,1.5839,1.467,1.1558,1.3726,1.7627,0.6986,0.7394,0.6682,0.1333,1.0599,0.8034,0.7221,1.2899,1.6387
DAG(16:0/18:3),1.2529,1.0299,1.1348,30.6641,1.8864,1.3204,3.1079,1.0086,1.98,0.9337,1.3282,22.1729,1.4519,0.7242,3.7539,1.4467,0.8054,0.8047,1.0379,0.8583,0.9545,0.4652,0.6788,0.6657,13.1983,0.3908,0.9914,0.598,3.6082,2.161,0.5039,1.4246,0.5093
DAG(16:0/20:3),1.3185,3.9263,1.5205,2.0233,0.4269,0.9584,1.0433,1.4719,0.8142,1.5184,1.5536,2.4465,1.3118,1.2168,0.8302,1.5954,1.0235,1.3111,1.3871,0.7707,1.0551,0.739,0.8975,1.2457,1.6168,0.4155,0.8211,1.1758,0.7093,0.9151,1.346,0.9772,1.1568
DAG(16:0/20:5),1.4826,1.1092,2.7277,3.3793,0.518,1.4458,0.8761,1.2333,1.0114,2.0943,0.8813,2.5857,1.3132,0.8379,1.5306,1.2743,1.1492,1.4204,0.6121,0.6354,1.2815,0.5941,1.2218,0.9886,1.686,1.0485,0.9108,0.8013,0.7547,1.5666,0.7314,1.0752,1.1947
DAG(16:0/22:5),1.1996,2.1134,1.087,8.0125,0.9066,0.9936,1.1386,1.3804,1.3947,1.3175,1.8426,4.2578,0.9947,1.0575,0.998,1.8587,0.9971,1.0019,0.8486,0.6952,2.3544,0.4618,1.7015,1.0249,2.8689,0.522,0.7872,0.9967,0.8735,1.1733,0.7266,1.0208,1.4709
DAG(16:1/18:0),1.2167,1.3528,1.0252,10.2085,0.5837,1.1123,1.8233,1.0024,2.2491,2.8249,0.7333,6.6653,1.9909,0.6849,1.19,0.9425,0.6612,0.4249,0.9976,0.8016,1.5456,0.5547,1.3809,0.6839,4.4199,0.542,0.5804,0.3109,0.7147,2.2218,1.1515,2.3396,0.9929
DAG(16:1/18:1),1.5731,1.2336,1.2745,1.1116,0.6995,1.2506,4.6991,0.8104,4.169,1.245,0.5464,2.5811,1.8127,0.4507,2.4736,0.5417,0.7732,0.5021,0.3651,1.1236,2.6224,0.6355,1.989,0.9866,1.2873,0.4808,0.4666,0.7352,1.026,1.0831,0.9918,5.5601,0.6982
DAG(16:1/18:2),6.0045,0.7921,3.3012,28.6522,0.8741,1.2147,5.6879,0.8351,1.7643,1.0595,0.8675,15.4617,2.3088,0.5457,3.0503,0.9767,1.1568,0.9967,0.5552,1.2125,2.1611,0.5883,2.3749,1.3118,10.6966,0.4334,0.5551,0.3174,1.7092,2.429,0.4653,3.0159,0.9071
DAG(16:1/18:3),3.0415,1.3468,1.4785,11.9216,0.911,1.2169,2.1455,0.9028,1.796,1.4591,1.4402,5.9784,2.3691,0.5591,1.3904,1.0507,1.8822,0.9124,0.4433,0.7436,1.2896,0.6951,1.5761,1.7724,5.0858,0.5013,0.7385,0.4062,0.9644,1.2456,0.4825,0.9078,1.6692
DAG(16:1/20:0),1.8615,1.1444,0.1518,6.5491,0.7767,1.557,0.6705,1.3428,3.4692,4.0551,1.1464,3.4724,1.8011,0.4482,2.5015,0.7584,0.6113,2.0545,0.8231,1.6081,2.0525,0.5743,1.1231,1.4164,3.2697,0.8906,0.8201,0.1624,0.6478,1.1384,0.4739,1.4398,1.3531
DAG(16:1/20:2),2.0088,0.6511,4.5507,4.6085,0.7095,1.5694,1.3887,0.8261,1.6866,1.5475,0.5539,7.5296,2.4775,0.4438,2.3778,0.8639,0.9202,0.8988,0.7775,1.0588,0.9282,0.5063,1.0954,0.9507,2.006,0.3342,0.7636,0.3734,2.1731,1.3005,0.3785,5.1518,0.6171
DAG(16:1/20:4),2.447,1.3002,2.0278,3.4278,0.5327,1.3554,1.2288,1.182,0.9336,5.3364,1.0708,3.6243,2.0326,0.7097,1.4136,2.4112,1.1955,2.9687,0.6651,1.2197,1.9949,0.6208,1.3232,1.0532,1.9718,0.7869,0.8399,0.5758,0.9695,1.3261,0.6442,0.7939,0.9793
DAG(18:0/18:1),1.3796,1.4998,5.7423,0.4997,1.2551,2.2464,2.6151,1.2146,2.2541,0.7228,0.8209,7.4903,0.8149,0.7349,2.1586,1.2807,0.4864,0.421,1.3367,1.0803,1.2195,0.5644,1.0924,0.8578,0.5048,0.5016,0.6999,0.3846,3.1189,1.6803,0.5443,11.6865,0.7393
DAG(18:0/18:2),1.5289,1.6389,9.9002,1.4926,2.1818,1.6199,3.044,1.4998,2.6504,0.7759,0.3977,10.843,0.392,0.6145,3.8236,0.8702,0.7906,0.963,1.3189,1.4692,1.0947,0.5574,0.8149,0.6571,0.7521,0.2607,0.6666,0.3042,5.6138,0.9074,0.5466,9.2268,0.479
DAG(18:0/18:3),1.7132,0.9944,3.2672,0.6481,1.7895,1.7624,2.3322,1.2003,2.0492,1.5194,1.0863,6.2366,0.7487,0.7399,3.1038,1.117,0.5953,2.31,1.0236,0.9931,0.9664,0.4887,0.7526,0.6592,0.7562,0.5582,0.9631,0.6244,4.1194,0.7835,0.4486,3.6172,0.495
DAG(18:1/20:1),0.8962,0.7297,3.5681,15.5772,1.3725,2.7602,1.4475,0.7223,1.9486,1.1931,0.5976,15.289,1.8554,0.4778,3.9161,1.099,0.4219,0.5549,0.9504,1.5018,0.8632,0.4174,1.3885,1.1559,5.9505,0.404,0.7453,0.533,2.7983,1.2989,0.4021,12.042,0.7347
DAG(18:1/20:3),4.1338,1.1619,3.2281,5.3305,0.9084,6.9087,1.0789,1.4943,0.6748,2.251,1.5014,1.7439,1.6198,0.3171,2.6685,0.6205,0.7586,2.5357,1.0245,0.5511,0.6148,1.4733,0.6974,2.1279,2.1505,3.0261,0.671,0.5824,0.6307,0.7143,0.431,1.0457,1.2907
DAG(18:1/20:4),2.2737,1.265,3.9747,7.8368,0.6353,1.5718,1.9397,1.1486,0.5392,2.0939,1.2411,4.1413,1.6199,0.886,0.9979,3.6335,0.5703,1.6283,1.0638,0.7422,1.1117,0.5156,0.8017,1.5338,3.0599,1.4318,0.7417,0.6368,0.7726,1.7218,0.877,0.6349,0.7015
DAG(18:1/22:4),2.476,1.7394,1.6049,5.0592,1.0206,1.9031,0.8757,1.5247,1.1496,2.1652,1.5014,2.7509,0.9904,1.0174,1.5274,1.4311,0.8289,1.7896,0.7605,0.8378,1.9113,0.6404,0.9809,1.3312,2.304,1.1738,0.8007,0.6067,0.9219,1.2553,0.4641,0.9689,1.0079
DAG(18:1/22:5),2.1341,1.3303,1.7244,5.2826,0.9331,1.4371,1.1334,1.3368,1.2836,2.193,1.7853,2.7385,1.1678,0.6197,1.4337,1.6842,0.8978,1.5419,1.2341,1.0971,1.792,0.5542,1.0804,1.0294,1.6391,0.7662,0.6312,0.8049,0.7336,0.889,0.5887,1.4916,0.9501
DAG(18:1/22:6),2.3545,1.0776,2.9286,5.2964,0.6425,1.4486,1.1924,0.9224,1.3431,2.5901,0.6964,3.3436,2.2131,0.63,1.5781,0.8421,1.0584,3.4002,0.9471,0.8049,1.5719,0.5983,1.4469,0.9232,2.9366,0.8273,0.7285,0.8503,0.9364,1.4538,0.6761,2.2033,0.6961
DAG(18:2/20:3),2.1217,0.9219,4.0784,14.7507,0.7066,4.5371,1.4884,1.1623,0.6113,1.5642,0.7337,7.1388,1.803,0.3237,1.9998,0.7293,0.9388,3.37,1.6309,1.1132,0.9526,1.0825,1.1531,2.4998,5.9583,2.2669,0.584,0.3497,0.9116,0.9684,0.341,0.4736,0.6586
DAG(18:2/20:4),1.7484,0.9357,3.4633,1.951,0.569,2.0779,2.0521,1.0943,0.6755,2.2793,1.0815,1.5478,1.5899,0.6654,1.4959,0.9964,1.2207,3.1964,1.9134,0.9954,1.8816,0.5671,1.2935,2.1888,1.456,1.2269,0.5993,0.4404,0.7487,0.8685,0.4363,0.5855,0.9082
DAG(18:2/22:4),1.705,0.7864,1.5924,2.5475,0.7505,1.535,0.8284,1.6706,2.0102,2.3172,2.0026,1.7604,1.0529,0.5085,1.285,0.8928,0.9684,1.653,0.7532,1.1782,2.7849,0.7284,1.602,1.036,1.8361,0.9621,0.4596,0.2927,1.1884,1.036,0.4094,0.8364,1.2656
DAG(18:2/22:5),2.3602,0.8724,2.7292,6.2238,0.8709,2.0972,1.1133,1.2723,1.9957,2.1981,1.2062,3.0242,1.1662,0.5197,1.8336,0.8901,1.0559,2.6534,1.1176,1.5935,2.5945,0.5239,1.3589,0.8838,2.1458,0.5474,0.638,0.5808,1.5469,0.9138,0.5122,1.9283,1.0013
DCER(22:0),2.8192,1.8925,2.0532,1.2848,1.1267,0.9436,1.1143,0.7384,1.349,2.2439,1.6025,1.2581,1.0435,0.7351,1.1408,0.7318,1.2443,1.3429,1.277,0.7605,1.8589,0.5135,2.5562,1.0313,0.951,0.6985,0.6087,0.5303,0.704,0.5704,0.7836,0.5818,1.2686
DCER(22:1),1.7767,1.8054,2.1936,1.0306,1.3547,0.9014,0.6429,0.9552,0.885,2.0094,1.7946,0.8265,1.2461,0.8458,0.8476,1.0982,1.0686,2.0799,1.2146,0.889,1.2304,0.6915,1.1036,1.0557,0.712,0.8645,0.8153,1.0478,0.8289,0.9073,0.7246,0.7284,1.174
DCER(24:1),3.2625,1.4339,1.5848,1.4064,1.0343,0.9593,0.8868,0.8537,2.3679,2.6091,0.7917,1.0228,1.4975,1.2053,3.4015,0.9837,1.2875,1.7343,1.035,1.406,1.2806,0.6142,1.5995,0.8019,0.8527,0.9437,0.7958,0.6442,0.7664,0.9184,0.6972,0.569,1.0621
FFA(12:0),0.4994,1.0092,1.4011,0.6912,1.7208,0.6693,0.5751,1.1423,0.8352,0.6347,0.7941,0.638,0.7659,3.0426,5.3252,1.8456,1.3985,23.2442,0.6479,0.5518,2.1039,1.1755,0.402,1.0072,0.3637,12.5349,1.126,9.421,23.0857,1.2539,3.4711,32.3041,0.3248
FFA(18:1),0.955,0.9035,1.0975,0.618,0.9809,0.9451,0.72,1.477,0.961,1.0033,0.6212,1.3653,0.7206,1.8604,1.9402,0.8289,1.8016,2.2379,0.5107,0.7475,1.6152,1.3364,0.8732,1.5425,0.5361,1.4065,1.1363,2.4175,1.3784,1.2164,1.2763,1.7337,0.4531
FFA(20:0),1.2128,0.5872,1.4942,0.6132,0.8916,1.3945,0.4403,1.2717,1.4776,1.3798,0.4934,0.5332,1.1226,1.4625,3.3934,1.6233,1.7018,5.2382,0.1878,0.5641,1.4375,0.8972,0.4832,1.9577,0.653,2.0065,2.1233,1.7032,0.8915,0.6138,2.7689,1.7296,0.4051
FFA(22:2),1.0564,0.6003,4.2072,0.2762,0.8164,0.9241,1.0334,1.1654,0.8138,1.1854,0.1794,0.3574,0.8383,1.7318,1.1382,1.2074,1.9926,3.1788,0.1905,0.5357,0.7256,1.2048,1.1713,1.2855,0.3292,0.8657,11.5599,3.782,0.8514,1.3058,2.1878,1.8607,0.3509
HCER(22:1),1.3929,4.9746,0.936,12.1821,0.8782,1.1754,2.3763,0.7105,1.0289,1.4981,3.6594,5.6795,1.015,0.5224,1.1268,0.4879,2.5362,1.6342,3.5138,0.7175,2.2359,0.5297,7.986,0.9517,3.3158,0.5067,0.4821,0.7651,0.9132,0.7545,0.2652,0.6348,1.6756
HCER(24:1),0.8773,16.9162,0.7502,4.7463,1.3635,0.6737,4.1962,1.1027,0.8941,1.6833,6.3355,3.2236,0.4927,0.826,0.9597,0.4976,3.4312,0.9319,5.7124,0.7839,2.907,0.409,19.9988,0.8207,2.3478,0.6068,0.313,0.2013,0.6703,0.6422,0.1472,0.6808,1.8207
HCER(26:0),3.8029,3.0318,1.2518,3.4672,1.0371,1.1529,1.8025,1.5665,2.4619,6.472,1.0214,2.2459,1.8171,1.6288,2.4525,0.5589,1.2286,0.8112,1.9365,0.3849,1.2256,0.2778,2.2206,0.8582,1.2637,0.6259,0.3831,0.2574,0.5389,0.5406,0.7741,0.406,1.4571
HCER(26:1),5.374,5.7854,4.7944,2.2452,0.731,0.7142,2.7183,1.1771,1.9424,4.1754,1.2049,1.5021,1.5083,1.2986,1.9026,0.4767,1.9933,0.5985,1.3746,0.3693,1.1572,0.2117,7.0853,0.5082,0.9299,0.3835,0.3549,1.1659,0.6771,0.6896,0.5297,0.7553,1.5279
LCER(14:0),3.2356,5.2117,1.3157,2.5022,1.9974,0.8291,2.7417,1.0935,1.0016,1.9964,2.5241,1.9586,1.0929,0.6828,1.1949,0.4813,0.9517,0.8108,3.6505,0.7752,1.5022,0.4377,3.0875,0.7103,1.1464,0.4388,0.4334,0.7133,0.7531,0.5812,0.5032,0.7321,2.4102
LCER(16:0),1.5976,14.3889,0.7872,7.1914,4.0359,1.276,8.3971,0.8058,0.7172,1.023,5.9443,4.9323,0.3621,1.5086,0.3845,0.3651,0.5513,0.391,7.3129,1.1072,0.9229,0.5025,10.6256,0.7999,2.4914,0.2016,0.1601,0.2324,1.0989,0.5607,0.1315,0.7693,4.7507
LCER(18:0),1.5647,36.8354,0.9883,5.3938,4.9795,1.55,3.0189,2.2705,0.7262,1.1013,3.1002,6.105,0.6128,1.3808,0.5222,0.6868,0.565,0.3071,3.9548,0.8197,0.9498,0.4206,10.1868,1.2579,2.5753,0.3485,0.2206,0.21,1.0758,0.5441,0.2009,0.6401,5.0206
LCER(18:1),1.2989,1.4408,1.1581,0.958,0.884,1.0128,1.1181,1.0035,1.0559,1.2275,1.1409,1.021,1.0072,0.8179,0.9662,0.975,0.9125,1.127,1.2345,0.9621,0.9549,0.8942,1.3127,1.0389,0.7748,0.9446,0.8511,1.0386,0.8037,0.7226,0.9165,1.0074,1.0533
LCER(20:0),4.5757,13.0573,2.0467,6.8207,3.2763,1.4017,4.7861,1.1364,1.0891,3.422,3.5349,4.7648,0.6771,0.9927,0.969,0.635,0.6069,0.7118,5.1416,1.0964,0.8226,0.3938,8.4702,1.0073,2.5559,0.2683,0.2887,0.3585,0.7495,0.6256,0.2521,0.9199,5.8596
LCER(20:1),5.937,2.5695,2.2853,1.9742,1.1405,1.192,1.625,0.5695,1.7813,3.7245,1.2311,1.9841,1.2925,0.5809,1.6166,0.4056,0.901,1.4265,2.1708,0.6498,1.5125,0.4054,2.2146,0.7887,1.0811,0.4237,0.4323,0.6582,0.8861,0.4762,0.5082,1.4923,1.8487
LCER(22:0),1.7683,17.6495,0.8185,11.1694,6.0438,1.7763,10.2474,0.8573,1.0572,1.1674,9.3383,7.8662,0.4436,0.8705,0.6834,0.4618,0.5324,0.4089,10.6742,1.8318,1.166,0.7649,10.9438,1.0422,2.9009,0.1926,0.1739,0.1419,1.3826,0.7663,0.1476,0.5367,9.1877
LCER(22:1),5.7531,6.36,1.0595,5.6854,2.0177,1.2743,3.3028,0.7321,1.2021,3.0516,2.5034,4.0604,0.6887,0.5648,0.7482,0.5987,0.8368,1.3805,2.9272,0.771,1.3946,0.5017,3.9542,0.937,1.8208,0.5627,0.6115,0.6072,0.6759,0.6821,0.5739,0.6622,2.7267
LCER(24:0),2.0018,18.6421,1.0734,11.3359,5.9306,1.9947,8.2796,0.9655,0.9567,1.0241,7.8888,7.9602,0.5589,1.1396,0.4836,0.6137,0.6151,0.5045,8.221,1.464,0.9497,0.5339,12.0985,1.1437,3.2631,0.2862,0.2345,0.4415,1.5049,0.9387,0.2181,0.7353,6.7862
LCER(24:1),1.18,19.0077,0.6959,11.1965,4.526,1.9628,9.6053,0.98,0.6226,0.9842,7.7027,8.2516,0.5076,1.8,0.5236,0.5064,0.6983,0.5741,7.1065,1.07,1.0148,0.4775,12.1228,0.8954,3.9794,0.2789,0.2419,0.5855,1.2092,0.9944,0.2303,0.6657,5.0747
LCER(26:0),4.6752,3.4007,1.3995,6.0214,1.9766,0.9452,3.0292,0.8274,1.1472,2.543,1.698,3.7647,1.4477,0.5554,1.3531,0.7792,0.8098,0.9913,2.5745,0.5217,1.2924,0.3609,3.8635,0.9183,2.1354,0.4674,0.5826,0.8008,0.6842,0.8554,0.5404,0.5794,2.4928
LCER(26:1),3.9908,2.8258,1.5646,2.3924,1.2829,0.9097,1.5019,0.7943,1.1619,2.3883,1.065,2.2512,1.0811,0.5308,1.0944,0.548,0.9729,1.0271,1.4492,0.3487,0.9941,0.3515,2.4295,0.6255,1.3147,0.3814,0.5162,1.35,0.681,0.5585,0.6567,0.4948,1.6485
LPC(18:0),0.2776,0.7187,1.5851,0.2776,0.5536,2.0642,0.4717,0.2776,0.2776,0.2776,0.4462,0.6758,0.2776,0.2776,0.2776,0.2776,0.2776,0.2776,3.8031,0.2915,0.2776,0.2776,0.2776,0.2776,0.2776,0.2776,0.2776,0.2776,0.2776,0.2776,0.2776,0.2776,0.467
LPE(15:0),1.536,2.1528,1.1702,2.3867,1.549,2.5468,9.3411,0.2344,0.2656,2.1784,0.9953,5.4125,1.4601,0.1442,0.2187,0.1084,3.3286,1.9909,2.2053,0.8704,0.6166,0.7373,1.3699,0.94,0.8279,2.1347,0.3342,0.1803,0.2578,0.1499,0.1516,0.5447,1.6108
LPE(16:0),1.7767,3.43,0.9359,1.9881,2.5143,2.8034,7.0766,0.4628,0.4986,1.4518,1.3661,3.905,2.0611,0.2027,0.2156,0.2793,3.9645,1.1867,3.3403,1.0,1.3394,0.9611,1.0518,0.4986,0.3745,1.7251,0.4004,0.2438,0.8946,0.2035,0.1518,0.9268,2.9698
LPE(17:0),1.3609,1.0944,2.7375,0.9498,1.6432,6.3164,5.6382,0.421,0.5191,1.9086,1.1073,3.2428,1.1392,0.2445,0.6972,0.3822,2.4822,1.5466,1.2044,0.5161,0.7216,0.9275,0.7983,0.9225,1.0785,3.1942,0.2566,0.2445,0.6913,0.4238,0.2445,0.9525,0.8944
MAG(15:0),1.36,1.1475,1.3312,1.48,0.9569,1.2881,1.7002,0.8349,0.9137,1.6309,1.1001,1.48,1.2785,0.6116,0.8452,0.6705,1.5536,1.1904,1.4105,1.099,1.1494,0.6586,1.084,0.8722,1.2228,0.9633,0.5018,0.5841,0.7543,0.7406,0.6199,0.734,1.2087
MAG(16:1),1.3712,1.0178,1.4904,1.0399,0.6549,1.0608,1.4678,0.7053,1.3663,1.0724,1.0888,1.3792,0.941,0.5625,0.8346,1.118,1.5042,1.2364,0.754,1.2312,1.5677,0.5084,0.9781,0.987,0.7026,1.2393,0.6534,0.5667,0.6535,0.6907,0.5886,0.9476,0.7428
MAG(18:3),1.8066,0.8221,1.6714,0.7306,2.133,1.2919,0.9719,1.2504,1.6579,2.0664,1.2934,1.7993,1.5002,0.8577,1.8454,1.1614,0.9059,3.878,1.3727,1.2426,1.7844,0.3608,0.6376,0.6949,0.5693,0.8619,0.7968,0.7255,2.5566,0.6174,0.4626,0.7801,0.5466
MAG(20:0),1.2514,1.1593,1.4882,0.9944,1.1998,0.9487,1.4693,1.3776,2.5367,0.8861,1.3612,4.0358,0.9406,0.9004,0.9977,0.7375,0.848,1.3848,2.3658,0.8367,1.3099,0.4768,1.0614,0.9985,0.5057,0.7485,0.4948,1.0607,0.996,0.9419,0.6397,2.0083,1.3057
MAG(20:1),1.2179,1.0298,2.5567,1.2866,1.0493,1.3118,2.5034,0.9199,2.2768,0.9247,0.7148,6.7266,1.1874,0.492,1.2541,0.5937,0.8108,0.9553,1.7737,1.6591,1.2789,0.3242,1.192,1.0734,0.5342,0.7676,0.5962,0.6058,1.3895,0.68,0.4553,3.6724,0.8463
MAG(20:2),1.4953,1.1975,1.8053,1.7449,1.0119,1.1984,1.8692,1.0136,1.6816,1.3957,0.8918,1.5401,1.1349,0.7692,1.362,0.6085,0.7558,1.4237,1.6447,0.8561,1.4641,0.5483,1.1277,0.9691,0.4658,0.8637,0.9554,0.6413,0.8502,0.7331,0.7772,0.9367,1.0139
