TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20
CE(14:1),2.4676,1.047,4.1583,9.8829,0.569,0.9471,1.0025,1.1512,1.4703,2.0035,0.5208,9.3095,2.3178,1.1011,1.8852,0.5348,1.1787,2.1872,0.3572,1.1499,0.5735,0.4685,0.9927,1.2081,6.2218,0.8896,0.7512,0.758,0.7194,2.0686,0.3112,1.2704,0.564
CE(17:0),2.8001,1.0897,2.6823,3.4833,0.305,0.8729,0.966,0.9915,5.7805,3.5398,0.3545,3.1808,1.9251,1.1661,2.819,0.2698,1.3975,2.2139,0.3566,0.7812,0.6109,0.6008,1.4281,0.5575,2.3223,0.7938,0.6169,0.2041,0.7891,1.2569,0.4054,1.4388,0.5064
CE(18:3),2.3647,1.5857,9.3319,2.1124,0.509,0.6445,1.8416,1.4226,1.5802,1.7889,0.6002,2.4831,2.4075,1.8317,1.6874,0.342,1.2894,0.9945,0.6744,0.6294,0.5911,0.3451,1.3906,0.5434,1.4352,0.5546,0.618,0.7488,1.0195,0.6262,0.2423,0.4976,1.0055
CE(18:4),2.2188,1.0152,6.2313,3.7849,0.4821,1.1091,0.997,1.3276,2.5459,3.7637,0.6039,4.1681,1.99,1.0005,2.1027,0.6445,1.1852,2.9047,0.5272,0.6189,1.0668,0.5563,1.0139,0.9372,2.5791,1.0355,1.8103,0.5171,0.9995,0.9247,0.8552,1.0872,0.6643
CE(20:1),2.6192,1.0049,2.7443,2.3213,0.4055,0.7621,0.9473,1.2413,1.8153,2.4072,0.2543,2.3862,3.5618,1.4659,2.2618,0.3651,1.4337,2.5163,0.4556,1.2395,0.6062,0.4448,2.0515,0.8332,1.6169,0.6088,2.0884,0.3765,0.6665,0.7618,0.296,0.7148,0.6038
CE(22:0),1.6934,0.841,2.3735,5.9043,0.3338,1.0385,1.0261,1.2188,1.6275,3.749,0.4354,3.858,1.8749,1.2915,2.6698,0.3698,1.2192,2.3341,0.5745,1.1959,0.5734,0.465,0.7735,0.8351,2.7821,0.543,1.0838,0.4261,0.5963,1.0045,0.9955,0.7778,0.5203
CE(22:4),4.0283,1.3042,3.3147,2.5328,0.3798,1.1152,1.3152,2.4522,2.2842,3.4865,0.3579,1.9851,6.8537,1.557,2.0383,1.0075,1.0958,2.9921,0.5451,0.4441,1.3539,0.4088,3.9415,1.3166,1.4556,0.9687,2.7895,0.2271,0.8762,0.6212,0.4425,0.9819,0.8963
CE(24:1),1.4394,0.7849,1.7466,3.1534,0.4493,1.2586,0.9163,1.3708,2.4258,3.6462,0.5213,2.111,1.7409,1.533,2.128,0.5667,1.1251,2.3544,0.7149,1.1444,1.1146,0.6,1.1056,0.8657,1.5056,0.8187,1.251,0.4521,0.7597,0.5935,0.467,0.7644,0.8183
CER(16:0),4.0082,2.4643,2.1974,2.0316,1.0902,0.7913,2.0824,0.4395,1.1887,3.8026,1.01,1.9154,1.0996,0.5532,1.1355,0.2746,1.5759,0.6736,2.0409,0.5004,2.2042,0.329,3.9769,0.6162,1.0572,0.4942,0.2627,0.2639,0.9544,0.4267,0.4204,0.4079,1.6259
CER(18:0),6.7614,2.5248,3.8893,2.3326,0.9939,0.994,1.8917,0.5486,0.9253,10.0731,0.5146,1.7113,2.392,0.9647,2.3574,0.824,1.9734,0.4625,1.4214,0.55,1.8753,0.3014,4.8431,1.2758,1.6806,0.8661,0.3201,0.3442,1.0167,0.49,0.9749,0.4215,1.9244
CER(20:0),4.0512,1.9962,2.553,3.9829,0.9053,0.9543,1.9401,0.6029,1.0292,5.0783,1.0208,1.963,1.1906,0.6806,0.9507,0.5877,2.0044,0.5806,1.4891,0.7493,2.0224,0.4067,5.3841,1.1156,1.9527,0.8899,0.5136,0.3355,0.5503,0.6278,0.5003,0.3304,2.1067
CER(22:0),4.13,2.9776,3.9224,3.4525,0.7303,0.9598,1.8583,0.2655,1.7138,2.6124,1.0134,2.2183,0.9563,0.5091,0.6293,0.3341,2.4327,0.3691,1.923,1.0094,3.5122,0.5047,4.9529,0.5744,1.4631,0.5666,0.2159,0.2192,0.692,0.4738,0.3351,0.3497,1.6751
CER(22:1),3.2141,1.7998,4.4974,9.2275,0.7032,1.4369,1.1205,0.4748,1.6409,3.7651,0.8266,4.9895,2.1769,0.664,0.6601,0.5204,1.6481,0.8885,1.097,0.9226,2.4738,0.7743,2.2912,0.7922,3.2741,0.769,0.4899,0.6332,0.8637,1.244,0.535,0.5076,0.9938
CER(24:0),3.5581,3.3577,3.7989,3.6904,0.8651,0.8746,2.0209,0.3321,1.4688,2.8866,0.9714,2.0885,1.1615,0.5951,0.6416,0.3216,2.2815,0.5357,1.8369,0.7872,2.7408,0.4088,5.5244,0.6846,1.5907,0.5749,0.27,0.2386,0.7651,0.5093,0.2547,0.3706,1.721
CER(24:1),3.2277,3.5562,2.8167,3.1435,0.5898,0.8765,2.2627,0.2991,1.2271,3.2514,0.8585,1.9892,1.0779,0.5818,0.5663,0.28,1.768,0.4258,1.619,0.7432,2.5967,0.3717,4.4337,0.7646,1.5732,0.5116,0.1913,0.2547,0.6503,0.457,0.1904,0.3165,1.5639
CER(26:1),2.21,1.7153,2.3557,2.228,1.4846,1.7702,0.9422,0.7685,1.1246,3.2113,0.5423,0.7725,1.9852,0.6557,2.2066,0.9037,1.5896,4.408,0.9589,0.7483,1.0356,0.6275,1.3825,1.4301,1.086,1.0191,0.8325,1.4036,0.5366,1.0477,0.7302,0.8725,0.9809
DAG(14:0/18:3),1.6497,2.1174,1.3293,46.9234,0.9547,1.4596,1.8212,0.7897,1.0001,2.0935,1.7932,31.2288,2.4718,0.5086,1.4295,0.5987,1.0881,0.9528,1.0666,0.8174,1.6208,0.4182,2.0647,0.9702,20.5816,0.535,1.1792,0.7588,1.4921,3.3865,0.7655,0.9229,1.4431
