TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,sensitiveSample_14,sensitiveSample_15,sensitiveSample_16,sensitiveSample_17,sensitiveSample_18,sensitiveSample_19,sensitiveSample_20,sensitiveSample_21,sensitiveSample_22,sensitiveSample_23,sensitiveSample_24,sensitiveSample_25,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20,tolerantSample_21,tolerantSample_22,tolerantSample_23,tolerantSample_24,tolerantSample_25,tolerantSample_26,tolerantSample_27,tolerantSample_28,tolerantSample_29,tolerantSample_30,tolerantSample_31,tolerantSample_32,tolerantSample_33,tolerantSample_34,tolerantSample_35,tolerantSample_36,tolerantSample_37,tolerantSample_38,tolerantSample_39,tolerantSample_40
1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*,0.1886,3.2315,0.1886,0.9543,0.1886,0.1886,10.7399,2.8734,0.1886,0.1886,0.5935,0.4919,0.1886,0.4596,0.62,0.1886,0.1886,0.7332,0.1886,0.2179,1.0013,0.1886,0.1886,0.1886,0.1886,1.3509,0.7106,1.6039,0.7001,0.7688,1.9518,1.8645,0.3838,1.8521,0.6777,2.563,1.4623,0.1886,0.5002,1.2936,1.3368,0.1886,0.9159,0.1886,0.1886,0.7615,1.0416,1.1754,1.2145,0.1886,0.6122,1.813,0.1886,1.9473,2.1955,1.7102,1.2386,10.3723,2.3073,0.1886,0.1886,0.1886,1.1438,1.1552,2.2166
2-aminophenol,0.2805,0.2805,0.2805,0.2805,0.4913,0.9631,0.4186,0.9554,0.8497,0.6062,0.7799,1.3404,0.8695,1.8481,0.6513,0.2805,0.2805,1.1574,0.6845,0.6393,0.2805,0.7835,0.2805,0.553,0.7683,1.0377,0.6628,0.69,1.1127,1.3269,1.4986,0.769,0.8136,0.83,1.3576,0.6047,0.5666,2.3783,2.7421,4.7064,1.685,0.8295,0.484,4.2568,0.9973,1.575,1.0599,2.0711,2.7526,0.5336,0.893,0.4492,1.0812,0.9292,1.0,3.4417,0.2805,0.8031,1.379,1.6899,1.3553,1.7021,1.6431,0.9927,0.2805
3-methyladipate,0.1199,0.5564,0.6165,0.6603,0.1199,0.4046,0.3136,3.2261,1.1904,0.6717,0.3194,1.0679,0.3719,0.8173,0.6551,0.678,0.341,1.2125,0.8374,1.0,0.4773,0.8496,0.4187,0.1199,1.2551,0.6326,0.4856,10.3891,21.1581,43.6604,27.6115,0.789,0.8677,33.9932,56.8448,0.5877,0.5983,12.0374,13.9351,1.9748,1.5398,1.2097,0.9133,2.7468,0.7491,19.7624,20.3803,0.1199,2.6952,0.5205,0.9344,15.1021,11.7703,1.6821,1.2386,0.1199,1.0526,0.9031,0.9332,1.5434,0.9563,1.1049,0.6768,0.7233,0.7838
alpha-tocopherol,0.6686,0.6652,0.8232,0.7626,0.684,0.6712,0.7699,0.8609,0.6725,1.2953,0.4929,1.5679,0.5977,0.4457,1.0181,1.0219,0.2409,0.6657,0.7272,0.6373,0.7612,0.8188,0.9268,0.993,1.8505,1.4454,1.1994,1.1676,1.304,1.2482,1.0342,2.5646,1.1973,1.2261,0.5085,0.8235,1.2805,1.7345,2.6504,0.6481,0.8765,0.6094,0.8802,0.9873,2.426,0.9145,1.0,1.2215,1.3646,1.8503,1.3949,1.2363,2.6142,0.997,0.7138,0.313,0.9387,0.8499,2.0639,2.8392,1.7706,1.4001,1.0986,0.4638,0.4219
alpha-tocotrienol,0.1497,0.2228,1.8597,0.1568,0.5094,0.8631,0.1381,0.714,1.0209,1.4347,0.0962,1.0811,0.6137,0.9985,0.2582,0.3638,0.0353,0.3917,0.339,0.1219,0.0821,0.2718,0.2778,0.3028,1.602,0.5194,0.393,2.474,2.6454,0.2396,0.559,1.5024,1.0874,0.7182,0.0275,1.3594,0.0275,2.4108,2.5893,1.0349,0.7037,0.7508,0.6125,3.9887,1.6788,1.0211,0.9789,1.0139,3.3411,3.5906,0.6927,0.4941,1.75,1.0013,1.0104,0.2417,0.478,0.0692,0.8081,1.0221,1.749,1.6996,0.5064,1.2136,0.1119
azelate (nonanedioate; C9),0.0894,0.5553,0.9313,0.4225,0.5547,0.6022,0.4572,0.6534,0.992,0.8376,0.4881,2.6562,0.7393,0.5875,0.7733,0.6004,0.4762,3.2118,0.7567,1.6297,0.6148,0.8204,1.1445,0.8356,1.4582,1.2035,1.0263,4.1492,8.3935,1.9672,1.6387,1.2507,0.862,1.8455,3.7607,0.249,0.3222,3.1088,6.187,0.4707,0.6998,2.5292,1.7848,0.8556,0.7543,1.3693,1.2283,1.3811,1.5981,0.9267,1.357,1.1188,3.7661,2.0135,1.5255,0.0794,0.8167,0.3118,1.0599,2.5638,1.9539,1.1356,0.7801,0.9304,0.9864
phosphocholine,32.3049,14.9153,5.6776,3.5079,2.7485,10.9873,8.2701,1.1354,0.2182,0.2906,3.023,1.7343,4.0762,1.0761,1.4415,0.8877,9.3199,0.9064,0.4536,0.2525,14.2456,19.1242,0.3954,1.4664,0.1529,0.9038,3.2599,0.3948,0.3208,0.1529,0.4765,0.1529,0.7225,0.5466,16.4346,2.9673,17.8525,0.3414,0.1529,0.6112,0.1529,0.2602,0.7157,0.3857,0.4165,0.4896,1.3821,1.132,1.2403,0.4878,0.3605,0.1529,0.6309,0.802,2.3915,27.1983,0.1529,1.7786,0.5913,0.3389,1.6732,0.5854,0.5074,0.1529,1.2449
pimelate (C7-DC),0.1482,0.5638,1.2239,0.5792,0.565,0.3435,0.7508,1.3253,0.7464,0.6005,0.3707,1.5134,0.8966,0.7273,0.5914,0.456,0.4274,1.3131,0.8825,1.5334,0.8406,1.3113,0.6261,0.7803,1.4703,0.898,0.7737,1.9573,4.7069,0.1482,1.1285,1.2065,0.8469,2.5129,4.1373,0.3156,0.8453,1.4535,2.5386,1.162,0.8029,1.5176,1.31,1.3261,1.0237,2.4628,2.0625,1.3816,0.9649,0.3373,0.7784,1.0615,1.8005,1.6155,1.7442,0.2901,1.7432,0.6793,1.1049,1.3879,1.273,1.0107,0.7827,0.7628,0.7792
suberate (C8-DC),0.1738,0.7167,1.3413,0.4368,0.4688,0.5158,0.311,0.7138,0.9535,0.5978,0.6229,2.6045,0.5648,0.4411,0.6024,0.4985,0.5699,1.9297,0.8757,1.4146,0.5916,0.7585,0.5833,0.6767,1.0949,1.1845,1.0848,1.4972,3.8084,2.3292,2.1492,1.0229,0.7978,1.3101,2.6779,0.5108,0.4391,1.3349,1.5822,0.6385,1.1384,2.0672,1.3881,0.6916,0.5986,1.7478,1.9007,1.1449,0.9771,0.5599,1.4481,1.1135,0.8645,2.0142,1.5788,0.179,1.3182,0.3413,0.5158,0.8511,1.119,0.7725,0.6258,0.8897,0.9787
trimethylamine N-oxide,15.1809,3.2287,6.4313,17.0522,1.3165,6.2583,1.4435,48.3187,0.6011,0.2901,3.1106,10.9303,0.2401,0.598,1.5329,0.7419,3.1239,1.2112,0.2401,0.6968,1.9554,2.0853,0.6502,0.8659,13.0768,1.2724,1.1539,1.2597,0.7219,0.2401,1.0322,0.5345,0.3841,0.9505,3.3102,3.056,4.691,0.9643,0.5021,2.578,0.5663,0.7057,1.0737,0.5305,0.4824,0.7089,0.4181,0.7893,0.6165,0.5564,0.5836,1.4704,1.5808,0.6002,1.0853,0.2401,0.8508,2.326,0.597,0.2401,1.0,0.9028,1.063,0.2401,0.2401
