TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,sensitiveSample_14,sensitiveSample_15,sensitiveSample_16,sensitiveSample_17,sensitiveSample_18,sensitiveSample_19,sensitiveSample_20,sensitiveSample_21,sensitiveSample_22,sensitiveSample_23,sensitiveSample_24,sensitiveSample_25,sensitiveSample_26,sensitiveSample_27,sensitiveSample_28,sensitiveSample_29,sensitiveSample_30,sensitiveSample_31,sensitiveSample_32,sensitiveSample_33,sensitiveSample_34,sensitiveSample_35,sensitiveSample_36,sensitiveSample_37,sensitiveSample_38,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20,tolerantSample_21,tolerantSample_22,tolerantSample_23,tolerantSample_24,tolerantSample_25,tolerantSample_26,tolerantSample_27,tolerantSample_28,tolerantSample_29,tolerantSample_30,tolerantSample_31,tolerantSample_32,tolerantSample_33,tolerantSample_34,tolerantSample_35,tolerantSample_36,tolerantSample_37,tolerantSample_38,tolerantSample_39,tolerantSample_40,tolerantSample_41,tolerantSample_42,tolerantSample_43,tolerantSample_44,tolerantSample_45,tolerantSample_46,tolerantSample_47,tolerantSample_48,tolerantSample_49,tolerantSample_50,tolerantSample_51,tolerantSample_52,tolerantSample_53,tolerantSample_54,tolerantSample_55,tolerantSample_56,tolerantSample_57,tolerantSample_58,tolerantSample_59,tolerantSample_60
2'-deoxyinosine,0.2743,1.527,1.0361,1.3517,2.2264,3.0196,1.1217,1.177,0.7783,1.7947,3.9935,1.0622,0.0706,0.98,3.3894,0.1816,0.5628,1.0744,1.6849,1.8456,2.0571,3.0737,2.2164,4.3644,0.2344,0.1019,1.047,1.3823,3.2362,5.2854,1.3275,0.3577,1.4148,4.7631,1.9397,1.1856,0.9108,0.0706,0.3928,0.5444,0.6204,1.1651,2.4866,1.6082,0.9959,1.3459,0.5924,0.9097,0.9695,0.2082,0.96,1.9838,0.8923,0.763,1.9168,2.1111,0.743,0.8554,0.5405,0.5198,0.3508,0.6444,0.3957,0.3168,0.6122,1.0041,1.6684,4.0614,0.7178,2.5666,0.8013,0.6006,1.9668,1.813,0.348,2.6267,0.6364,0.7022,0.5015,0.9721,1.1724,0.3803,1.8288,2.6795,1.1601,0.786,0.633,0.4378,0.4915,2.2733,1.6164,0.5098,0.288,2.927,0.8185,0.4942,0.5577,1.3184
"2,8-quinolinediol",0.1262,0.3781,0.1262,1.245,0.1262,14.4153,0.1262,0.1262,0.9681,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262,2.3427,0.2019,0.1262,1.4448,0.8222,0.7489,24.9245,8.8806,0.1375,0.1262,0.1262,0.1262,0.8681,0.334,0.1262,0.1262,0.1456,0.9441,107.7393,0.1262,0.1262,1.0,1.853,48.4614,0.206,83.7915,8.4014,17.7757,19.8422,0.9204,0.1262,0.8904,0.182,0.5475,63.9461,0.3623,0.1469,0.5939,11.3339,0.1712,0.1262,2.5686,3.024,6.6599,4.166,0.1262,11.6803,0.1262,0.2722,0.165,2.652,0.1262,0.1262,4.9629,1.5304,3.8723,1.433,0.2084,0.1262,0.1262,0.1262,0.5409,0.9268,0.1413,0.1262,0.735,0.4276,69.7188,66.8126,0.1262,0.2804,0.1262,0.1262,0.5957,0.1262,0.1262,0.6545,0.1262,0.1262,0.1262,0.1262
2-aminophenol,0.2805,1.3867,2.3971,0.572,0.7852,4.2347,1.5766,1.3408,0.2805,0.5467,1.6292,0.2805,0.2805,0.2805,0.2805,0.2805,0.2805,0.4913,0.9631,0.4186,0.9554,0.8497,0.6062,0.7799,1.3404,0.8695,1.8481,0.6513,0.2805,0.2805,1.1574,0.6845,0.6393,0.2805,0.7835,0.2805,0.553,0.7683,1.137,1.3416,0.2805,0.5358,0.6457,1.1574,16.8833,0.2805,1.2507,2.2448,2.474,2.1087,0.6039,3.4337,3.0592,2.7136,0.8522,0.2805,1.9011,0.9055,1.0377,0.6628,0.69,1.1127,1.3269,1.4986,0.769,0.8136,0.83,1.3576,0.6047,0.5666,2.3783,2.7421,4.7064,1.685,0.8295,0.484,4.2568,0.9973,1.575,1.0599,2.0711,2.7526,0.5336,0.893,0.4492,1.0812,0.9292,1.0,3.4417,0.2805,0.8031,1.379,1.6899,1.3553,1.7021,1.6431,0.9927,0.2805
2-oxo-1-pyrrolidinepropionate,1.0558,0.9084,1.4268,0.5943,1.3578,1.119,1.3299,0.3963,0.8241,0.3927,0.4223,0.8012,1.9447,0.5082,0.6649,0.8239,1.0363,0.9375,1.9568,1.2209,0.9078,1.4665,0.8576,0.5163,1.3341,0.8464,0.9543,0.7809,0.2176,1.03,0.8987,0.7669,0.8254,0.8943,1.0038,0.5839,0.8561,0.9486,1.7986,1.0719,1.2032,2.024,1.1775,0.4848,0.7439,1.5668,1.0424,0.5554,1.294,1.0552,0.9385,1.3961,1.2136,1.2826,2.1266,0.9298,1.2583,1.5494,2.4453,1.081,1.3548,1.3329,2.6939,1.0503,0.8453,1.7633,0.549,0.6004,1.0005,0.8298,1.11,0.9576,0.9465,1.1544,0.6225,0.3607,0.8593,0.4645,1.2263,0.8723,0.8818,1.3582,0.9539,0.9995,0.8012,1.3731,1.6615,1.008,0.1593,1.3537,0.9513,1.6231,0.1593,0.8323,1.0745,0.7726,1.516,1.2023
3-(4-hydroxyphenyl)lactate (HPLA),1.2837,1.0,0.6308,0.167,0.8627,1.3548,0.2016,0.1968,1.4447,0.4206,1.0933,0.2621,1.379,6.4588,1.2577,0.3287,0.461,0.6093,0.1823,3.2653,0.7178,1.7305,0.76,0.1485,0.8917,0.339,0.3045,0.8705,0.3757,0.3052,2.0528,1.3247,1.5879,0.2083,0.6197,1.4153,0.2175,1.2949,1.8415,0.7943,1.3692,1.0168,1.205,0.9221,0.6784,0.7081,1.1905,0.3007,1.5269,1.8863,0.7601,0.8978,0.4251,1.2249,0.4112,2.2394,0.8062,0.9539,1.4582,1.2934,2.2852,1.2484,2.2289,2.0926,1.0411,0.4553,2.393,0.926,10.0291,0.6618,0.8549,0.4772,1.6334,0.6021,0.5684,1.2388,0.2277,0.3242,2.4585,1.0017,2.7157,3.6543,0.1661,1.3344,0.5669,0.561,2.0601,1.0192,5.613,0.6631,1.4694,1.598,1.1509,0.9831,1.4081,1.0405,1.2346,1.4223
3-formylindole,1.2695,1.3913,0.5823,0.3574,0.9172,0.9523,0.338,0.4307,0.9869,0.6593,4.2916,0.4932,0.8432,0.1451,0.476,0.5735,0.7713,0.8615,0.1881,1.5606,0.4433,1.3525,0.5109,0.1876,1.9368,0.3987,2.9025,1.4413,0.4248,0.4141,2.1773,1.4823,2.8763,0.2843,0.3662,2.7928,0.4689,0.5089,3.2679,1.6921,1.5352,2.737,2.4332,0.1554,0.224,2.1402,1.3116,0.6343,3.3974,0.5748,1.8421,1.7609,0.1785,1.3942,0.8978,1.2452,0.1964,1.6372,2.0321,4.6857,2.0407,2.1184,1.3283,1.307,1.1114,1.7751,0.8035,1.421,1.7119,0.3073,1.1024,0.3475,0.679,0.5282,3.0946,0.7431,0.6171,1.134,1.9788,1.4276,1.3355,1.1555,0.3946,2.8091,2.5165,1.0,1.7084,0.5948,0.5346,2.1777,3.4432,0.988,2.2968,0.9169,0.8167,0.5973,1.6526,3.9188
3-hydroxybutyrate (BHBA),0.4858,0.4196,2.4508,0.3952,0.4461,0.3244,0.44,0.3129,0.5939,0.3603,0.5913,0.6301,0.4048,1.3186,0.9502,0.9943,1.0,1.7734,0.8644,3.5479,0.418,0.2595,0.2595,1.4612,0.8491,0.6951,0.7137,1.6307,1.5672,8.3013,0.7449,1.7408,1.6474,1.3518,1.394,1.7956,0.2595,1.1193,1.5745,1.1599,1.1456,0.2595,2.4252,3.7615,0.7927,0.7199,0.3094,7.5665,1.9452,0.8285,2.8324,0.9961,1.26,4.2902,0.8974,3.2846,2.608,0.8141,0.9149,2.2624,0.557,1.0,1.1668,0.638,0.5037,0.4151,3.467,5.3367,14.2932,32.2563,0.6551,0.93,6.421,0.9165,1.9395,0.6388,1.0066,8.8591,0.5052,0.6094,0.6146,2.597,0.4956,0.5385,4.395,1.6824,0.521,0.5085,11.9054,1.4842,3.7987,0.9423,5.8104,4.8727,2.2823,0.7477,0.308,1.189
3-hydroxyoleate*,0.5437,0.9069,0.656,0.3381,0.6047,0.8458,1.0301,3.3852,4.0239,1.0142,0.6354,0.4967,0.663,0.5952,1.46,1.0829,0.6243,0.8203,0.6481,0.6096,0.6347,1.4208,2.2571,0.6898,1.3385,0.5275,0.6436,0.6378,0.9426,0.9871,1.911,1.3195,1.1408,0.4721,0.8824,0.6341,0.5179,0.9901,0.4831,3.1426,1.9832,1.5108,3.2656,0.7321,1.648,0.7012,4.6497,1.2646,3.7968,0.5406,0.6309,2.7314,9.8306,1.3646,0.4298,4.9298,6.3474,0.595,0.5842,0.6423,1.5192,1.1685,1.2506,1.2935,1.0174,4.512,1.586,0.6375,0.6967,0.8307,5.6936,4.0182,0.512,0.3504,1.7778,10.542,1.2792,1.0,3.3899,2.536,0.8558,0.8617,3.283,1.0966,0.7881,0.7088,2.5739,4.6853,0.3518,0.9794,1.0458,0.7558,1.5626,12.0936,2.4559,2.0525,0.4521,0.473
3-hydroxypalmitoylcarnitine,0.3896,1.3376,0.2019,0.2019,0.6528,0.969,1.6664,0.2019,2.2403,0.2019,1.3424,0.2725,0.4569,7.8509,6.7342,1.4238,2.8096,2.5934,1.4387,0.5959,0.7517,0.7018,0.7976,0.4677,0.2019,1.3175,1.472,0.4258,0.2019,2.0309,0.9864,0.981,0.2019,0.4267,0.2019,0.2019,0.2112,3.4327,0.2685,1.1183,0.2019,0.7732,0.2019,2.9601,0.2019,1.3726,0.5046,1.0136,0.2019,0.2019,0.2019,0.2019,0.2019,1.2518,0.2019,0.2019,0.2019,0.5367,0.4014,0.4401,0.8053,1.1835,0.505,0.2019,3.0401,0.2019,0.7338,0.3119,3.4122,0.2395,0.2019,0.2019,1.5594,0.6808,0.2019,0.2019,1.0418,1.0834,0.2019,0.2019,0.2019,0.2019,0.2019,0.2019,1.0919,0.2019,0.2019,0.2488,0.7026,1.2179,2.4885,0.2019,0.3538,0.3233,0.2019,0.2019,1.6275,2.1094
3-hydroxyvalerate,0.9067,0.3392,0.9624,0.2542,1.0454,0.2542,0.8468,0.6178,0.7979,0.9118,0.5739,1.9734,0.8612,0.4394,0.8738,1.444,1.1877,1.337,0.6768,0.2542,0.2542,1.1165,0.2542,0.6615,0.6101,1.0035,1.0152,0.2542,0.564,1.0899,0.2542,2.5012,0.743,0.2542,0.2542,0.3946,0.4017,1.0715,0.731,0.658,0.4885,0.2542,0.8827,1.9022,0.2542,0.8618,0.486,4.0078,0.6695,0.3279,1.4379,0.2542,0.2542,2.9729,0.8282,1.5245,2.3225,1.4278,1.747,1.3715,1.1292,0.7103,0.9285,0.2542,0.5752,0.9539,0.9524,1.8588,0.2542,6.7451,0.2542,0.8524,3.1243,1.4465,0.8031,1.071,1.1789,3.276,0.3143,0.2542,1.0,1.8908,0.5031,0.2542,1.5973,1.2043,1.9373,0.2542,0.2542,1.8765,0.7646,0.9965,2.2906,1.4841,1.105,1.4205,0.7498,0.4161
