,TaxoName,Diets
103,CE(18:4),"['AAndBS', 'BS']"
104,CE(22:4),"['AAndBS', 'BS']"
105,DAG(14:0/18:3),"['AAndBS', 'BS']"
106,DAG(16:0/16:1),"['AAndBS', 'BS']"
107,DAG(16:0/18:3),"['AAndBS', 'BS']"
108,DAG(16:0/20:5),"['AAndBS', 'BS']"
109,DAG(16:0/22:5),"['AAndBS', 'BS']"
110,DAG(16:1/16:1),['AAndBS']
111,DAG(16:1/18:0),"['AAndBS', 'BS']"
112,DAG(16:1/18:1),"['AAndBS', 'BS']"
113,DAG(16:1/18:2),"['AAndBS', 'BS']"
114,DAG(16:1/20:0),"['AAndBS', 'BS']"
115,DAG(16:1/20:2),"['AAndBS', 'BS']"
116,DAG(16:1/20:4),"['AAndBS', 'BS']"
117,DAG(18:0/18:3),"['AAndBS', 'BS']"
118,DAG(18:1/20:2),['AAndBS']
119,DAG(18:1/20:3),"['AAndBS', 'BS']"
120,DAG(18:1/20:4),"['AAndBS', 'BS']"
121,DAG(18:1/22:4),"['AAndBS', 'BS']"
122,DAG(18:1/22:5),"['AAndBS', 'BS']"
123,DAG(18:1/22:6),"['AAndBS', 'BS']"
124,DAG(18:2/22:4),"['AAndBS', 'BS']"
125,DAG(18:2/22:5),"['AAndBS', 'BS']"
126,DAG(18:2/22:6),['AAndBS']
127,DCER(22:1),"['AAndBS', 'BS']"
128,FFA(12:0),"['AAndBS', 'BS']"
129,FFA(20:4),['AAndBS']
130,FFA(24:0),['AAndBS']
131,FFA(24:1),['AAndBS']
132,HCER(18:0),['AAndBS']
133,HCER(18:1),['AAndBS']
134,HCER(20:1),['AAndBS']
135,HCER(24:0),['AAndBS']
136,HCER(24:1),"['AAndBS', 'BS']"
137,LPC(20:1),['AAndBS']
138,LPE(18:2),['AAndBS']
139,MAG(18:1),['AAndBS']
140,MAG(18:2),['AAndBS']
141,MAG(20:4),['AAndBS']
142,MAG(22:0),"['AAndBS', 'BS']"
143,MAG(22:2),"['AAndBS', 'BS']"
144,MAG(22:4),['AAndBS']
145,PC(18:0/12:0),['AAndBS']
146,PE(14:0/18:2),['AAndBS']
147,PE(15:0/22:6),['AAndBS']
148,PE(17:0/18:1),"['AAndBS', 'BS']"
149,PE(P-18:2/18:2),['AAndBS']
150,PI(16:0/16:1),['AAndBS']
151,PI(16:0/18:3),['AAndBS']
152,PI(18:1/18:2),['AAndBS']
153,PI(18:2/18:2),"['AAndBS', 'BS']"
154,SM(16:0),['AAndBS']
155,SM(20:0),['AAndBS']
156,SM(24:1),['AAndBS']
157,SM(26:1),['AAndBS']
158,TAG42:1-FA14:0,['AAndBS']
159,TAG44:1-FA14:1,['AAndBS']
160,TAG44:1-FA16:0,['AAndBS']
161,TAG44:1-FA16:1,['AAndBS']
162,TAG45:0-FA14:0,['AAndBS']
163,TAG45:0-FA15:0,['AAndBS']
164,TAG45:0-FA16:0,['AAndBS']
165,TAG45:1-FA16:0,['AAndBS']
166,TAG46:1-FA14:0,['AAndBS']
167,TAG46:1-FA16:1,['AAndBS']
168,TAG46:1-FA18:0,['AAndBS']
169,TAG46:2-FA14:0,['AAndBS']
170,TAG46:2-FA16:0,['AAndBS']
171,TAG46:2-FA16:1,['AAndBS']
172,TAG46:3-FA14:1,"['AAndBS', 'BS']"
173,TAG46:4-FA18:2,['AAndBS']
174,TAG47:0-FA14:0,['AAndBS']
175,TAG47:0-FA17:0,['AAndBS']
176,TAG47:1-FA14:0,['AAndBS']
177,TAG47:1-FA15:0,['AAndBS']
178,TAG47:1-FA16:0,['AAndBS']
