TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,sensitiveSample_14,sensitiveSample_15,sensitiveSample_16,sensitiveSample_17,sensitiveSample_18,sensitiveSample_19,sensitiveSample_20,sensitiveSample_21,sensitiveSample_22,sensitiveSample_23,sensitiveSample_24,sensitiveSample_25,sensitiveSample_26,sensitiveSample_27,sensitiveSample_28,sensitiveSample_29,sensitiveSample_30,sensitiveSample_31,sensitiveSample_32,sensitiveSample_33,sensitiveSample_34,sensitiveSample_35,sensitiveSample_36,sensitiveSample_37,sensitiveSample_38,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20,tolerantSample_21,tolerantSample_22,tolerantSample_23,tolerantSample_24,tolerantSample_25,tolerantSample_26,tolerantSample_27,tolerantSample_28,tolerantSample_29,tolerantSample_30,tolerantSample_31,tolerantSample_32,tolerantSample_33,tolerantSample_34,tolerantSample_35,tolerantSample_36,tolerantSample_37,tolerantSample_38,tolerantSample_39,tolerantSample_40,tolerantSample_41,tolerantSample_42,tolerantSample_43,tolerantSample_44,tolerantSample_45,tolerantSample_46,tolerantSample_47,tolerantSample_48,tolerantSample_49,tolerantSample_50,tolerantSample_51,tolerantSample_52,tolerantSample_53,tolerantSample_54,tolerantSample_55,tolerantSample_56,tolerantSample_57,tolerantSample_58,tolerantSample_59,tolerantSample_60
CE(14:1),2.4676,1.047,4.1583,9.8829,0.569,0.9471,1.0025,1.1512,1.4703,2.0035,0.5208,9.3095,2.3178,0.4104,0.6753,1.5125,1.1311,3.1739,1.1822,1.0069,0.6071,2.1369,2.4367,1.4802,0.2442,0.9652,0.7451,2.0997,0.9252,0.6673,0.3405,2.1866,1.5359,0.8711,0.67,1.4576,6.2746,0.5748,1.1011,1.8852,0.5348,1.1787,2.1872,0.3572,1.1499,0.5735,0.4685,0.9927,1.2081,6.2218,0.8896,0.7512,0.758,0.7194,2.0686,0.3112,1.2704,0.564,0.6953,2.6125,1.8942,1.5359,1.0417,0.7071,2.1303,1.195,1.6966,2.3312,4.3138,0.2442,0.6038,1.2219,0.4741,0.9077,0.4642,0.8249,1.2315,1.7945,0.6805,0.554,0.8416,1.3252,0.7123,0.7673,0.7521,1.0064,0.4126,0.6127,0.3073,0.6317,0.4525,0.8754,0.5391,0.5712,1.304,0.9169,0.3015,0.3539
CE(18:3),2.3647,1.5857,9.3319,2.1124,0.509,0.6445,1.8416,1.4226,1.5802,1.7889,0.6002,2.4831,2.4075,0.8387,1.1973,2.0516,1.1978,4.1463,2.3089,0.7102,0.9195,2.3459,3.5684,3.8145,0.2314,1.0488,0.7542,3.3667,0.7534,2.3501,0.2492,1.2468,2.2005,0.7099,0.6681,0.4718,1.1472,0.6649,1.8317,1.6874,0.342,1.2894,0.9945,0.6744,0.6294,0.5911,0.3451,1.3906,0.5434,1.4352,0.5546,0.618,0.7488,1.0195,0.6262,0.2423,0.4976,1.0055,1.8998,2.8348,1.6437,1.1056,0.6032,1.2059,5.1376,2.1001,1.2303,4.2604,9.4789,0.3281,0.6259,0.5191,0.8661,1.4436,0.2363,0.8802,2.3069,1.6078,0.4311,0.523,1.378,0.6031,0.3671,0.6842,1.4244,1.0888,0.3141,0.4561,0.6306,0.4855,0.53,1.28,0.4549,0.404,0.9193,0.8496,0.442,0.5989
CER(16:0),4.0082,2.4643,2.1974,2.0316,1.0902,0.7913,2.0824,0.4395,1.1887,3.8026,1.01,1.9154,1.0996,1.2755,5.455,3.9025,5.3496,3.7034,3.4887,0.7222,3.5242,1.8135,5.3514,2.6433,0.1125,1.3506,1.9123,0.4622,0.1125,1.5465,0.1776,3.2835,1.7771,0.7502,0.9603,0.2268,1.0229,0.5381,0.5532,1.1355,0.2746,1.5759,0.6736,2.0409,0.5004,2.2042,0.329,3.9769,0.6162,1.0572,0.4942,0.2627,0.2639,0.9544,0.4267,0.4204,0.4079,1.6259,0.5669,1.0156,3.3907,5.3536,0.2964,0.4971,5.0345,0.9116,0.8157,0.6559,3.7745,1.0887,0.3325,0.4133,1.2088,0.854,0.7564,0.8321,8.2485,6.5891,0.2814,0.1517,0.7047,0.9956,0.1791,0.2611,2.0913,0.7657,0.2013,0.4668,0.4542,0.7861,1.0812,0.7805,0.456,0.5333,1.2321,0.406,1.0434,2.0586
CER(18:0),6.7614,2.5248,3.8893,2.3326,0.9939,0.994,1.8917,0.5486,0.9253,10.0731,0.5146,1.7113,2.392,0.5382,2.4496,6.003,6.7006,5.8928,3.3175,1.006,2.6585,3.257,13.8483,2.3473,0.0879,2.062,1.8925,1.3253,0.1804,0.9865,0.1503,6.7367,4.3104,0.6986,1.1162,0.1334,1.7525,0.8665,0.9647,2.3574,0.824,1.9734,0.4625,1.4214,0.55,1.8753,0.3014,4.8431,1.2758,1.6806,0.8661,0.3201,0.3442,1.0167,0.49,0.9749,0.4215,1.9244,0.4629,1.6903,8.5749,4.2565,0.5487,0.8457,6.9458,0.5836,0.5878,0.4398,8.2712,0.6716,0.1709,0.1854,0.8306,1.191,0.3151,0.7039,3.8608,10.1792,0.3887,0.2274,0.9476,0.9653,0.2176,0.2748,3.1296,1.5075,0.2804,0.6774,0.0879,1.1181,0.4852,0.8019,0.2441,1.0702,1.4584,0.4239,0.53,1.09
CER(20:0),4.0512,1.9962,2.553,3.9829,0.9053,0.9543,1.9401,0.6029,1.0292,5.0783,1.0208,1.963,1.1906,1.1451,4.0162,3.8164,3.2309,5.0607,3.8196,1.2379,1.7419,2.4167,10.8936,2.5524,0.1576,1.7577,1.1761,0.5837,0.1783,0.9831,0.2451,2.9301,2.6701,0.9918,1.5784,0.1783,1.8722,1.0077,0.6806,0.9507,0.5877,2.0044,0.5806,1.4891,0.7493,2.0224,0.4067,5.3841,1.1156,1.9527,0.8899,0.5136,0.3355,0.5503,0.6278,0.5003,0.3304,2.1067,0.6143,1.631,2.5234,3.4623,0.5106,0.7746,5.7787,0.7248,0.7386,0.4962,7.3051,0.9083,0.2746,0.2881,0.9678,0.9923,0.4368,0.788,4.7052,12.1579,0.5826,0.4661,0.6001,0.6344,0.3435,0.6157,3.7321,1.7208,0.4459,0.5373,0.1576,1.2353,0.7405,0.9664,0.321,0.7222,1.0349,0.4491,0.5192,1.0594
CER(22:0),4.13,2.9776,3.9224,3.4525,0.7303,0.9598,1.8583,0.2655,1.7138,2.6124,1.0134,2.2183,0.9563,1.5672,5.9015,4.0172,2.9,7.6121,4.8066,1.1541,2.8087,1.521,5.1855,3.1987,0.1136,1.3725,1.6606,0.6788,0.1182,2.1029,0.1363,1.5811,1.0749,1.2504,1.354,0.1994,1.5048,0.9154,0.5091,0.6293,0.3341,2.4327,0.3691,1.923,1.0094,3.5122,0.5047,4.9529,0.5744,1.4631,0.5666,0.2159,0.2192,0.692,0.4738,0.3351,0.3497,1.6751,0.6028,1.1427,1.4623,4.4787,0.3431,0.7212,7.3477,0.6058,0.5109,0.5009,6.5321,1.237,0.1995,0.226,1.3451,2.0278,0.4161,0.7573,4.9269,8.1097,0.317,0.1136,0.7028,0.567,0.186,0.2631,3.5105,0.9875,0.2203,0.6001,0.2198,0.9906,0.8234,1.1754,0.357,0.7202,1.0946,0.3942,0.8142,1.6557
CER(22:1),3.2141,1.7998,4.4974,9.2275,0.7032,1.4369,1.1205,0.4748,1.6409,3.7651,0.8266,4.9895,2.1769,0.8431,2.6099,2.3417,2.4056,7.1423,5.9517,1.0453,2.2695,1.0648,3.5598,2.5617,0.3225,1.2533,1.0345,0.9556,0.3457,1.0703,0.3225,3.1085,1.7226,1.1435,1.1279,0.3284,3.242,1.0285,0.664,0.6601,0.5204,1.6481,0.8885,1.097,0.9226,2.4738,0.7743,2.2912,0.7922,3.2741,0.769,0.4899,0.6332,0.8637,1.244,0.535,0.5076,0.9938,0.5759,1.0893,1.5515,2.2367,0.4806,0.8373,3.6759,0.6418,0.7042,0.5289,4.0107,0.7556,0.4917,0.4399,1.2538,1.8537,0.6746,1.002,2.972,4.1447,0.6133,0.4114,0.7799,0.5716,0.4302,0.5791,2.8722,0.8131,0.4182,0.7821,0.4155,1.5785,0.5691,1.1131,0.3887,0.9522,0.8757,0.5126,0.7506,0.8855
CER(24:0),3.5581,3.3577,3.7989,3.6904,0.8651,0.8746,2.0209,0.3321,1.4688,2.8866,0.9714,2.0885,1.1615,1.7374,5.5381,4.2246,2.5512,5.1049,3.9047,1.0708,3.0611,1.7318,4.8922,3.1982,0.1319,1.486,2.1156,0.8591,0.1319,1.7609,0.1568,1.7294,1.2001,1.1466,1.1544,0.2444,1.5255,0.9027,0.5951,0.6416,0.3216,2.2815,0.5357,1.8369,0.7872,2.7408,0.4088,5.5244,0.6846,1.5907,0.5749,0.27,0.2386,0.7651,0.5093,0.2547,0.3706,1.721,0.5935,1.14,1.3302,5.0871,0.3262,0.7706,6.7814,0.7402,0.7176,0.4946,5.6759,1.0286,0.3015,0.3431,1.323,1.8496,0.5279,0.6974,6.6405,8.8444,0.369,0.1827,0.6765,0.6827,0.2277,0.3183,2.9951,0.8913,0.2378,0.4756,0.3548,1.1252,0.9594,1.1695,0.4221,0.7525,0.9185,0.428,0.9315,1.4756
CER(24:1),3.2277,3.5562,2.8167,3.1435,0.5898,0.8765,2.2627,0.2991,1.2271,3.2514,0.8585,1.9892,1.0779,1.3724,5.3946,4.6133,2.5237,3.9779,4.076,1.0933,2.866,1.9842,6.4274,2.5067,0.1173,1.6335,1.6427,0.6291,0.1173,1.3305,0.1392,1.2789,1.0089,1.0924,1.3406,0.1438,1.4796,0.8044,0.5818,0.5663,0.28,1.768,0.4258,1.619,0.7432,2.5967,0.3717,4.4337,0.7646,1.5732,0.5116,0.1913,0.2547,0.6503,0.457,0.1904,0.3165,1.5639,0.6405,1.1275,1.7817,6.5921,0.2776,0.7695,4.9967,0.6653,0.6374,0.4499,5.6655,1.0137,0.2501,0.3429,1.3135,1.2721,0.4048,0.6246,8.107,9.5937,0.3026,0.1424,0.6929,0.6396,0.1682,0.2511,3.4659,1.095,0.1669,0.446,0.3516,1.1229,0.7586,1.2898,0.2757,0.5619,0.8006,0.3993,0.6684,1.3068
DAG(16:1/18:3),3.0415,1.3468,1.4785,11.9216,0.911,1.2169,2.1455,0.9028,1.796,1.4591,1.4402,5.9784,2.3691,0.7628,0.7129,1.3653,0.5553,1.3805,1.3245,1.852,1.2076,1.1409,2.55,1.0923,0.3549,1.776,1.0586,1.7908,0.3702,1.1174,0.3549,1.518,1.0486,0.8315,0.9595,1.4692,6.1339,1.0781,0.5591,1.3904,1.0507,1.8822,0.9124,0.4433,0.7436,1.2896,0.6951,1.5761,1.7724,5.0858,0.5013,0.7385,0.4062,0.9644,1.2456,0.4825,0.9078,1.6692,0.4615,2.5605,1.0035,0.9264,1.2718,0.7249,1.7399,0.6922,0.8128,0.7507,0.8595,0.3656,0.4685,0.5995,0.8143,2.0874,0.5759,0.6252,1.3877,1.3969,0.9202,0.6692,0.7619,0.4593,0.5811,0.8314,0.8797,0.5616,0.6536,0.6046,0.9546,1.1889,1.1279,1.0323,0.815,1.0931,0.5851,0.9637,0.7129,0.6369
