,F1 scores,Accuracy Scores,AUC Scores
0,0.5333333333333333,0.5,0.3125
1,0.4,0.5,0.4166666666666667
2,0.6761904761904762,0.6,0.7777777777777778
3,0.48351648351648346,0.5,0.4583333333333334
4,0.3333333333333333,0.5,0.5
5,0.5833333333333333,0.6,0.6
6,0.8,0.8,0.6875
7,0.35,0.4,0.4583333333333333
8,0.5151515151515151,0.5,0.5476190476190477
9,0.48351648351648346,0.5,0.4583333333333334
10,0.6166666666666666,0.6,0.619047619047619
11,0.7098901098901098,0.7,0.6904761904761905
12,0.5164835164835164,0.5,0.45238095238095233
13,0.5151515151515151,0.5,0.5476190476190477
14,0.6380952380952382,0.6,0.5625
15,0.4,0.5,0.4166666666666667
16,0.6,0.6,0.5238095238095237
17,0.523809523809524,0.6,0.6
18,0.2285714285714286,0.4,0.5
19,0.6,0.6,0.5833333333333334
20,0.4499999999999999,0.6,0.5
21,0.8,0.8,0.7916666666666667
22,0.4,0.4,0.2857142857142857
23,0.5164835164835164,0.5,0.45238095238095233
24,0.4499999999999999,0.6,0.5
25,0.505050505050505,0.5,0.5
26,0.4499999999999999,0.6,0.5
27,0.48351648351648346,0.5,0.4583333333333334
28,0.494949494949495,0.5,0.5
29,0.5764705882352941,0.7,0.5
30,0.4,0.5,0.4166666666666667
31,0.523809523809524,0.6,0.6
32,0.4499999999999999,0.6,0.5
33,0.2285714285714286,0.4,0.5
34,0.32121212121212117,0.3,0.30952380952380953
35,0.4666666666666666,0.5,0.35714285714285715
36,0.3333333333333333,0.5,0.5
37,0.5666666666666667,0.6,0.6666666666666666
38,0.5619047619047619,0.6,0.5416666666666667
39,0.7030303030303029,0.7,0.7083333333333334
40,0.5494505494505495,0.5,0.5
41,0.2857142857142857,0.4,0.4
42,0.523809523809524,0.6,0.6
43,0.8083333333333332,0.8,0.8571428571428572
44,0.5666666666666667,0.6,0.6666666666666666
45,0.4499999999999999,0.6,0.5
46,0.2285714285714286,0.4,0.5
47,0.523809523809524,0.6,0.6
48,0.5666666666666667,0.6,0.6666666666666666
49,0.23076923076923075,0.3,0.3
50,0.5494505494505495,0.5,0.5
51,0.41758241758241754,0.5,0.5833333333333334
52,0.6,0.6,0.375
53,0.6799999999999999,0.7,0.5952380952380952
54,0.8,0.8,0.6875
55,0.494949494949495,0.5,0.5
56,0.72,0.7,0.625
57,0.35,0.4,0.4583333333333333
58,0.6380952380952382,0.6,0.5625
59,0.2857142857142857,0.4,0.4
60,0.6,0.6,0.5238095238095237
61,0.523809523809524,0.6,0.6
62,0.32307692307692304,0.3,0.2142857142857143
63,0.4153846153846154,0.3,0.16666666666666669
64,0.4,0.5,0.4166666666666667
65,0.2285714285714286,0.4,0.5
66,0.34285714285714286,0.4,0.33333333333333337
67,0.45054945054945056,0.5,0.5
68,0.6703296703296704,0.7,0.7
69,0.6799999999999999,0.7,0.5952380952380952
70,0.6380952380952382,0.6,0.5625
71,0.6,0.6,0.5833333333333334
72,0.48484848484848475,0.5,0.5416666666666666
73,0.2285714285714286,0.4,0.5
74,0.7098901098901098,0.7,0.6904761904761905
75,0.45054945054945056,0.5,0.5
76,0.32307692307692304,0.3,0.2142857142857143
77,0.7098901098901098,0.7,0.6904761904761905
78,0.4499999999999999,0.6,0.5
79,0.48351648351648346,0.5,0.4583333333333334
80,0.525,0.6,0.4285714285714286
81,0.6,0.6,0.375
82,0.7296703296703297,0.7,0.8125
83,0.3333333333333333,0.5,0.5
84,0.425,0.4,0.38095238095238093
85,0.5333333333333333,0.5,0.3125
86,0.2285714285714286,0.4,0.5
87,0.45054945054945056,0.5,0.5
88,0.45054945054945056,0.5,0.5
89,0.2857142857142857,0.4,0.4
90,0.48351648351648346,0.5,0.4583333333333334
91,0.8,0.8,0.7619047619047619
92,0.7296703296703297,0.7,0.8125
93,0.4,0.4,0.41666666666666663
94,0.35,0.4,0.4583333333333333
95,0.48351648351648346,0.5,0.4583333333333334
96,0.34285714285714286,0.4,0.33333333333333337
97,0.325,0.4,0.5714285714285714
98,0.4499999999999999,0.6,0.5
99,0.6166666666666666,0.6,0.619047619047619
