,F1 scores,Accuracy Scores,AUC Scores
0,0.636,0.65,0.6313131313131313
1,0.7904761904761904,0.8,0.7472527472527473
2,0.735042735042735,0.75,0.7083333333333334
3,0.35128205128205126,0.45,0.48989898989898983
4,0.45833333333333337,0.5,0.5625
5,0.6,0.6,0.5238095238095237
6,0.6714285714285715,0.7,0.6458333333333333
7,0.7401433691756273,0.75,0.6333333333333333
8,0.7077922077922079,0.75,0.5666666666666667
9,0.6,0.6,0.5604395604395604
10,0.5809523809523809,0.6,0.5274725274725274
11,0.46112852664576803,0.55,0.5101010101010102
12,0.6901098901098901,0.7,0.6666666666666666
13,0.8373040752351096,0.85,0.7857142857142857
14,0.6086021505376344,0.65,0.511904761904762
15,0.541025641025641,0.55,0.48901098901098894
16,0.745014245014245,0.75,0.7087912087912087
17,0.6508771929824562,0.65,0.6515151515151515
18,0.7288401253918495,0.75,0.675824175824176
19,0.7204301075268817,0.75,0.6309523809523809
20,0.6799999999999999,0.7,0.5952380952380952
21,0.48749999999999993,0.6,0.46153846153846156
22,0.6266666666666667,0.65,0.65
23,0.5,0.5,0.4505494505494505
24,0.745014245014245,0.75,0.7087912087912087
25,0.5119122257053292,0.55,0.456043956043956
26,0.656980056980057,0.65,0.6071428571428571
27,0.5868131868131868,0.6,0.5625
28,0.7288401253918495,0.75,0.675824175824176
29,0.5119122257053292,0.55,0.456043956043956
30,0.64,0.7,0.625
31,0.7000000000000001,0.7,0.6
32,0.5051282051282051,0.55,0.5202020202020202
33,0.36666666666666664,0.5,0.45454545454545453
34,0.52,0.6,0.5208333333333334
35,0.5808777429467085,0.65,0.6111111111111112
36,0.5868131868131868,0.6,0.5625
37,0.636,0.65,0.6313131313131313
38,0.7007168458781361,0.75,0.6428571428571428
39,0.735042735042735,0.75,0.7083333333333334
40,0.523809523809524,0.6,0.6
41,0.7401433691756273,0.75,0.6333333333333333
42,0.5809523809523809,0.6,0.5274725274725274
43,0.6714285714285715,0.7,0.6458333333333333
44,0.5809523809523809,0.6,0.5274725274725274
45,0.5808777429467085,0.65,0.6111111111111112
46,0.5604395604395604,0.6,0.6000000000000001
47,0.6150997150997151,0.65,0.6212121212121211
48,0.7401433691756273,0.75,0.6333333333333333
49,0.5626959247648902,0.55,0.43333333333333335
50,0.38095238095238104,0.5,0.5454545454545454
51,0.4871794871794872,0.55,0.55
52,0.6006269592476489,0.65,0.5833333333333333
53,0.7204301075268817,0.75,0.6309523809523809
54,0.5809523809523809,0.6,0.5274725274725274
55,0.7,0.7,0.6428571428571429
56,0.6714285714285715,0.7,0.6458333333333333
57,0.7640692640692641,0.75,0.5784313725490196
58,0.64,0.7,0.625
59,0.8862745098039216,0.9,0.75
60,0.7000000000000001,0.7,0.6
61,0.8,0.8,0.7333333333333334
62,0.7733333333333332,0.8,0.7142857142857143
63,0.7288401253918495,0.75,0.675824175824176
64,0.7666666666666666,0.75,0.8333333333333334
65,0.7,0.7,0.6703296703296703
66,0.5466666666666667,0.6,0.49450549450549447
67,0.508,0.55,0.5808080808080808
68,0.5916666666666667,0.6,0.5858585858585859
69,0.6006269592476489,0.65,0.5833333333333333
70,0.74294670846395,0.75,0.6785714285714286
71,0.6937500000000002,0.7,0.6868686868686869
72,0.5809523809523809,0.6,0.5274725274725274
73,0.48652037617554866,0.55,0.4791666666666667
74,0.6857142857142856,0.7,0.6373626373626373
75,0.38095238095238104,0.5,0.5454545454545454
76,0.6571428571428573,0.7,0.6666666666666666
77,0.6150997150997151,0.65,0.6212121212121211
78,0.2793103448275862,0.45,0.5
79,0.6203761755485893,0.65,0.5659340659340659
80,0.745014245014245,0.75,0.7087912087912087
81,0.40476190476190477,0.5,0.5
82,0.532,0.55,0.5303030303030303
83,0.5604395604395604,0.6,0.6000000000000001
84,0.523809523809524,0.6,0.6
85,0.7288401253918495,0.75,0.675824175824176
86,0.64375,0.7,0.5476190476190477
87,0.32934472934472936,0.45,0.5416666666666666
88,0.5051282051282051,0.55,0.5202020202020202
89,0.6086021505376344,0.65,0.511904761904762
90,0.43573667711598746,0.55,0.55
91,0.541025641025641,0.55,0.48901098901098894
92,0.5619047619047619,0.6,0.5416666666666667
93,0.6150997150997151,0.65,0.6212121212121211
94,0.6011396011396011,0.65,0.65
95,0.735042735042735,0.75,0.7083333333333334
96,0.671875,0.7,0.5333333333333333
97,0.591919191919192,0.6,0.6161616161616161
98,0.735042735042735,0.75,0.7083333333333334
99,0.5809523809523809,0.6,0.5274725274725274
