# Gene Family	3003A	3004A	3005A	3007A	3008A	3009A	3012A	3013A	3014A	3016A	3020A	3021A	3022A	3023A	3025A	3026A	3027A	3028A	3029A	3030A	3031A	3032A	3033A	3036A	3037A	3039A	3042A	3043A	3044A	3046A	3048A	3049A
TAG54:3-FA16:1	0.3747	2.6566	1.8061	0.7663	15.9415	0.7917	1.4432	1.4033	1.3573	1.2463	1.1929	40.3388	1.5014	3.3053	0.3337	2.4004	0.3451	0.8858	0.798	0.3626	3.2608	0.3916	1.9256	0.725	0.44	0.3613	0.3711	0.4781	0.5286	2.7644	4.5768	2.5046
TAG54:3-FA18:0	0.6849	3.231	6.2183	1.1148	66.4175	0.7272	0.6365	3.2554	4.0568	1.4589	1.6095	310.6283	0.3527	7.2551	0.0981	4.3608	0.5237	2.3301	0.0935	0.4375	7.2498	0.4412	1.7255	0.923	0.3265	0.3002	1.1543	0.9052	0.3197	5.9285	15.1315	7.3212
TAG54:3-FA18:1	0.9892	23.4986	3.225	0.5407	95.3716	1.8618	0.6075	5.8894	2.4371	2.8349	2.7401	121.1004	0.3503	4.089	0.1226	2.0636	0.5143	2.2697	0.1091	0.4984	11.0721	0.4778	3.6583	0.5189	0.424	0.3818	0.7433	1.7575	0.173	3.653	50.2554	6.3443
TAG54:3-FA18:2	0.7107	3.3808	6.042	0.9681	68.0302	0.7774	0.6169	2.7921	3.8759	1.3785	1.5319	275.3469	0.2756	8.6894	0.0821	4.4266	0.4622	2.9348	0.0827	0.358	9.6205	0.4201	1.6598	0.9078	0.2991	0.283	1.0693	0.8324	0.2454	5.6387	15.2162	6.5658
TAG54:3-FA18:3	0.5342	1.1865	1.5861	0.7953	5.5149	1.3829	1.0419	1.9656	2.4161	1.3969	1.2902	17.3478	0.8794	1.6852	0.6369	1.0499	1.0978	0.785	0.6328	1.1118	1.403	0.8606	0.9542	1.0128	0.3926	0.3007	0.7937	0.4196	0.7988	7.0013	1.6766	1.3784
TAG54:3-FA20:1	0.317	2.492	3.6409	0.5886	6.9125	0.5116	0.5961	3.928	4.0012	1.0655	1.2275	41.0159	0.9488	5.8654	0.1269	2.8349	0.5626	2.9134	0.2605	0.3041	13.9634	0.6645	1.3453	0.8759	0.289	0.3373	0.5972	0.7678	0.5201	2.5384	7.5341	4.0923
TAG54:3-FA20:2	0.4405	1.2094	4.5194	0.9609	9.0681	0.933	0.6259	3.0433	1.5841	1.3816	0.9933	32.1901	0.7048	6.9846	0.3945	2.0175	0.4149	1.4286	0.3826	0.576	5.3526	0.647	0.7284	2.9155	0.6205	0.3526	0.587	0.6628	0.5778	1.805	3.0448	2.071
TAG54:3-FA20:3	0.5619	0.8794	0.9826	1.7214	5.1427	1.3007	0.4271	9.4502	1.911	1.5903	1.4128	8.5893	1.5087	3.5529	0.703	1.0174	0.6277	1.1411	0.4086	0.7414	3.9568	0.9131	0.5187	0.5166	0.9595	0.5771	0.6619	0.7973	0.9658	0.674	1.2838	0.8789
TAG54:4-FA16:0	0.4458	0.927	2.8455	1.2294	8.816	0.8449	0.6035	2.3933	3.1781	1.6759	0.9491	28.8855	1.507	5.526	0.3426	2.1384	0.5305	1.7925	0.2443	0.5004	5.7968	0.6222	1.0255	0.6977	0.7551	0.3187	0.6494	0.4926	0.573	4.8542	3.2851	2.4033
TAG54:4-FA16:1	0.6684	2.0999	3.0736	1.0368	40.371	0.8771	0.8657	1.9196	2.4533	1.2333	1.0073	89.174	0.8319	5.3355	0.2472	2.9049	0.4665	1.6833	0.4225	0.4821	6.2478	0.4898	1.1155	0.6981	0.465	0.3182	0.7563	0.6624	0.3836	4.0297	9.0276	3.3543
