# Gene Family	3003A	3004A	3005A	3007A	3008A	3009A	3012A	3013A	3014A	3016A	3020A	3021A	3022A	3023A	3025A	3026A	3027A	3028A	3029A	3030A	3031A	3032A	3033A	3036A	3037A	3039A	3042A	3043A	3044A	3046A	3048A	3049A
1.1.1.1	1913.221	5754.311	2125.861	1423.784	1833.506	535.459	1002.084	1805.528	4798.334	1415.618	1355.516	2643.67	4813.28	2060.53	798.113	3076.866	4099.562	3412.433	437.225	2374.997	16376.603	2601.36	666.242	1889.158	1954.497	2260.987	2002.999	3578.068	1311.407	3910.118	1963.9	6046.064
1.1.1.100	7670.641	5783.436	4425.496	4843.239	4593.622	1081.941	3573.397	2832.062	12272.217	3673.143	3221.763	6026.997	8473.749	6004.536	2199.305	6484.635	8053.98	7059.403	858.336	5875.186	25023.366	5228.602	2302.358	2661.795	5277.909	5467.732	4363.967	4164.837	1019.763	7283.399	2360.885	9346.74
1.1.1.103	953.747	791.538	1335.739	1112.746	488.938	312.686	949.479	1920.068	2485.399	401.033	693.51	1917.702	1787.464	1214.539	220.522	2404.935	1745.386	991.772	129.879	1136.801	11579.477	813.037	927.814	489.914	1225.181	1024.516	338.969	975.843	326.249	470.903	663.188	2569.174
1.1.1.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.094	0	10.298	0	7.488	0	0	0	0	0	0	0	0	0	0
1.1.1.107	0	0	0	0	0	0	0	0	0	0	0	94.887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220.814	0	0	0	3788.592	0	0	0	0	0	0	0	0	0	0	0
1.1.1.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.213	0	0	0	0	0	0	0	0	0	0
1.1.1.122	293.363	168.692	55.236	666.97	315.014	7.579	767.286	238.69	306.965	362.343	342.793	498.859	260.553	953.862	15.119	188.809	1437.092	377.035	0	279.164	87.557	34.991	746.041	0	1245.508	376.829	26.55	709.167	11.458	6.331	6.24	0
1.1.1.125	0	0	15.843	24.627	0	0	0	46.83	4.899	4.239	15.995	7.002	37.377	6.276	0	37.09	93.241	89.682	0	22.503	706.876	15.167	0	0	17.476	0	0	12.854	16.617	25.385	23.915	130.334
1.1.1.127	75.332	0	148.269	141.279	11.077	0	11.065	207.801	49.521	64.936	81.118	387.574	690.082	75.657	40.084	660.279	398.988	28.674	0	142.518	5447.461	48.971	12.064	0	29.128	0	109.332	20.375	0	31.013	33.972	2384.51
1.1.1.130	59.778	13.668	87.296	112.845	29.088	0	7.003	138.32	109.126	22.939	117.725	624.822	666.002	22.582	0	381.94	419.662	47.971	0	84.273	6928.573	50.954	43.833	50.88	8.147	14.339	112.219	40.668	141.138	22.002	177.5	1460.321
1.1.1.131	507.838	197.314	168.989	920.324	726.704	63.351	1105.105	654.458	161.022	379.641	686.671	1223.477	471.262	1400.102	46.72	693.94	660.171	635.742	33.619	495.074	374.563	220.124	437.606	94.78	1508.72	540.624	68.756	941.102	197.437	179.606	300.946	58.535
1.1.1.132	13.716	85.28	41.873	81.301	135.641	59.354	78.112	12.605	0	13.31	9.914	0	21.379	28.207	13.638	52.958	289.073	41.175	0	112.866	2849.978	28.32	5.558	45.195	0	5.964	2.082	8.619	43.683	0	0	105.177
1.1.1.133	6257.807	3330.742	4069.757	5596.506	3569.935	1781.408	5650.348	3568.066	7829.041	5286.501	4243.745	5324.397	4807.734	7061.324	1924.237	4915.805	4794.393	4300.164	685.217	5312.684	2582.874	4670.471	3099.81	2939.345	5742.558	4355.102	4039	4344.79	1306.247	4651.022	2224.683	4449.549
1.1.1.135	0	0	0	0	0	0	0	0	16.914	0	0	49.756	0	0	0	0	0	10.922	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.136	81.166	162.39	0	215.319	0	0	230.346	74.878	22.656	0	46.303	187.252	204.203	100.341	0	122.808	69.247	19.804	0	31.347	382.655	0	29.253	0	137.076	0	0	0	15.464	0	0	0
1.1.1.14	3988.504	3190.485	2221.291	2086.557	1865.735	961.258	1325.237	2134.582	8869.742	1503.286	1544.313	3899.121	4475.615	2553.242	1405.033	3587.817	5672.287	4096.548	484.287	3207.959	10419.231	3692.545	1171.934	1238.672	2789.587	3165.68	1322.607	3700.039	366.07	5237.478	602.385	7070.574
1.1.1.140	132.578	247.352	99.891	151.123	99.014	86.127	109.007	193.239	502.396	75.817	130.309	554.485	932.198	253.452	96.654	806.387	720.262	432.299	23.627	231.039	5487.227	383.329	50.317	29.98	289.925	308.539	268.499	388.792	19.404	449.469	78.557	2170.56
1.1.1.144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.154	74.802	105.711	46.992	113.498	10.586	0	0	255.109	63.556	6.628	14.641	277.164	294.489	39.219	0	326.377	318.871	7.56	0	122.915	3037.377	35.072	0	47.918	0	12.033	72.148	17.401	0	30.671	58.692	1168.667
1.1.1.157	467.752	1053.264	463.955	349.573	351.758	280.357	246.17	494.434	2201.011	256.017	325.84	1108.352	620.271	577.878	199.844	955.58	1011.549	1198.143	112.456	710.545	5118.498	840.336	386.52	325.51	470.675	562.966	716.688	441.486	50.794	887.122	80.936	1082.706
1.1.1.159	76.251	0	15.742	277.837	0	0	41.713	25.29	59.155	240.428	38.891	205.087	247.337	59.824	12.94	140.737	304.545	3.03	0	28.735	3319.114	13.713	353.557	5.205	379.809	7.112	30.303	10.347	0	42.945	22.753	309.198
1.1.1.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.794	0	0	0	0	0	0	0	25.356	0	0	0
1.1.1.169	3066.613	1797.554	2059.447	2012.172	1503.011	861.908	2429.268	4041.902	4167.571	1263.324	2952.52	3441.125	3691.23	3349.685	837.491	3314.085	4312.849	2600.64	278.659	2349.971	5315.162	4334.955	1911.966	3819.06	2827.836	2818.093	2363.579	2215.234	1520.485	2983.066	2449.599	3347.378
1.1.1.17	341.201	674.953	266.792	618.554	259.838	314.125	402.336	221.532	1745.659	137.02	136.128	628.98	1323.436	301.567	162.214	1227.109	2241.006	1385.515	55.722	762.762	19148.51	954.511	130.707	135.981	810.008	913.509	360.218	551.501	45.29	609.924	86.524	1187.756
1.1.1.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.179	0	338.199	0	33.142	0	0	20.885	29.833	62.652	0	0	115.166	180.839	281.752	51.642	28.724	0	125.074	14.942	30.527	0	0	264.59	19.953	77.654	4.3	505.52	496.673	0	271.356	0	212.805
1.1.1.18	2165.147	572.255	348.932	1867.49	757.957	125.22	1182.185	2085.403	1250.734	2095.268	968.414	1058.614	657.79	3784.39	570.632	1209.084	2553.233	1381.278	205.511	857.426	644.072	1119.393	1292.482	571.505	1631.662	1314.409	1974.339	2242.878	228.332	818.569	119.528	1183.767
1.1.1.188	0	0	0	0	0	7.394	0	0	7.067	0	0	6.968	0	0	0	0	0	143.616	0	0	0	6.769	0	0	0	0	0	0	0	0	0	21.789
1.1.1.193	3567.879	2220.703	2601.956	2045.862	2314.06	784.423	2439.995	2357.332	5081.253	2320.599	1742.534	2384.216	2135.534	2723.014	992.867	3044.727	2141.564	2169.383	306.79	1935.464	1821.482	1778.207	1712.944	1092.29	2714.836	2399.475	1866.021	1426.725	211.049	2147.56	915.29	2312.55
1.1.1.2	237.301	312.204	100.121	220.694	179.533	16.259	77.563	128.597	657.297	1600.755	103.053	769.066	517.672	149.94	118.166	382.098	259.988	962.607	36.065	831.256	2869.394	316.642	42.568	51.647	111.939	112.252	3643.684	113.497	13.675	254.437	137.707	1729.759
1.1.1.201	0	159.593	0	0	0	0	0	6.228	22.978	0	0	0	0	0	0	7.604	0	0	0	0	30.958	0	0	0	0	0	0	0	0	0	0	0
1.1.1.202	257.575	1122.443	363.136	333.281	249.668	173.795	325.2	43.231	1150.514	192.796	112.602	561.743	543.265	335.148	178.859	727.827	858.825	863.061	104.107	660.694	230.541	562.519	112.766	321.382	339.056	612.247	141.741	288.487	26.77	727.957	42.697	704.918
1.1.1.205	6094.769	4739.841	3537.013	3369.443	4772.108	1358.478	3868.153	5598.372	4824.349	3770.843	4033.6	4331.536	8215.1	6049.95	1635.147	5375.039	5870.397	4245.964	707.807	4718.08	8987.223	5259.092	5695.364	4522.883	3552.211	3566.867	6135.095	7020.799	2509.484	4642.09	4752.061	5176.428
1.1.1.21	89.823	38.263	81.723	31.285	19.967	21.98	253.822	28.389	280.78	23.066	125.955	142.732	128.439	275.674	70.389	145.656	266.137	292.916	0	132.268	123.101	221.002	159.633	11.622	82.769	133.92	14.713	412.449	0	251.498	13.21	306.753
1.1.1.210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.215	0	0	2.674	0	0	0	1.821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.832	0	0	0	0	2.747	0	0	0
1.1.1.218	8.49	14.194	12.603	0	149.158	0	5.683	33.201	62.762	0	2.849	5.77	20.588	19.363	0	83.882	59.628	40.845	0	5.646	37.599	42.321	9.955	0	7.113	0	146.683	18.796	4.329	27.251	0	17.193
1.1.1.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.532	0	0	0	0	0	0	0	0	0	0
1.1.1.22	5275.989	1769.507	3276.398	5139.676	3205.213	1380.346	4421.526	3469.244	4131.243	3341.241	3955.412	3883.248	4598.463	4914.76	2304.343	4309.745	5873.576	2813.89	2179.663	3942.973	7747.706	5327.943	2802.759	1859.769	4923.427	3320.372	2162.099	7037.956	998.793	2606.282	2242.097	3579.937
1.1.1.23	5430.857	3966.302	3596.334	2913.252	3765.156	1224.922	3100.571	5101.527	5866.844	2818.484	3981.348	4541.03	6305.68	4617.732	1557.404	4764.589	6402.203	3354.357	593.801	4157.341	8050.257	5742.724	4793.991	4599.916	3197.008	3378.258	4141.295	4575.52	2316.471	4127.147	3222.844	5021.622
1.1.1.237	0	0	0	0	0	0	0	0	0	0	0	0	5.461	5.698	0	0	0	0	0	0	37.402	0	0	0	0	0	0	0	0	0	0	0
1.1.1.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.244	72.41	192.7	217.442	146.809	311.261	7.905	45.087	64.165	252.482	21.914	40.104	484.042	210.297	47.881	338.675	173.663	207.151	255.355	43.276	370.594	42.937	115.693	26.707	195.994	41.058	57.164	70.992	448.645	21.028	486.351	18.536	239.345
1.1.1.25	6001.826	6857.907	4008.057	3386.917	4870.411	2097.977	2739.383	3401.881	10327.431	2828.648	3906.866	4819.45	5783.08	3946.14	1895.582	5609.02	9394.539	6078.779	805.757	4710.059	7213.769	7394.207	5163.171	2997.474	3725.404	5099.311	3420.066	4091.857	1243.265	4793.148	1603.405	5681.748
1.1.1.251	35.058	0	26.953	82.345	5.337	56.746	40.381	104.797	429.487	18.114	26.025	237.63	314.778	157.11	0	139.961	335.688	90.533	17.455	90.464	0	0	0	11.357	189.126	70.34	53.452	0	0	17.642	5.586	425.858
1.1.1.255	0	372.66	0	0	15.034	0	0	6	0	0	0	0	0	17.537	0	0	3.003	38.94	31.049	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.26	0	10.629	0	0	0	35.628	27.029	0	0	18.021	5.589	13.133	6.278	0	0	8.99	0	0	67.028	6.71	0	0	0	5.389	20.392	20.299	0	0	19.297	0	19.957	0
1.1.1.261	158.848	773.331	489.787	413.35	272.389	240.247	258.134	216.433	1308.873	161.27	987.859	416.96	639.441	296.911	243.709	570.917	1502.022	1068.15	43.441	540.305	263.701	2467.87	116.473	465.296	1085.455	807.31	102.274	538.627	58.349	526.724	63.826	261.981
1.1.1.262	1341.544	723.715	413.319	1411.7	1075.77	18.928	1310.231	376.168	1136.236	1616.511	1050.374	883.702	977.12	1443.32	308.087	702.319	1056.087	526.25	182.096	456.494	4049.49	220.076	575.889	290.913	1166.873	293.028	154.367	1030.733	229.185	513.571	61.981	1082.134
1.1.1.264	27.149	0	4.673	0	0	0	0	18.476	32.618	9.461	12.021	213.161	4.859	2.793	0	182.158	8.207	0	0	66.241	3936.248	7.845	0	7.687	0	0	13.368	0	0	0	0	0
1.1.1.266	0	191.042	0	183.764	0	0	216.913	0	0	0	0	0	46.32	77.903	0	0	0	0	0	23.185	0	11.551	0	0	0	0	0	0	0	0	0	0
1.1.1.267	6041.394	4304.493	3688.158	3452.334	4037.783	1289.273	3723.538	4491.238	4607.542	3541	3554.348	4490.551	6876.151	4873.647	1638.928	4753.199	6013.554	3526.351	717.564	4219.841	13342.817	3567.836	4478.213	4808.713	3429.234	3516.275	4170.887	5476.63	2634.033	4010.545	4154.204	5399.352
1.1.1.268	1242.11	0	269.421	0	49.077	37.375	0	151.916	55.484	29.426	21.028	234.02	28.952	61.048	108.643	79.451	1406.365	44.226	318.105	88.383	132.324	115.862	12.807	32.81	128.301	56.67	0	15.043	169.967	24.126	7.894	31.925
1.1.1.269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.144	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.27	4586.104	5259.895	2865.938	1086.828	3631.696	5398.231	1130.912	3359.965	5793.119	1469.665	1944.895	3255.243	6751.562	3916.527	2098.845	4315.761	7029.878	4690.524	530.215	4297.443	2013.559	4245.019	6497.533	4483.741	1596.012	3087.227	4178.257	6913.948	3585.915	5513.269	2655.088	4481.763
1.1.1.271	2352.314	767.18	1726.366	2681.254	841.682	322.388	2596.392	1391.83	1096.516	1124.327	1965.822	1671.755	1373.892	2555.408	163.937	2230.87	1493.093	1192.081	152.457	1292.984	505.788	729.369	1865.828	518.116	2222.046	1804.912	78.201	1105.581	106.441	750.97	1510.45	2215.933
1.1.1.272	161.663	125.983	60.697	0	16.818	88.307	161.776	0	118.313	57.587	177.25	0	98.468	23.485	15.035	85.707	242.755	159.041	0	120.923	7.82	39.579	7.661	27.663	112.445	58.282	0	85.509	0	23.875	4.132	54.98
1.1.1.274	686.738	1732.299	442.894	488.609	204.623	100.306	659.217	334.426	607.856	515.441	274.253	1108.448	1737.635	1068.534	344.283	947.83	2158.478	636.003	161.06	617.824	7420.755	489.105	799.259	532.402	603.927	393.785	1336.977	1234.152	677.422	501.386	421.762	2099.857
1.1.1.276	1985.428	1957.074	249.385	241.776	805.208	66.148	297.819	22.2	1158.077	614.526	145.546	532.41	1798.62	517.891	394.204	534.923	736.158	708.611	102.698	591.405	375.148	366.871	205.981	187.086	170.664	249.924	318.502	596.09	314.983	799.054	1067.35	572.02
1.1.1.28	458.09	879.495	560.45	1037.379	593.404	117.529	900.769	402.442	1028.631	542.9	834	1244.564	1434.653	956.276	512.397	1055.936	2151.057	752.444	50.106	721.985	10590.444	386.038	433.274	173.98	1686.131	753.542	347.132	1033.024	72.145	418.319	134.352	1967.631
1.1.1.281	95.761	0	0	6.61	0	0	0	35.592	21.882	0	37.591	107.688	113.367	0	0	4	41.899	0	0	0	0	0	0	0	44.87	0	0	0	0	0	0	0
1.1.1.282	34.678	0	0	44.41	5.464	0	0	122.641	20.072	0	58.169	261.452	281.948	17.444	0	244.015	129.751	4.457	0	65.695	1261.569	0	0	0	0	0	34.602	12.195	0	0	0	423.413
1.1.1.283	66.48	23.01	36.819	190.506	0	0	34.837	16.426	0	0	9.823	41.027	52.342	5.77	15.489	9.748	0	13.772	0	8.436	0	20.757	21.205	0	0	129.176	11.353	37.365	28.875	0	0	0
1.1.1.284	328.906	202.223	0	170.354	8.13	11.58	56.302	235.615	24.047	19.485	57.483	333.308	647.752	1286.707	0	408.357	144.943	272.41	67.371	197.267	2806.022	0	88.9	8.747	52.643	0	653.337	1533.49	5.346	128.92	74.954	1527.482
1.1.1.287	0	0	0	0	0	0	0	0	0	0	0	0	213.665	0	0	0	0	0	0	0	0	4.626	0	0	0	0	0	14.999	0	0	0	0
1.1.1.289	0	0	0	19.997	0	0	76.962	16.143	63.815	0	14.744	109.139	711.406	366.172	51.756	137.848	235.332	160.934	0	264.13	95.138	110.033	113.337	101.79	47.322	0	132.832	400.458	0	248.61	97.153	200.262
1.1.1.29	1021.563	476.175	462.861	871.007	129.43	120.574	134.63	129.76	489.044	300.345	856.772	713.265	340.591	794.751	192.21	350.408	350.347	387.937	85.592	472.698	201.817	426.018	840.995	234.125	294.579	616.099	625.913	247.448	55.972	390.358	204.535	666.373
1.1.1.290	2297.297	1743.559	2051.153	5317.681	3064.065	67.304	5928.809	2099.777	1728.896	3502.861	3467.634	4317.728	2991.828	4608.114	609.089	2181.017	2127.467	2410.423	231.742	2548.863	5411.169	1221.704	1785.386	348.163	4401.46	1887.217	1266.504	4547.782	733.569	1173.674	1583.894	2843.621
1.1.1.291	16.416	0	6.52	42.602	0	0	0	62.679	0	45.254	20.207	90.342	232.635	8.191	0	73.515	307.949	0	0	68.605	4218.133	0	0	5.405	0	2.956	40.075	0	0	0	2.324	530.674
1.1.1.292	2020.181	1493.525	991.328	826.018	1481.943	261.53	994.185	680.278	4554.49	976.777	526.929	1947.657	3328.427	1441.483	1045.039	2193.562	2975.151	1900.625	255.309	1597.407	3237.174	2362.628	1079.103	781.673	1315.825	1258.382	2856.972	1768.437	207.098	2408.073	1125.968	3008.635
1.1.1.298	21.279	0	11.173	25.914	0	0	0	68.108	3.378	30.366	6.043	115.671	203.969	27.708	0	269.852	139.155	2.424	0	68.59	2701.521	0	0	0	0	0	40.911	3.354	0	0	0	1552.346
1.1.1.3	5633.71	6723.573	4466.303	3098.179	4350.273	1787.85	3285.517	5387.026	6937.61	3505.581	3007.133	5029.209	8270.062	4320.981	1840.371	5804.535	7156.492	4869.425	900.572	5146.294	14063.303	4551.485	4843.064	5457.667	2948.177	4358.589	4124.512	5656.69	2984.071	5551.796	4813.776	10899.679
1.1.1.30	0	0	0	8.251	8.374	0	0	0	0	4.525	0	0	0	0	0	9.732	0	0	0	0	0	0	0	0	0	21.372	0	0	0	14.102	0	0
1.1.1.301	0	0	17.995	0	0	0	0	0	47.014	0	0	136.811	89.816	7.482	0	56.703	0	0	0	0	0	0	0	0	47.161	0	0	0	0	0	0	0
1.1.1.302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.303	0	0	0	0	0	0	0	28.983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.304	0	0	9.62	0	79.343	0	5.267	28.983	28.819	140.186	0	0	32.281	0	56.052	10.276	37.358	0	0	62.505	0	64.124	126.692	6.96	17.952	0	377.523	0	0	153.855	6.018	0
1.1.1.305	0	0	0	0	0	0	0	0	0	0	2.117	6.839	0	0	0	0	14.626	0	0	0	129.857	0	0	0	0	0	0	0	0	0	1.416	0
1.1.1.306	0	10.557	18.892	0	0	0	0	0	18.935	0	0	16.699	50.603	0	0	7.921	85.033	0	0	0	6.325	0	0	13.036	0	8.417	0	0	0	4.219	0	28.712
1.1.1.308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.31	5.286	79.313	21.378	19.641	14.709	41.231	0	0	109.279	30.605	26.998	0	227.301	0	0	75.581	121.665	110.365	0	101.702	1.839	30.935	0	28.608	13.886	25.892	30.263	0	0	47.657	0	262.535
1.1.1.310	0	0	0	0	0	0	0	8.785	0	0	0	0	0	0	0	27.731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.037	0	0	0	0	0	0	0	0	0	0
1.1.1.317	0	0	17.719	35.189	0	8.549	71.415	36.023	37.898	0	11.776	145.914	526.651	391.594	0	122.739	179.665	207.02	16.045	203.868	0	74.331	222.943	55.973	60.81	0	332.518	541.516	0	274.544	572.962	158.763
1.1.1.329	0	0	0	0	0	0	0	0	22.596	0	0	7.546	0	0	0	27.709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.336	81.166	0	179.551	232.235	234.343	0	554.619	88.197	149.909	596.031	857.974	182.689	329.332	1315.954	13.238	319.51	165.706	19.804	11.136	446.613	153.934	28.345	556.858	0	1416.367	452.044	6.582	186.152	73.112	17.737	5.512	0
1.1.1.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.34	0	0	0	0	0	0	0	48.914	0	20.757	838.384	0	174.97	0	0	0	379.462	0	0	0	0	1966.131	0	359.431	0	0	0	0	0	0	0	0
1.1.1.341	0	0	0	0	0	0	0	73.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.346	0	0	2.328	0	0	0	0	0	0	0	4.582	33.454	0	8.782	0	13.595	125.784	0	0	5.303	939.698	0	0	0	0	0	0	0	0	0	0	5.87
1.1.1.347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.35	391.033	297.002	215.291	395.094	279.734	85.386	172.096	805.979	515.191	290.5	1338.702	1071.378	1591.266	534.42	96.089	1079.372	1968.373	523.443	32.551	448.426	14439.115	2572.191	288.75	583.742	373.904	320.018	447.337	364.605	18.547	606.121	92.131	4298.96
1.1.1.350	0	0	0	6.665	0	0	0	0	0	0	0	6.431	0	2.29	0	4.023	0	0	0	0	112.555	0	0	0	0	0	0	0	0	0	0	9.075
1.1.1.355	14.842	0	0	0	39.858	0	11.166	20.389	0	32.089	6.916	0	7.989	25.061	0	18.631	0	0	0	10.333	11.443	0	26.066	0	27.284	72.845	0	6.779	0	0	0	0
1.1.1.36	0	52.051	11.808	13.338	0	13.098	0	15.189	49.452	0	4.914	13.442	222.849	16.773	0	105.291	101.879	42.44	58.797	205.927	137.663	178.675	60.653	74.93	0	9.942	198.453	8.48	15.221	20.402	670.377	13.338
1.1.1.361	0	0	0	0	0	0	0	5.352	0	0	0	0	0	0	0	14.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.369	128.429	173.298	101.212	61.239	98.945	68.534	111.556	458.444	563.969	58.859	16.087	290.101	91.207	327.96	110.252	283.264	441.842	428.624	9.09	196.504	163.526	374.895	68.884	42.302	59.798	270.534	34.562	238.567	19.64	283.459	24.95	494.338
1.1.1.37	1445.768	736.56	1139.428	2585.099	978.547	195.884	2323.104	1699.258	844.384	959.212	1993.063	1436.966	1289.262	2291.613	269.677	2196.036	1263.549	852.145	177.298	901.889	4192.97	545.447	1000.081	300.031	1826.655	1203.201	174.798	1588.764	156.11	350.825	723.133	885
1.1.1.370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.373	5.485	0	6.501	23.158	0	0	0	74.564	0	2.56	12.988	94.463	0	0	0	88.958	11.738	0	0	0	5.544	0	0	6.042	0	0	0	0	0	0	2.932	438.839
1.1.1.38	59.244	427.912	252.15	38.369	32.808	44.794	20.023	140.56	613.422	63.564	51.447	272.015	352.775	51.023	19.453	295.299	629.93	218.84	10.58	303.595	6447.83	85.835	77.096	24.3	269.917	91.736	28.751	67.425	20.513	170.894	90.475	606.877
1.1.1.381	0	0	0	0	0	0	0	0	0	0	0	9.052	0	0	0	0	3.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.391	0	0	9.044	9.354	0	0	0	9.219	0	0	0	42.972	5.452	0	0	25.947	0	13.833	13.626	0	0	0	0	0	0	177.107	0	0	29.832	0	6.216	10.41
1.1.1.392	0	500.392	0	0	8.418	0	0	0	17.851	0	0	0	0	0	0	13.303	0	6.712	0	0	31.497	0	0	0	0	0	0	0	0	0	0	0
1.1.1.393	0	511.698	0	0	0	0	0	0	31.148	0	0	8.998	0	6.014	0	0	12.015	0	0	0	13.159	8.973	0	0	0	0	0	0	0	0	0	0
1.1.1.395	0	0	0	8.103	7.157	0	0	110.361	0	0	0	8.578	0	0	0	0	0	5.727	0	0	0	0	0	0	0	0	0	0	9.946	0	0	0
1.1.1.399	2.508	0	0	0	0	0	0	0	0	15.475	0	0	0	0	45.869	17.509	0	1.102	0	3.6	0	0	8.168	0	6.379	0	480.478	10.01	0	0	5.077	0
1.1.1.4	0	40.377	61.165	4.459	0	0	0	33.305	83.653	5.122	0	9.64	0	4.474	0	62.164	22.011	63.904	0	13.95	19.951	29.855	19.748	0	0	0	22.213	19.914	29.747	0	0	17.711
1.1.1.40	3018.126	1160.707	1029.722	1388.584	1291.98	146.18	952.323	706.053	1799.62	2448.349	1113.954	1837.955	2005.8	1561.147	670.586	1349.002	1429.165	1794.298	170.798	1309.94	3830.919	989.46	690.663	408.782	1436.185	1075.367	1059.18	1159.282	325.078	1141.579	331.382	2175.806
1.1.1.405	26.613	372.359	295.016	9.047	591.762	145.167	227.556	0	450.472	121.215	71.023	156.506	198.083	45.019	132.445	267.462	363.927	281.758	105.015	523.782	65.656	360.167	324.131	300.924	76.201	397.906	13.625	39.565	122.4	289.661	39.813	157.336
1.1.1.41	6.36	0	10.373	0	0	0	0	0	0	0	0	26.296	0	0	0	16.293	10.538	8.478	0	0	82.922	0	0	0	0	112.704	1069.326	0	20.922	0	0	0
1.1.1.411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.356	0	0	0	0	0	0	0	0	0	0	112.924
1.1.1.414	4.273	0	0	4.991	0	0	0	0	0	0	4.581	27.758	7.307	23.875	0	40.818	0	0	0	0	645.401	0	0	0	0	0	0	2.826	0	0	3.626	20.061
1.1.1.42	4084.526	3440.371	2920.334	2154.104	2877.657	948.697	2004.684	3132.786	4627.597	2549.677	2477.095	3437.457	4796.857	4318.324	1244.361	4126.33	5227.779	3441.576	607.648	3598.922	8486	2869.034	4087.627	1822.103	2666.942	2662.268	2988.289	4126.804	933.982	3069.642	2817.585	3985.277
1.1.1.44	2094.597	2914.098	497.396	1756.198	1923.586	23.927	1396.432	573.235	222.004	488.323	1273.502	1295.08	3827.026	3848.071	158.778	1432.191	1100.45	1257.622	124.479	1489.357	2358.35	554.566	1155.498	271.053	1657.44	532.764	2764.563	3995.771	553.8	1664.196	3010.386	1686.588
1.1.1.47	7.715	20.663	247.411	34.198	42.782	18.808	11.185	78.452	566.613	51.989	43.869	31.45	237.575	48.521	9.801	143.327	178.495	116.972	0	34.863	1984.819	151.579	8.875	204.978	71.523	235.83	0	17.459	9.796	30.288	108.585	199.62
1.1.1.49	735.518	2204.141	123.247	1259.525	1185.855	40.927	1257.746	389.744	174.333	304.563	899.114	1215.156	2033.215	2701.505	151.177	1123.675	1149	1002.691	133.998	1094.928	5686.246	292.167	646.28	99.782	1469.534	416.377	1817.705	3045.761	535.423	607.586	1176.59	1361.089
1.1.1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
