# Gene Family	3003B	3004B	3005B	3007B	3008B	3009B	3012B	3013B	3014B	3016B	3020B	3021B	3022B	3023B	3025B	3026B	3027B	3028B	3029B	3030B	3031B	3032B	3033B	3036B	3037B	3039B	3042B	3043B	3044B	3046B	3047B	3048B	3049B
1.1.1.193	2403.036	3136.366	3017.416	2286.882	1298.716	265.489	2956.553	2625.85	6142.592	1780.96	1635.096	3482.399	2406.718	3683.684	793.876	1568.572	1726.999	4156.253	3240.808	1646.412	3156.945	1541.988	2599.861	1939.027	97.225	2296.53	2233.061	3182.977	1048.777	2749.603	2051.718	1928.881	1859.267
1.1.1.2	194.881	1776.63	294.724	69.61	349.224	0	44.275	207.058	796.74	228.94	152.498	465.817	466.309	58.271	32.028	54.602	49.055	270.339	282.538	306.885	1609.01	121.327	129.915	166.619	6.584	322.657	520.942	324.537	390.194	25.593	360.764	521.014	3321.656
1.1.1.201	0	0	0	0	10.859	0	0	0	4.541	0	0	10.697	0	0	0	0	13.926	0	0	0	0	0	0	0	0	0	0	0	0	0	73.269	0	10.641
1.1.1.202	543.812	579.527	484.241	267.81	583.297	61.678	209.768	195.427	1761.293	130.912	72.934	449.789	613.312	238.117	192.139	386.845	806.643	687.979	732.016	177.162	442.986	360.972	604.852	477.694	8.5	833.788	480.217	759.363	214.336	25.372	284.225	810.204	650.938
1.1.1.205	5656.219	6659.86	3492.513	3141.49	2357.16	382.486	3339.655	5672.788	5785.337	3176.475	3336.379	6106.336	5399.481	4232.408	1302.512	3885.31	3386.031	6369.986	4516.066	2658.041	6058.099	5636.98	4524.86	5515.59	228.844	4350.215	5258.831	7340.496	2846.748	2639.653	2966.829	5655.377	6738.19
1.1.1.21	385.714	400.924	154.944	21.174	142.783	0	226.084	27.778	530.077	31.128	52.999	523.317	189.092	308.165	59.032	89.259	326.342	122.412	57.765	148.869	98.622	192.957	267.829	80.854	0	212.187	183.127	508.22	33.147	44.187	101.189	189.146	111.862
1.1.1.210	0	15.512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.215	0	0	0	0	0	0	0	0	2.732	0	0	0	0	2.587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.218	119.446	72.896	26.951	0	9.639	0	0	15.813	0	0	14.968	41.653	11.394	8.537	0	7.16	11.33	9.943	25.802	0	36.73	11.544	5.679	35.357	0	20.055	106.376	85.625	15.666	0	0	46.752	24.019
1.1.1.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
