# Gene Family	3003	3004	3005	3007	3008	3009	3012	3013	3014	3016	3020	3021	3022	3023	3025	3026	3027	3028	3029	3030	3031	3032	3033	3036	3037	3039	3042	3043	3044	3046	3047	3048	3049
1.1.1.1	1257.179	3814.455	1610.422	3420.267	1670.012	1471.068	471.624	662.966	2910.056	1119.541	1916.659	2090.76	3571.777	3285.865	262.129	2784.206	1474.468	2486.497	2995.804	1807.051	3070.821	1770.967	1453.56	3576.721	1576.955	1331.863	2427.664	2832.634	3786.588	950.895	1746.171	5264.095	4374.152
1.1.1.100	3566.691	6034.809	3792.534	7036.631	4621.825	3408.172	3414.069	3022.423	6989.052	2908.16	3775.775	5991.553	7248.291	7488.018	796.468	6521.237	2982.929	5409.8	5706.681	4050.434	7860.745	3671.179	3225.792	5915.695	4189.079	3718.602	5945.951	6793.038	7306.595	5105.452	5114.352	9470.619	9709.285
1.1.1.103	1013.434	1407.214	1060.07	1864.013	1978.393	581.521	1586.429	1267.07	2962.852	288.83	2007.896	3920.188	781.284	800.231	197.452	1905.333	530.95	793.901	842.093	614.836	939.422	991.298	2622.007	1467.86	823.775	968.761	445.172	1283.6	1316.737	1710.327	2005.592	1752.052	1600.713
1.1.1.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.961	0	0	0	0	0	0
1.1.1.107	0	0	0	0	0	0	0	0	0	0	0	228.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.409	0	0	0	0	0
1.1.1.122	1014.127	107.817	64.291	793.633	344.061	42.498	527.575	4367.335	465.639	120.774	148.248	1867.315	0	1193.526	0	34.017	90.87	53.21	409.477	277.048	860.071	183.904	560.056	1.873	1461.706	611.541	515.532	207.897	73.961	1236.995	1254.157	40.293	456.154
1.1.1.125	0	19.739	4.241	0	0	0	0	0	0	0	38.021	0	26.586	0	0	0	0	125.667	0	5.747	21.661	0	0	121.934	7.445	0	53.157	6.173	5.017	71.348	21.656	0	40.388
1.1.1.127	51.603	22.724	131.816	293.707	40.455	57.621	23.262	39.437	137.937	6.421	278.949	980.445	153.78	86.565	0	51.478	19.127	38.917	9.567	152.696	173.198	36.093	57.905	181.189	14.682	61.178	125.05	43.352	27.147	35.276	344.696	103.145	550.699
1.1.1.130	115.737	87.362	57.926	326.031	21.913	47.464	0	117.155	146.797	16.198	247.514	660.762	72.76	38.024	11.549	84.796	26.479	62.072	27.53	65.475	152.162	75.911	54.12	44.711	49.614	53.804	103.283	99.7	35.798	20.289	76.932	134.329	384.514
1.1.1.131	618.532	427.623	309.305	644.489	524.928	213.356	1089.938	2026.369	412.514	299.564	343.283	2363.415	155.874	1715.103	0	80.33	23.627	140.909	535.31	369.238	1617.621	829.046	600.917	140.196	904.042	885.665	1440.002	684.018	199.013	1118.718	1568.361	101.406	591.874
1.1.1.132	44.09	50.485	9.417	59.385	175.285	156.141	85.361	6.088	0	120.59	58.438	0	7.654	19.49	34.913	13.589	37.658	50.865	3.89	46.967	48.233	39.594	40.797	107.275	0	23.163	130.654	15.005	46.93	368.806	0	21.127	169.472
1.1.1.133	4741.738	5645.153	4247.013	4401.654	4247.033	2520.65	6049.726	4120.948	6482.272	3115.507	3928.022	5958.261	4193.863	7135.678	609.61	4716.323	1619.134	3506.469	5359.147	4018.196	8782.857	5045.313	4778.338	4761.091	5174.818	4350.913	5636.071	4787.789	5302.966	5163.929	5297.602	4721.661	6545.842
1.1.1.135	0	0	0	0	0	0	0	0	0	0	0	6.907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.188	0	0	0
1.1.1.136	466.497	79.624	0	97.188	0	6.296	1174.307	20.282	39.588	5.973	741.77	0	13.546	67.408	0	17.737	27.841	0	0	10.277	1411.584	0	113.525	0	122.533	0	0	0	196.681	865.687	0	0	21.276
