# Gene Family	3003A	3003B	3004A	3004B	3005A	3005B	3007A	3007B	3008A	3008B	3009A	3009B	3012A	3012B	3013A	3013B	3014A	3014B	3016A	3016B	3020A	3020B	3021A	3021B	3022A	3022B	3023A	3023B	3025A	3025B	3026A	3026B	3027A	3027B	3028A	3028B	3029A	3029B	3030A	3030B	3031A	3031B	3032A	3032B	3033A	3033B	3036A	3036B	3037A	3037B	3039A	3039B	3042A	3042B	3043A	3043B	3044A	3044B	3046A	3046B	3047B	3048A	3048B	3049A	3049B
1.1.1.130	59.778	108.671	13.668	573.837	87.296	28.5	112.845	39.362	29.088	21.845	0	16.157	7.003	6.896	138.32	389.74	109.126	113.087	22.939	7.276	117.725	175.503	624.822	54.155	666.002	216.5	22.582	0	0	17.386	381.94	56.768	419.662	95.421	47.971	78.219	0	16.164	84.273	17.8	6928.573	102.918	50.954	169.847	43.833	44.007	50.88	65.87	8.147	9.182	14.339	24.26	112.219	13.895	40.668	44.033	141.138	99.962	22.002	0	121.567	177.5	85.857	1460.321	5716.82
1.1.1.131	507.838	213.556	197.314	200.974	168.989	241.21	920.324	826.868	726.704	77.437	63.351	0	1105.105	1590.861	654.458	490.914	161.022	200.097	379.641	480.071	686.671	342.033	1223.477	1533.143	471.262	367.942	1400.102	2297.55	46.72	55.985	693.94	514.823	660.171	14.728	635.742	217.046	33.619	156.786	495.074	483.855	374.563	649.74	220.124	449.667	437.606	794.449	94.78	58.728	1508.72	10.195	540.624	534.718	68.756	327.906	941.102	668.097	197.437	200.037	179.606	1020.024	1077.872	300.946	179.487	58.535	187.566
1.1.1.132	13.716	47.539	85.28	33.41	41.873	22.247	81.301	113.563	135.641	0	59.354	50.42	78.112	196.545	12.605	25.85	0	0	13.31	121.906	9.914	18.919	0	7.351	21.379	46.244	28.207	52.238	13.638	28.987	52.958	64.898	289.073	98.388	41.175	68.763	0	22.475	112.866	30.815	2849.978	22.595	28.32	55.316	5.558	14.502	45.195	112.178	0	0	5.964	18.667	2.082	41.908	8.619	22.25	43.683	28.228	0	406.445	32.089	0	50.241	105.177	216.966
1.1.1.133	6257.807	6241.026	3330.742	6175.782	4069.757	3651.974	5596.506	5477.323	3569.935	2324.331	1781.408	1138.095	5650.348	5619.088	3568.066	4158.918	7829.041	7720.645	5286.501	4117.783	4243.745	3775.617	5324.397	6553.764	4807.734	4548.475	7061.324	6822.13	1924.237	1849.332	4915.805	3518.11	4794.393	3915.641	4300.164	5896.651	685.217	4970.875	5312.684	3462.843	2582.874	5581.835	4670.471	3657.452	3099.81	5989.546	2939.345	4530.695	5742.558	202.848	4355.102	4510.388	4039	5110.641	4344.79	7027.73	1306.247	4306.193	4651.022	3514.419	3388.386	2224.683	4207.117	4449.549	4592.04
1.1.1.135	0	13.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.914	7.94	0	0	0	0	49.756	0	0	0	0	0	0	0	0	0	0	0	10.922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.136	81.166	45.866	162.39	42.505	0	34.755	215.319	248.987	0	0	0	0	230.346	168.513	74.878	1173.534	22.656	35.09	0	41.724	46.303	18.638	187.252	0	204.203	491.465	100.341	258.246	0	0	122.808	128.689	69.247	33.276	19.804	0	0	0	31.347	77.57	382.655	63.678	0	0	29.253	214.323	0	0	137.076	0	0	0	0	9.223	0	0	15.464	0	0	217.878	30.222	0	0	0	0
1.1.1.14	3988.504	3805.437	3190.485	7587.083	2221.291	2107.118	2086.557	1722.806	1865.735	2444.633	961.258	200.258	1325.237	1015.378	2134.582	2759.754	8869.742	10831.438	1503.286	814.51	1544.313	1588.805	3899.121	4526.794	4475.615	3438.025	2553.242	1144.729	1405.033	1056.398	3587.817	1011.206	5672.287	5309.314	4096.548	5307.983	484.287	1474.679	3207.959	882.306	10419.231	3725.055	3692.545	1590.591	1171.934	1425.64	1238.672	2695.504	2789.587	124.253	3165.68	2833.078	1322.607	2876.814	3700.039	5791.731	366.07	2009.982	5237.478	448.528	2188.704	602.385	5250.261	7070.574	16887.885
1.1.1.140	132.578	205.189	247.352	1054.991	99.891	98.917	151.123	40.728	99.014	96.552	86.127	0	109.007	7.362	193.239	524.217	502.396	924.676	75.817	49.746	130.309	261.673	554.485	361.221	932.198	185.207	253.452	19.136	96.654	35.317	806.387	101.948	720.262	438.961	432.299	218.214	23.627	92.551	231.039	26.827	5487.227	242.678	383.329	207.743	50.317	64.32	29.98	172.607	289.925	0	308.539	159.946	268.499	240.609	388.792	354.468	19.404	5.624	449.469	0	81.998	78.557	572.034	2170.56	5804.223
1.1.1.144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.984	0	0	0	0
1.1.1.154	74.802	118.4	105.711	590.044	46.992	32.618	113.498	11.181	10.586	10.598	0	12.059	0	13.088	255.109	325.065	63.556	113.112	6.628	20.449	14.641	230.49	277.164	34.342	294.489	39.861	39.219	55.761	0	27.9	326.377	0	318.871	44.003	7.56	20.595	0	0	122.915	8.955	3037.377	39.75	35.072	6.552	0	6.121	47.918	30.535	0	0	12.033	11.056	72.148	26.305	17.401	17.366	0	71.081	30.671	0	0	58.692	60.51	1168.667	5654.196
1.1.1.157	467.752	813.542	1053.264	958.003	463.955	566.609	349.573	188.647	351.758	385.58	280.357	173.633	246.17	192.044	494.434	371.284	2201.011	1777.336	256.017	406.273	325.84	474.594	1108.352	1322.025	620.271	443.208	577.878	198.015	199.844	150.018	955.58	242.128	1011.549	1723.943	1198.143	914.463	112.456	174.287	710.545	233.177	5118.498	623.279	840.336	456.5	386.52	337.195	325.51	470.959	470.675	43.71	562.966	596.489	716.688	507.048	441.486	810.779	50.794	286.808	887.122	73.265	831.211	80.936	1049.787	1082.706	1817.92
1.1.1.159	76.251	7.138	0	480.698	15.742	0	277.837	650.662	0	0	0	0	41.713	148.932	25.29	133.144	59.155	59.005	240.428	180.095	38.891	53.016	205.087	0	247.337	10.361	59.824	0	12.94	4.858	140.737	32.148	304.545	38.495	3.03	0	0	0	28.735	74.157	3319.114	67.96	13.713	38.12	353.557	232.926	5.205	11.073	379.809	0	7.112	0	30.303	20.069	10.347	27.216	0	11.419	42.945	382.668	0	22.753	72.896	309.198	1821.334
1.1.1.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.49	0	0	0	17.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.794	0	0	0	0	0	0	0	0	0	0	0	0	1.518	0	0	25.356	0	0	0	0	0	0	0	0
1.1.1.169	3066.613	3430.943	1797.554	5022.731	2059.447	1577	2012.172	2238.969	1503.011	1294.012	861.908	853.29	2429.268	3205.112	4041.902	3622.033	4167.571	4992.149	1263.324	1755.345	2952.52	1929.237	3441.125	4539.631	3691.23	3122.639	3349.685	3293.735	837.491	1004.765	3314.085	1216.381	4312.849	3126.896	2600.64	3388.274	278.659	3028.32	2349.971	1599.195	5315.162	1992.181	4334.955	3996.297	1911.966	2535.965	3819.06	3428.942	2827.836	129.884	2818.093	3111.704	2363.579	2545.949	2215.234	3744.855	1520.485	5548.17	2983.066	2647.944	2676.19	2449.599	2508.443	3347.378	5116.532
1.1.1.17	341.201	602.304	674.953	1056.402	266.792	220.423	618.554	364.924	259.838	372.771	314.125	18.413	402.336	85.049	221.532	595.539	1745.659	2255.039	137.02	64.243	136.128	176.894	628.98	874.764	1323.436	422.521	301.567	61.903	162.214	114.433	1227.109	349.643	2241.006	1478.272	1385.515	819.997	55.722	122.552	762.762	66.048	19148.51	381.939	954.511	490.124	130.707	534.824	135.981	365.565	810.008	50.723	913.509	457.894	360.218	472.442	551.501	834.071	45.29	12.697	609.924	80.724	155.261	86.524	1588.123	1187.756	3298.732
1.1.1.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.179	0	0	338.199	0	0	0	33.142	13.807	0	0	0	0	20.885	0	29.833	195.873	62.652	254.797	0	6.92	0	0	115.166	147.615	180.839	18.086	281.752	0	51.642	5.847	28.724	17.509	0	0	125.074	89.768	14.942	23.009	30.527	0	0	0	0	0	264.59	101.733	19.953	93.902	77.654	0	4.3	0	505.52	598.58	496.673	470.572	0	56.805	271.356	0	4.967	0	9.63	212.805	18.386
1.1.1.18	2165.147	1833.711	572.255	1687.073	348.932	831.139	1867.49	2258.263	757.957	724.377	125.22	0	1182.185	1289.937	2085.403	536.5	1250.734	1671.972	2095.268	1171.463	968.414	539.01	1058.614	4011.414	657.79	1209.997	3784.39	2349.827	570.632	225.514	1209.084	493.607	2553.233	1631.203	1381.278	688.711	205.511	1088.943	857.426	661.657	644.072	973.574	1119.393	571.995	1292.482	4120.252	571.505	1054.876	1631.662	0	1314.409	1210.503	1974.339	2432.145	2242.878	3943.113	228.332	408.04	818.569	1703.38	2271.318	119.528	1453.336	1183.767	758.726
1.1.1.188	0	0	0	0	0	0	0	0	0	0	7.394	0	0	0	0	111.825	7.067	135.784	0	0	0	0	6.968	0	0	0	0	0	0	0	0	0	0	0	143.616	19.845	0	0	0	0	0	0	6.769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.789	0
1.1.1.193	3567.879	2403.036	2220.703	3136.366	2601.956	3017.416	2045.862	2286.882	2314.06	1298.716	784.423	265.489	2439.995	2956.553	2357.332	2625.85	5081.253	6142.592	2320.599	1780.96	1742.534	1635.096	2384.216	3482.399	2135.534	2406.718	2723.014	3683.684	992.867	793.876	3044.727	1568.572	2141.564	1726.999	2169.383	4156.253	306.79	3240.808	1935.464	1646.412	1821.482	3156.945	1778.207	1541.988	1712.944	2599.861	1092.29	1939.027	2714.836	97.225	2399.475	2296.53	1866.021	2233.061	1426.725	3182.977	211.049	1048.777	2147.56	2749.603	2051.718	915.29	1928.881	2312.55	1859.267
1.1.1.2	237.301	194.881	312.204	1776.63	100.121	294.724	220.694	69.61	179.533	349.224	16.259	0	77.563	44.275	128.597	207.058	657.297	796.74	1600.755	228.94	103.053	152.498	769.066	465.817	517.672	466.309	149.94	58.271	118.166	32.028	382.098	54.602	259.988	49.055	962.607	270.339	36.065	282.538	831.256	306.885	2869.394	1609.01	316.642	121.327	42.568	129.915	51.647	166.619	111.939	6.584	112.252	322.657	3643.684	520.942	113.497	324.537	13.675	390.194	254.437	25.593	360.764	137.707	521.014	1729.759	3321.656
1.1.1.201	0	0	159.593	0	0	0	0	0	0	10.859	0	0	0	0	6.228	0	22.978	4.541	0	0	0	0	0	10.697	0	0	0	0	0	0	7.604	0	0	13.926	0	0	0	0	0	0	30.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.269	0	0	0	10.641
1.1.1.202	257.575	543.812	1122.443	579.527	363.136	484.241	333.281	267.81	249.668	583.297	173.795	61.678	325.2	209.768	43.231	195.427	1150.514	1761.293	192.796	130.912	112.602	72.934	561.743	449.789	543.265	613.312	335.148	238.117	178.859	192.139	727.827	386.845	858.825	806.643	863.061	687.979	104.107	732.016	660.694	177.162	230.541	442.986	562.519	360.972	112.766	604.852	321.382	477.694	339.056	8.5	612.247	833.788	141.741	480.217	288.487	759.363	26.77	214.336	727.957	25.372	284.225	42.697	810.204	704.918	650.938
1.1.1.205	6094.769	5656.219	4739.841	6659.86	3537.013	3492.513	3369.443	3141.49	4772.108	2357.16	1358.478	382.486	3868.153	3339.655	5598.372	5672.788	4824.349	5785.337	3770.843	3176.475	4033.6	3336.379	4331.536	6106.336	8215.1	5399.481	6049.95	4232.408	1635.147	1302.512	5375.039	3885.31	5870.397	3386.031	4245.964	6369.986	707.807	4516.066	4718.08	2658.041	8987.223	6058.099	5259.092	5636.98	5695.364	4524.86	4522.883	5515.59	3552.211	228.844	3566.867	4350.215	6135.095	5258.831	7020.799	7340.496	2509.484	2846.748	4642.09	2639.653	2966.829	4752.061	5655.377	5176.428	6738.19
1.1.1.21	89.823	385.714	38.263	400.924	81.723	154.944	31.285	21.174	19.967	142.783	21.98	0	253.822	226.084	28.389	27.778	280.78	530.077	23.066	31.128	125.955	52.999	142.732	523.317	128.439	189.092	275.674	308.165	70.389	59.032	145.656	89.259	266.137	326.342	292.916	122.412	0	57.765	132.268	148.869	123.101	98.622	221.002	192.957	159.633	267.829	11.622	80.854	82.769	0	133.92	212.187	14.713	183.127	412.449	508.22	0	33.147	251.498	44.187	101.189	13.21	189.146	306.753	111.862
1.1.1.210	0	0	0	15.512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.215	0	0	0	0	2.674	0	0	0	0	0	0	0	1.821	0	0	0	0	2.732	0	0	0	0	0	0	0	0	0	2.587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.832	0	0	0	0	0	0	0	0	0	2.747	0	0	0	0	0	0	0	0
1.1.1.218	8.49	119.446	14.194	72.896	12.603	26.951	0	0	149.158	9.639	0	0	5.683	0	33.201	15.813	62.762	0	0	0	2.849	14.968	5.77	41.653	20.588	11.394	19.363	8.537	0	0	83.882	7.16	59.628	11.33	40.845	9.943	0	25.802	5.646	0	37.599	36.73	42.321	11.544	9.955	5.679	0	35.357	7.113	0	0	20.055	146.683	106.376	18.796	85.625	4.329	15.666	27.251	0	0	0	46.752	17.193	24.019
1.1.1.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.22	5275.989	5500.178	1769.507	4591.525	3276.398	2482.338	5139.676	5987.575	3205.213	1512.352	1380.346	829.831	4421.526	4067.4	3469.244	5130.173	4131.243	4893.92	3341.241	3770.303	3955.412	2944.517	3883.248	6030.829	4598.463	4343.668	4914.76	6003.573	2304.343	2724.931	4309.745	3675.968	5873.576	4433.329	2813.89	3111.863	2179.663	3082.618	3942.973	2714.47	7747.706	4518.629	5327.943	5093.289	2802.759	5204.339	1859.769	3204.785	4923.427	1078.911	3320.372	3736.441	2162.099	3615.232	7037.956	7446.31	998.793	1969.339	2606.282	5025.248	2315.007	2242.097	3625.822	3579.937	8301.9
1.1.1.23	5430.857	5028.054	3966.302	6274.964	3596.334	3847.073	2913.252	2610.779	3765.156	2109.632	1224.922	718.451	3100.571	3016.145	5101.527	4280.87	5866.844	5856.317	2818.484	2352.516	3981.348	3123.486	4541.03	5054.483	6305.68	4604.248	4617.732	3295.815	1557.404	1445.054	4764.589	3224.966	6402.203	4425.245	3354.357	5733.57	593.801	3463.966	4157.341	2243.302	8050.257	5007.691	5742.724	5311.514	4793.991	3982.909	4599.916	5715.039	3197.008	125.76	3378.258	3798.663	4141.295	4208.463	4575.52	6318.54	2316.471	3127.065	4127.147	2476.567	2649.302	3222.844	4194.288	5021.622	5828.821
1.1.1.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.461	0	5.698	0	0	0	0	0	0	0	0	0	0	0	0	0	37.402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.17	0	8.772
1.1.1.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.984	0	0	0	0
1.1.1.244	72.41	117.281	192.7	1332.886	217.442	26.788	146.809	68.64	311.261	361.483	7.905	0	45.087	15.656	64.165	713.325	252.482	518.415	21.914	28.741	40.104	41.563	484.042	383.636	210.297	310.914	47.881	114.955	338.675	166.623	173.663	18.789	207.151	285.752	255.355	108.722	43.276	468.877	370.594	83.706	42.937	87.07	115.693	42.892	26.707	65.645	195.994	277.153	41.058	0	57.164	69.727	70.992	195.656	448.645	579.978	21.028	86.19	486.351	15.526	296.869	18.536	8.485	239.345	134.599
1.1.1.25	6001.826	6115.482	6857.907	8499.301	4008.057	3904.613	3386.917	3107.982	4870.411	3672.187	2097.977	429.678	2739.383	2622.606	3401.881	4887.511	10327.431	11295.503	2828.648	2186.067	3906.866	3081.757	4819.45	5694.096	5783.08	6210.572	3946.14	5411.049	1895.582	1614.345	5609.02	3654.082	9394.539	7443.885	6078.779	8949.347	805.757	3954.967	4710.059	2132.751	7213.769	6390.787	7394.207	5637.138	5163.171	4604.68	2997.474	6646.428	3725.404	264.522	5099.311	5670.168	3420.066	4953.629	4091.857	8140.75	1243.265	2694.237	4793.148	2487.736	3010.778	1603.405	5734.17	5681.748	7827.768
1.1.1.251	35.058	18.739	0	332.853	26.953	0	82.345	17.516	5.337	0	56.746	0	40.381	9.868	104.797	277.564	429.487	602.012	18.114	0	26.025	86.823	237.63	113.729	314.778	47.536	157.11	26.621	0	0	139.961	4.082	335.688	349.257	90.533	107.349	17.455	32.971	90.464	29.131	0	14.604	0	8.88	0	0	11.357	43.839	189.126	0	70.34	39.342	53.452	5.51	0	5.449	0	15.036	17.642	0	60.73	5.586	288.984	425.858	2363.176
1.1.1.255	0	0	372.66	0	0	0	0	0	15.034	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	17.537	0	0	0	0	0	3.003	0	38.94	73.142	31.049	22.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.26	0	0	10.629	0	0	6.83	0	5.995	0	0	35.628	161.346	27.029	73.058	0	6.784	0	15.694	18.021	30.465	5.589	6.799	13.133	4.664	6.278	0	0	0	0	22.738	8.99	28.146	0	0	0	0	67.028	5.214	6.71	37.207	0	0	0	10.124	0	13.658	5.389	0	20.392	42.707	20.299	34.868	0	11.38	0	12.36	19.297	5.402	0	82.917	7.832	19.957	6.716	0	0
1.1.1.261	158.848	483.555	773.331	588.057	489.787	301.526	413.35	291.026	272.389	430.754	240.247	7.083	258.134	97.683	216.433	338.563	1308.873	1106.473	161.27	255.82	987.859	417.967	416.96	468.215	639.441	338.943	296.911	339.349	243.709	175.27	570.917	213.387	1502.022	1308.69	1068.15	674.129	43.441	251.555	540.305	243.313	263.701	443.474	2467.87	2375.281	116.473	183.139	465.296	1546.64	1085.455	28.431	807.31	641.048	102.274	481.658	538.627	763.338	58.349	53.539	526.724	7.104	216.058	63.826	971.46	261.981	509.352
1.1.1.262	1341.544	744.735	723.715	1033.396	413.319	479.043	1411.7	1575.228	1075.77	311.954	18.928	53.471	1310.231	1247.767	376.168	899.82	1136.236	1412.818	1616.511	1185.957	1050.374	428.259	883.702	1261.646	977.12	1055.26	1443.32	1080.981	308.087	224.056	702.319	720.78	1056.087	449.161	526.25	54.407	182.096	541.372	456.494	658.281	4049.49	2184.029	220.076	528.319	575.889	972.332	290.913	434.722	1166.873	68.147	293.028	477.374	154.367	808.253	1030.733	2154.661	229.185	144.286	513.571	1855.733	381.618	61.981	479.432	1082.134	2999.495
1.1.1.264	27.149	51.088	0	414.826	4.673	0	0	0	0	9.229	0	0	0	0	18.476	164.736	32.618	22.135	9.461	3.818	12.021	98.837	213.161	0	4.859	0	2.793	0	0	0	182.158	0	8.207	58.729	0	0	0	0	66.241	5.096	3936.248	12.374	7.845	9.45	0	0	7.687	0	0	0	0	0	13.368	8.964	0	0	0	0	0	0	0	0	28.23	0	46.186
1.1.1.266	0	0	191.042	59.39	0	4.593	183.764	93.736	0	0	0	0	216.913	173.712	0	0	0	0	0	44.689	0	0	0	0	46.32	35.944	77.903	22.058	0	0	0	0	0	0	0	0	0	0	23.185	41.463	0	0	11.551	0	0	0	0	0	0	0	0	0	0	14.806	0	0	0	0	0	0	0	0	0	0	9.255
1.1.1.267	6041.394	5442.589	4304.493	5933.479	3688.158	3339.712	3452.334	3123.879	4037.783	2230.768	1289.273	865.495	3723.538	3241.846	4491.238	4039.192	4607.542	5239.438	3541	3265.487	3554.348	3331.49	4490.551	5801.925	6876.151	4792.737	4873.647	3671.453	1638.928	1464.03	4753.199	3435.891	6013.554	3701.331	3526.351	5485.23	717.564	3600.937	4219.841	2748.308	13342.817	5072.716	3567.836	3961.21	4478.213	3833.675	4808.713	4215.904	3429.234	237.76	3516.275	4309.825	4170.887	4538.425	5476.63	6663.814	2634.033	3221.045	4010.545	2693.464	2918.05	4154.204	4743.19	5399.352	9434.591
1.1.1.268	1242.11	905.44	0	102.388	269.421	72.109	0	0	49.077	49.654	37.375	0	0	0	151.916	66.816	55.484	62.135	29.426	37.483	21.028	88.227	234.02	308.982	28.952	28.489	61.048	15.754	108.643	74.411	79.451	44.872	1406.365	1314.841	44.226	34.455	318.105	398.989	88.383	123.333	132.324	238.636	115.862	22.514	12.807	50.294	32.81	65.796	128.301	35.144	56.67	48.374	0	189.606	15.043	28.847	169.967	1496.955	24.126	0	23.149	7.894	763.068	31.925	235.605
1.1.1.269	0	0	0	0	0	0	0	0	0	0	0	28.431	0	0	0	0	0	4.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.27	4586.104	6179.104	5259.895	5857.92	2865.938	2133.451	1086.828	648.575	3631.696	2727.604	5398.231	333.084	1130.912	1279.654	3359.965	2887.27	5793.119	6272.395	1469.665	925.18	1944.895	2224.214	3255.243	4146.884	6751.562	4737.71	3916.527	1863.94	2098.845	1630.633	4315.761	4428.123	7029.878	5611.6	4690.524	6031.502	530.215	2006.922	4297.443	1414.573	2013.559	4811.283	4245.019	2809.339	6497.533	3232.912	4483.741	5667.244	1596.012	236.244	3087.227	3893.715	4178.257	4999.884	6913.948	6354.886	3585.915	3028.111	5513.269	99.829	1503.729	2655.088	5276.264	4481.763	5131.173
