# Gene Family	3003	3004	3005	3007	3008	3009	3012	3013	3014	3016	3020	3021	3022	3023	3025	3026	3027	3028	3029	3030	3031	3032	3033	3036	3037	3039	3042	3043	3044	3046	3047	3048	3049	3003A	3004A	3005A	3007A	3008A	3009A	3012A	3013A	3014A	3016A	3020A	3021A	3022A	3023A	3025A	3026A	3027A	3028A	3029A	3030A	3031A	3032A	3033A	3036A	3037A	3039A	3042A	3043A	3044A	3046A	3048A	3049A
1.1.1.1	1257.179	3814.455	1610.422	3420.267	1670.012	1471.068	471.624	662.966	2910.056	1119.541	1916.659	2090.76	3571.777	3285.865	262.129	2784.206	1474.468	2486.497	2995.804	1807.051	3070.821	1770.967	1453.56	3576.721	1576.955	1331.863	2427.664	2832.634	3786.588	950.895	1746.171	5264.095	4374.152	1913.221	5754.311	2125.861	1423.784	1833.506	535.459	1002.084	1805.528	4798.334	1415.618	1355.516	2643.67	4813.28	2060.53	798.113	3076.866	4099.562	3412.433	437.225	2374.997	16376.603	2601.36	666.242	1889.158	1954.497	2260.987	2002.999	3578.068	1311.407	3910.118	1963.9	6046.064
1.1.1.100	3566.691	6034.809	3792.534	7036.631	4621.825	3408.172	3414.069	3022.423	6989.052	2908.16	3775.775	5991.553	7248.291	7488.018	796.468	6521.237	2982.929	5409.8	5706.681	4050.434	7860.745	3671.179	3225.792	5915.695	4189.079	3718.602	5945.951	6793.038	7306.595	5105.452	5114.352	9470.619	9709.285	7670.641	5783.436	4425.496	4843.239	4593.622	1081.941	3573.397	2832.062	12272.217	3673.143	3221.763	6026.997	8473.749	6004.536	2199.305	6484.635	8053.98	7059.403	858.336	5875.186	25023.366	5228.602	2302.358	2661.795	5277.909	5467.732	4363.967	4164.837	1019.763	7283.399	2360.885	9346.74
1.1.1.103	1013.434	1407.214	1060.07	1864.013	1978.393	581.521	1586.429	1267.07	2962.852	288.83	2007.896	3920.188	781.284	800.231	197.452	1905.333	530.95	793.901	842.093	614.836	939.422	991.298	2622.007	1467.86	823.775	968.761	445.172	1283.6	1316.737	1710.327	2005.592	1752.052	1600.713	953.747	791.538	1335.739	1112.746	488.938	312.686	949.479	1920.068	2485.399	401.033	693.51	1917.702	1787.464	1214.539	220.522	2404.935	1745.386	991.772	129.879	1136.801	11579.477	813.037	927.814	489.914	1225.181	1024.516	338.969	975.843	326.249	470.903	663.188	2569.174
1.1.1.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.094	0	10.298	0	7.488	0	0	0	0	0	0	0	0	0	0
1.1.1.107	0	0	0	0	0	0	0	0	0	0	0	228.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220.814	0	0	0	3788.592	0	0	0	0	0	0	0	0	0	0	0
1.1.1.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.213	0	0	0	0	0	0	0	0	0	0
1.1.1.122	1014.127	107.817	64.291	793.633	344.061	42.498	527.575	4367.335	465.639	120.774	148.248	1867.315	0	1193.526	0	34.017	90.87	53.21	409.477	277.048	860.071	183.904	560.056	1.873	1461.706	611.541	515.532	207.897	73.961	1236.995	1254.157	40.293	456.154	293.363	168.692	55.236	666.97	315.014	7.579	767.286	238.69	306.965	362.343	342.793	498.859	260.553	953.862	15.119	188.809	1437.092	377.035	0	279.164	87.557	34.991	746.041	0	1245.508	376.829	26.55	709.167	11.458	6.331	6.24	0
1.1.1.125	0	19.739	4.241	0	0	0	0	0	0	0	38.021	0	26.586	0	0	0	0	125.667	0	5.747	21.661	0	0	121.934	7.445	0	53.157	6.173	5.017	71.348	21.656	0	40.388	0	0	15.843	24.627	0	0	0	46.83	4.899	4.239	15.995	7.002	37.377	6.276	0	37.09	93.241	89.682	0	22.503	706.876	15.167	0	0	17.476	0	0	12.854	16.617	25.385	23.915	130.334
1.1.1.127	51.603	22.724	131.816	293.707	40.455	57.621	23.262	39.437	137.937	6.421	278.949	980.445	153.78	86.565	0	51.478	19.127	38.917	9.567	152.696	173.198	36.093	57.905	181.189	14.682	61.178	125.05	43.352	27.147	35.276	344.696	103.145	550.699	75.332	0	148.269	141.279	11.077	0	11.065	207.801	49.521	64.936	81.118	387.574	690.082	75.657	40.084	660.279	398.988	28.674	0	142.518	5447.461	48.971	12.064	0	29.128	0	109.332	20.375	0	31.013	33.972	2384.51
1.1.1.130	115.737	87.362	57.926	326.031	21.913	47.464	0	117.155	146.797	16.198	247.514	660.762	72.76	38.024	11.549	84.796	26.479	62.072	27.53	65.475	152.162	75.911	54.12	44.711	49.614	53.804	103.283	99.7	35.798	20.289	76.932	134.329	384.514	59.778	13.668	87.296	112.845	29.088	0	7.003	138.32	109.126	22.939	117.725	624.822	666.002	22.582	0	381.94	419.662	47.971	0	84.273	6928.573	50.954	43.833	50.88	8.147	14.339	112.219	40.668	141.138	22.002	177.5	1460.321
1.1.1.131	618.532	427.623	309.305	644.489	524.928	213.356	1089.938	2026.369	412.514	299.564	343.283	2363.415	155.874	1715.103	0	80.33	23.627	140.909	535.31	369.238	1617.621	829.046	600.917	140.196	904.042	885.665	1440.002	684.018	199.013	1118.718	1568.361	101.406	591.874	507.838	197.314	168.989	920.324	726.704	63.351	1105.105	654.458	161.022	379.641	686.671	1223.477	471.262	1400.102	46.72	693.94	660.171	635.742	33.619	495.074	374.563	220.124	437.606	94.78	1508.72	540.624	68.756	941.102	197.437	179.606	300.946	58.535
1.1.1.132	44.09	50.485	9.417	59.385	175.285	156.141	85.361	6.088	0	120.59	58.438	0	7.654	19.49	34.913	13.589	37.658	50.865	3.89	46.967	48.233	39.594	40.797	107.275	0	23.163	130.654	15.005	46.93	368.806	0	21.127	169.472	13.716	85.28	41.873	81.301	135.641	59.354	78.112	12.605	0	13.31	9.914	0	21.379	28.207	13.638	52.958	289.073	41.175	0	112.866	2849.978	28.32	5.558	45.195	0	5.964	2.082	8.619	43.683	0	0	105.177
1.1.1.133	4741.738	5645.153	4247.013	4401.654	4247.033	2520.65	6049.726	4120.948	6482.272	3115.507	3928.022	5958.261	4193.863	7135.678	609.61	4716.323	1619.134	3506.469	5359.147	4018.196	8782.857	5045.313	4778.338	4761.091	5174.818	4350.913	5636.071	4787.789	5302.966	5163.929	5297.602	4721.661	6545.842	6257.807	3330.742	4069.757	5596.506	3569.935	1781.408	5650.348	3568.066	7829.041	5286.501	4243.745	5324.397	4807.734	7061.324	1924.237	4915.805	4794.393	4300.164	685.217	5312.684	2582.874	4670.471	3099.81	2939.345	5742.558	4355.102	4039	4344.79	1306.247	4651.022	2224.683	4449.549
1.1.1.135	0	0	0	0	0	0	0	0	0	0	0	6.907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.188	0	0	0	0	0	0	0	0	0	0	0	16.914	0	0	49.756	0	0	0	0	0	10.922	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.136	466.497	79.624	0	97.188	0	6.296	1174.307	20.282	39.588	5.973	741.77	0	13.546	67.408	0	17.737	27.841	0	0	10.277	1411.584	0	113.525	0	122.533	0	0	0	196.681	865.687	0	0	21.276	81.166	162.39	0	215.319	0	0	230.346	74.878	22.656	0	46.303	187.252	204.203	100.341	0	122.808	69.247	19.804	0	31.347	382.655	0	29.253	0	137.076	0	0	0	15.464	0	0	0
1.1.1.14	1545.972	3779.395	2265.261	5125.845	1701.864	2367.284	865.181	1637.84	4399.318	1429.62	2090.399	3570.379	4911.706	3191.435	709.488	4055.756	2743.911	4784.966	2848.624	2419.072	3678.249	2251.162	1765.693	3537.815	1731.23	1361.121	1745.156	4014.556	5178.249	846.739	3198.453	9086.451	6626.537	3988.504	3190.485	2221.291	2086.557	1865.735	961.258	1325.237	2134.582	8869.742	1503.286	1544.313	3899.121	4475.615	2553.242	1405.033	3587.817	5672.287	4096.548	484.287	3207.959	10419.231	3692.545	1171.934	1238.672	2789.587	3165.68	1322.607	3700.039	366.07	5237.478	602.385	7070.574
1.1.1.140	124.871	346.554	126.454	741.577	48.501	117.479	9	44.263	348.769	106.343	264.853	953.654	329.863	183.402	70.67	693.816	253.44	143.315	222.471	214.7	281.782	398.23	112.605	183.46	141.004	66.767	176.991	327.759	366.397	25.766	52.545	1138.435	725.701	132.578	247.352	99.891	151.123	99.014	86.127	109.007	193.239	502.396	75.817	130.309	554.485	932.198	253.452	96.654	806.387	720.262	432.299	23.627	231.039	5487.227	383.329	50.317	29.98	289.925	308.539	268.499	388.792	19.404	449.469	78.557	2170.56
1.1.1.144	0	4.766	0	0	0	0	0	0	0	0	0	0	0	0	0	12.742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.154	20.186	43.733	17.3	192.009	5.024	42.667	7.519	37.035	96.36	0	238.146	733.087	50.833	48.431	8.805	64.059	15.16	70.304	9.028	58.939	97.699	33.107	0	49.759	13.388	0	24.424	60.141	33.062	28.746	16.053	83.046	373.552	74.802	105.711	46.992	113.498	10.586	0	0	255.109	63.556	6.628	14.641	277.164	294.489	39.219	0	326.377	318.871	7.56	0	122.915	3037.377	35.072	0	47.918	0	12.033	72.148	17.401	0	30.671	58.692	1168.667
