# Gene Family	3003	3004	3005	3007	3008	3009	3012	3013	3014	3016	3020	3021	3022	3023	3025	3026	3027	3028	3029	3030	3031	3032	3033	3036	3037	3039	3042	3043	3044	3046	3047	3048	3049	3003B	3004B	3005B	3007B	3008B	3009B	3012B	3013B	3014B	3016B	3020B	3021B	3022B	3023B	3025B	3026B	3027B	3028B	3029B	3030B	3031B	3032B	3033B	3036B	3037B	3039B	3042B	3043B	3044B	3046B	3047B	3048B	3049B
1.1.1.131	618.532	427.623	309.305	644.489	524.928	213.356	1089.938	2026.369	412.514	299.564	343.283	2363.415	155.874	1715.103	0	80.33	23.627	140.909	535.31	369.238	1617.621	829.046	600.917	140.196	904.042	885.665	1440.002	684.018	199.013	1118.718	1568.361	101.406	591.874	213.556	200.974	241.21	826.868	77.437	0	1590.861	490.914	200.097	480.071	342.033	1533.143	367.942	2297.55	55.985	514.823	14.728	217.046	156.786	483.855	649.74	449.667	794.449	58.728	10.195	534.718	327.906	668.097	200.037	1020.024	1077.872	179.487	187.566
1.1.1.132	44.09	50.485	9.417	59.385	175.285	156.141	85.361	6.088	0	120.59	58.438	0	7.654	19.49	34.913	13.589	37.658	50.865	3.89	46.967	48.233	39.594	40.797	107.275	0	23.163	130.654	15.005	46.93	368.806	0	21.127	169.472	47.539	33.41	22.247	113.563	0	50.42	196.545	25.85	0	121.906	18.919	7.351	46.244	52.238	28.987	64.898	98.388	68.763	22.475	30.815	22.595	55.316	14.502	112.178	0	18.667	41.908	22.25	28.228	406.445	32.089	50.241	216.966
1.1.1.133	4741.738	5645.153	4247.013	4401.654	4247.033	2520.65	6049.726	4120.948	6482.272	3115.507	3928.022	5958.261	4193.863	7135.678	609.61	4716.323	1619.134	3506.469	5359.147	4018.196	8782.857	5045.313	4778.338	4761.091	5174.818	4350.913	5636.071	4787.789	5302.966	5163.929	5297.602	4721.661	6545.842	6241.026	6175.782	3651.974	5477.323	2324.331	1138.095	5619.088	4158.918	7720.645	4117.783	3775.617	6553.764	4548.475	6822.13	1849.332	3518.11	3915.641	5896.651	4970.875	3462.843	5581.835	3657.452	5989.546	4530.695	202.848	4510.388	5110.641	7027.73	4306.193	3514.419	3388.386	4207.117	4592.04
1.1.1.135	0	0	0	0	0	0	0	0	0	0	0	6.907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.188	0	0	0	13.68	0	0	0	0	0	0	0	7.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.136	466.497	79.624	0	97.188	0	6.296	1174.307	20.282	39.588	5.973	741.77	0	13.546	67.408	0	17.737	27.841	0	0	10.277	1411.584	0	113.525	0	122.533	0	0	0	196.681	865.687	0	0	21.276	45.866	42.505	34.755	248.987	0	0	168.513	1173.534	35.09	41.724	18.638	0	491.465	258.246	0	128.689	33.276	0	0	77.57	63.678	0	214.323	0	0	0	9.223	0	0	217.878	30.222	0	0
1.1.1.14	1545.972	3779.395	2265.261	5125.845	1701.864	2367.284	865.181	1637.84	4399.318	1429.62	2090.399	3570.379	4911.706	3191.435	709.488	4055.756	2743.911	4784.966	2848.624	2419.072	3678.249	2251.162	1765.693	3537.815	1731.23	1361.121	1745.156	4014.556	5178.249	846.739	3198.453	9086.451	6626.537	3805.437	7587.083	2107.118	1722.806	2444.633	200.258	1015.378	2759.754	10831.438	814.51	1588.805	4526.794	3438.025	1144.729	1056.398	1011.206	5309.314	5307.983	1474.679	882.306	3725.055	1590.591	1425.64	2695.504	124.253	2833.078	2876.814	5791.731	2009.982	448.528	2188.704	5250.261	16887.885
1.1.1.140	124.871	346.554	126.454	741.577	48.501	117.479	9	44.263	348.769	106.343	264.853	953.654	329.863	183.402	70.67	693.816	253.44	143.315	222.471	214.7	281.782	398.23	112.605	183.46	141.004	66.767	176.991	327.759	366.397	25.766	52.545	1138.435	725.701	205.189	1054.991	98.917	40.728	96.552	0	7.362	524.217	924.676	49.746	261.673	361.221	185.207	19.136	35.317	101.948	438.961	218.214	92.551	26.827	242.678	207.743	64.32	172.607	0	159.946	240.609	354.468	5.624	0	81.998	572.034	5804.223
1.1.1.144	0	4.766	0	0	0	0	0	0	0	0	0	0	0	0	0	12.742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.984	0	0
1.1.1.154	20.186	43.733	17.3	192.009	5.024	42.667	7.519	37.035	96.36	0	238.146	733.087	50.833	48.431	8.805	64.059	15.16	70.304	9.028	58.939	97.699	33.107	0	49.759	13.388	0	24.424	60.141	33.062	28.746	16.053	83.046	373.552	118.4	590.044	32.618	11.181	10.598	12.059	13.088	325.065	113.112	20.449	230.49	34.342	39.861	55.761	27.9	0	44.003	20.595	0	8.955	39.75	6.552	6.121	30.535	0	11.056	26.305	17.366	71.081	0	0	60.51	5654.196
1.1.1.157	279.304	638.208	418.16	752.528	341.929	429.221	76.399	141.307	846.323	331.491	577.796	615.822	869.179	1007.392	79.858	1118.795	828.578	788.98	499.794	573.609	709.588	613.218	517.803	835.779	242.347	273.131	357.989	535.737	979.593	106.367	979.896	1386.992	1535.541	813.542	958.003	566.609	188.647	385.58	173.633	192.044	371.284	1777.336	406.273	474.594	1322.025	443.208	198.015	150.018	242.128	1723.943	914.463	174.287	233.177	623.279	456.5	337.195	470.959	43.71	596.489	507.048	810.779	286.808	73.265	831.211	1049.787	1817.92
