"","x"
"Ruminococcus_bromii",-1.76201863461538
"Bifidobacterium_bifidum",-0.88756576923077
"Bacteroides_caccae",-0.672914711538461
"Bifidobacterium_adolescentis",-0.65762575
"Bacteroides_fragilis",-0.627178096153845
"Anaerostipes_hadrus",-0.5665935
"Bifidobacterium_longum",-0.549076153846154
"Eubacterium_sp_CAG_251",-0.348363942307692
"Faecalibacterium_prausnitzii",-0.325237769230769
"Ruminococcus_torques",-0.318060038461539
"Ruminococcus_bicirculans",0.33295775
"Escherichia_coli",0.349804884615385
"Bacteroides_vulgatus",0.420510942307692
"Akkermansia_muciniphila",0.542203384615384
"Prevotella_copri",0.758416961538461
"Bacteroides_eggerthii",1.16576826923077
"Bacteroides_stercoris",1.25309567307692
"Bacteroides_plebeius",1.26344178846154
"Eubacterium_rectale",1.50396898076923
"Bacteroides_uniformis",1.79850344230769
