,F1 scores,Accuracy Scores,AUC Scores
0,0.7333333333333333,0.7333333333333333,0.7129186602870813
1,0.61825303564434,0.6333333333333333,0.6205357142857143
2,0.769230769230769,0.7666666666666667,0.75
3,0.7501925545571245,0.7666666666666667,0.7222222222222221
4,0.826272999572101,0.8333333333333334,0.7918660287081339
5,0.7831407787762089,0.7666666666666667,0.7981366459627329
6,0.7567821994009414,0.7666666666666667,0.7200956937799043
7,0.7133333333333333,0.7333333333333333,0.7013574660633485
8,0.8351648351648353,0.8333333333333334,0.825
9,0.7098901098901098,0.7,0.6904761904761905
10,0.6074454428754815,0.6333333333333333,0.5833333333333334
11,0.7180223285486443,0.7333333333333333,0.71875
12,0.7487179487179486,0.7666666666666667,0.75
13,0.8933333333333333,0.9,0.8333333333333333
14,0.7407407407407407,0.7333333333333333,0.75
15,0.8244414044687643,0.8333333333333334,0.775
16,0.6835164835164835,0.7,0.6719457013574661
17,0.6872913992297818,0.7,0.6483253588516746
18,0.827838827838828,0.8333333333333334,0.8055555555555555
19,0.7724245985115549,0.7666666666666667,0.775
20,0.8356867779204106,0.8333333333333334,0.8174603174603176
21,0.7627384960718293,0.7666666666666667,0.7767857142857143
22,0.7248677248677249,0.7333333333333333,0.6749999999999999
23,0.8374461417939678,0.8333333333333334,0.85
24,0.6666666666666666,0.6666666666666666,0.6411483253588517
25,0.8099378881987579,0.8,0.75
26,0.74,0.7333333333333333,0.7142857142857142
27,0.46298472385428907,0.5,0.5178571428571428
28,0.7231259968102073,0.7333333333333333,0.7104072398190044
29,0.6827262044653349,0.7,0.7000000000000001
30,0.8633333333333333,0.8666666666666667,0.8373205741626795
31,0.8319623971797885,0.8333333333333334,0.8194444444444443
32,0.7459188326493389,0.7666666666666667,0.7009569377990431
33,0.651983584131327,0.7,0.6538461538461539
34,0.6733242134062928,0.7,0.6291866028708134
35,0.898989898989899,0.9,0.9
36,0.7936507936507937,0.8,0.7500000000000001
37,0.6333333333333333,0.6666666666666666,0.6473214285714286
38,0.8309798887462558,0.8333333333333334,0.8
39,0.7899999999999999,0.8,0.763888888888889
40,0.7633718442447583,0.7666666666666667,0.7250000000000001
41,0.51,0.5333333333333333,0.4861111111111111
42,0.6876615746180963,0.7,0.6875
43,0.6845714285714286,0.7,0.7352941176470589
44,0.795,0.8,0.7655502392344496
45,0.6222222222222221,0.6333333333333333,0.6805555555555555
46,0.7899999999999999,0.8,0.763888888888889
47,0.6872913992297818,0.7,0.6483253588516746
48,0.7487179487179486,0.7666666666666667,0.75
49,0.6618741976893453,0.7,0.6785714285714286
50,0.7160054719562243,0.7,0.65527950310559
51,0.7923444976076556,0.8,0.7782805429864253
52,0.6975323149236192,0.7,0.6805555555555556
53,0.6583333333333333,0.6666666666666666,0.6220095693779905
54,0.7381598793363501,0.7333333333333333,0.7511961722488039
55,0.7589743589743588,0.7666666666666667,0.7361111111111112
56,0.8975323149236193,0.9,0.8846153846153846
57,0.6994708994708995,0.7333333333333333,0.6923076923076923
58,0.6312380952380952,0.6333333333333333,0.6221719457013573
59,0.7724245985115549,0.7666666666666667,0.775
60,0.7944444444444445,0.8,0.7901785714285714
61,0.6880000000000001,0.7,0.7142857142857143
62,0.8666666666666667,0.8666666666666667,0.8611111111111112
63,0.7471903982542282,0.7666666666666667,0.6420454545454546
64,0.826272999572101,0.8333333333333334,0.7918660287081339
65,0.827838827838828,0.8333333333333334,0.8055555555555555
66,0.6419753086419754,0.6333333333333333,0.675
67,0.6583333333333333,0.6666666666666666,0.6220095693779905
68,0.8666666666666667,0.8666666666666667,0.8412698412698412
69,0.7381598793363501,0.7333333333333333,0.7511961722488039
70,0.7231259968102073,0.7333333333333333,0.7104072398190044
71,0.7873015873015873,0.8,0.7464114832535885
72,0.6036199095022624,0.6,0.5972222222222223
73,0.7641025641025642,0.7666666666666667,0.7392344497607655
74,0.6957637997432606,0.7,0.6500000000000001
75,0.8648148148148148,0.8666666666666667,0.8552036199095022
76,0.8304761904761906,0.8333333333333334,0.8258928571428572
77,0.7589743589743588,0.7666666666666667,0.7361111111111112
78,0.8,0.8,0.7749999999999999
79,0.707936507936508,0.7333333333333333,0.6805555555555556
80,0.6574074074074076,0.6666666666666666,0.65625
81,0.6787330316742081,0.6666666666666666,0.7301587301587301
82,0.7435406698564593,0.7333333333333333,0.746031746031746
83,0.6839945280437757,0.7,0.625
84,0.6320987654320989,0.6333333333333333,0.6294642857142857
85,0.8296296296296296,0.8333333333333334,0.7670454545454546
86,0.7653333333333332,0.7666666666666667,0.7579185520361991
87,0.7961722488038278,0.8,0.7777777777777777
88,0.7648498331479421,0.7666666666666667,0.8055555555555556
89,0.7127086007702182,0.7,0.6761363636363636
90,0.7384370015948962,0.7333333333333333,0.725
91,0.7259259259259259,0.7333333333333333,0.7232142857142857
92,0.8350168350168351,0.8333333333333334,0.8472222222222222
93,0.7923444976076556,0.8,0.7782805429864253
94,0.9333333333333333,0.9333333333333333,0.9305555555555554
95,0.7641025641025642,0.7666666666666667,0.7392344497607655
96,0.7024676850763807,0.7,0.6866028708133971
97,0.7916666666666665,0.8,0.8
98,0.7706666666666667,0.7666666666666667,0.7775119617224882
99,0.6909090909090909,0.7333333333333333,0.6666666666666666
